"","GIS.Open","GIS.High","GIS.Low","GIS.Close","GIS.Volume","GIS.Adjusted"
"1",55.07,55.279999,54.939999,55.16,1772200,53.041488
"2",55.139999,55.240002,54.650002,54.75,1559600,52.647235
"3",54.509998,54.75,54.009998,54.200001,2276700,52.118359
"4",54.259998,54.450001,54.09,54.310001,2414400,52.224135
"5",54.310001,54.310001,54.119999,54.209999,2468400,52.127974
"6",54.310001,54.41,54.189999,54.290001,2379800,52.204903
"7",54.060001,54.709999,54,54.68,3641600,52.579924
"8",54.549999,54.84,54.490002,54.84,2506200,52.733778
"9",54.98,55.060001,54.540001,54.639999,4096900,52.541459
"10",54.639999,54.669998,54.200001,54.27,2761200,52.18567
"11",54.16,54.169998,53.700001,53.700001,4624000,51.637563
"12",51.799999,52.259998,51.5,51.759998,8822200,49.772069
"13",51.869999,52.220001,51.689999,52.029999,5677200,50.0317
"14",52,52.369999,51.830002,52.310001,4480000,50.300948
"15",52.25,52.84,52.080002,52.540001,4011100,50.522114
"16",52.18,53.119999,52.18,52.900002,3924100,50.868289
"17",52.889999,53.139999,52.799999,53.009998,2465300,50.974061
"18",53.360001,53.52,53.049999,53.049999,2975100,51.012525
"19",53.099998,53.650002,53.099998,53.419998,2934100,51.368314
"20",53,53.419998,52.73,53.099998,4049900,51.455528
"21",53.330002,53.43,53.029999,53.259998,2711900,51.610572
"22",52.900002,53.259998,52.73,53.02,2737800,51.378007
"23",53.080002,53.080002,52.740002,52.91,2053400,51.271413
"24",53.119999,53.27,52.98,53.040001,2280200,51.397388
"25",53.009998,53.110001,52.889999,52.93,2430200,51.290794
"26",52.98,53.119999,52.709999,53.080002,2831200,51.43615
"27",53,53.169998,52.77,52.779999,2609500,51.145438
"28",53.02,53.259998,52.810001,53.060001,2869700,51.416769
"29",52.939999,53.09,52.77,52.860001,1699300,51.222962
"30",52.759998,53.099998,52.720001,52.950001,1770100,51.310175
"31",52.950001,53.110001,52.82,52.900002,2213300,51.261724
"32",52.959999,53.080002,52.880001,52.950001,2051400,51.310175
"33",52.919998,52.990002,52.630001,52.810001,1665300,51.174511
"34",52.790001,53.150002,52.790001,52.869999,1900000,51.232651
"35",52.810001,53.130001,52.509998,52.509998,1966900,50.883799
"36",52.580002,52.700001,51.619999,51.650002,3684900,50.050436
"37",51.349998,51.400002,50.139999,50.150002,5499600,48.59689
"38",50.279999,51.09,50.240002,50.93,4714400,49.352733
"39",51.09,51.299999,50.860001,51.290001,2926900,49.701584
"40",51.240002,51.240002,50.790001,50.880001,2969400,49.304282
"41",50.82,51.779999,50.709999,51.720001,3270600,50.118268
"42",51.349998,51.919998,51.169998,51.279999,1872200,49.691892
"43",51.369999,51.990002,51.25,51.970001,2113000,50.360526
"44",52.02,52.720001,52.02,52.439999,2422600,50.815967
"45",52.25,52.57,52.169998,52.48,1908500,50.85473
"46",52.689999,52.700001,52.400002,52.549999,1607700,50.922561
"47",52.5,52.779999,52.48,52.779999,1696700,51.145438
"48",52.93,53.150002,52.369999,52.66,1973200,51.029155
"49",52.93,53.040001,52.720001,52.990002,2166900,51.348937
"50",53,53.299999,52.77,53.23,1637400,51.581503
"51",53.049999,53.52,52.91,53.419998,1662000,51.765617
"52",53.5,53.650002,53.189999,53.220001,2389600,51.571814
"53",53.240002,53.369999,52.630001,52.709999,3286400,51.077606
"54",53.099998,53.150002,52.740002,52.849998,2269700,51.21327
"55",53.16,53.27,52.889999,52.98,2242800,51.339245
"56",52.91,53.27,52.91,53.259998,1532600,51.610572
"57",53.080002,53.290001,53.060001,53.189999,1380400,51.54274
"58",53.200001,53.43,53.18,53.380001,2313700,51.726859
"59",53.400002,53.740002,53.240002,53.360001,2045600,51.707478
"60",53.580002,53.650002,53.360001,53.540001,2191300,51.881903
"61",53.560001,53.779999,53.349998,53.48,1882200,51.82376
"62",53.450001,53.84,53.240002,53.82,1959800,52.153231
"63",53.540001,53.830002,53.470001,53.509998,1365700,51.85283
"64",53.330002,53.669998,53.139999,53.169998,3897200,51.523359
"65",53.110001,53.290001,52.830002,53.23,2233300,51.581503
"66",53.189999,53.279999,52.950001,53.27,2113300,51.620265
"67",53.169998,53.279999,52.66,52.790001,1951800,51.15513
"68",52.880001,53.23,52.599998,53.18,2209300,51.533052
"69",53.18,53.560001,53.02,53.18,3174700,51.533052
"70",52.040001,52.290001,50.560001,50.830002,11820900,49.255831
"71",50.84,51.380001,50.34,51.220001,7498600,49.633753
"72",51.450001,51.450001,51.09,51.279999,4140100,49.691892
"73",51.200001,51.279999,50.740002,50.75,3550500,49.178307
"74",50.560001,50.66,50.389999,50.41,4522800,48.848836
"75",50.5,50.84,50.43,50.450001,5138300,48.887598
"76",50.490002,50.490002,49.93,50.119999,4126500,48.567817
