"","TAP.Open","TAP.High","TAP.Low","TAP.Close","TAP.Volume","TAP.Adjusted"
"1",67.389999,71.389999,67.379997,70.709999,7120300,69.250219
"2",71.050003,72.300003,70.300003,72.07,5248100,70.582143
"3",71.989998,72.779999,71.230003,71.470001,2521900,69.994531
"4",71.459999,71.650002,71.040001,71.230003,1924700,69.759488
"5",71.199997,71.540001,70.93,71.529999,1321900,70.05329
"6",71.68,71.849998,71.300003,71.5,1106300,70.023911
"7",71.480003,72.57,71.379997,72.5,1529400,71.003266
"8",72.75,73.309998,72.57,73.160004,1599900,71.649644
"9",73.739998,75.550003,73.300003,74.860001,3014000,73.314545
"10",74.959999,74.959999,73.599998,73.699997,1697400,72.17849
"11",73.699997,73.699997,72.639999,73.349998,2340900,71.835717
"12",73.18,73.949997,73.059998,73.860001,1122600,72.33519
"13",73.75,74.279999,73.589996,74.209999,1057900,72.677963
"14",74.019997,74.43,73.779999,74.400002,1486300,72.864043
"15",74.220001,74.830002,73.959999,74.160004,1574400,72.629
"16",74.169998,74.599998,73.639999,74.199997,1405800,72.668167
"17",74.410004,74.580002,73.139999,73.580002,1759500,72.060972
"18",73.959999,74.110001,73.519997,73.800003,1143600,72.276431
"19",73.510002,73.779999,73.169998,73.360001,1028900,71.845512
"20",73.470001,73.919998,73.110001,73.169998,1165000,71.659432
"21",73.239998,73.769997,73.239998,73.540001,1302900,72.021797
"22",72.980003,73.550003,72.769997,73.32,864700,71.806337
"23",73.190002,73.699997,73.190002,73.589996,915500,72.07076
"24",73.959999,74.690002,72.879997,72.959999,1493800,71.453769
"25",72.949997,73.029999,72.139999,72.529999,2447200,71.032646
"26",72.970001,73.709999,72.120003,72.449997,1419300,70.954295
"27",72.269997,72.510002,71.290001,71.389999,943300,69.916181
"28",71.550003,72.559998,71.300003,72.5,1025700,71.003266
"29",72.099998,72.400002,71.690002,72.190002,615200,70.699668
"30",72.440002,72.559998,72.209999,72.440002,637500,70.944507
"31",72.669998,72.849998,72.239998,72.57,825200,71.071821
"32",72.910004,73.139999,72.220001,73.010002,946400,71.502739
"33",72.550003,72.620003,71.470001,71.57,727400,70.092465
"34",71.290001,71.32,70,70.360001,1837500,68.907446
"35",70.769997,70.949997,70.029999,70.089996,863500,68.643016
"36",70.470001,70.480003,69.010002,69.099998,1342200,67.673456
"37",68.870003,68.910004,67.470001,67.529999,1353300,66.135869
"38",67.169998,68.099998,67,67.639999,1288400,66.243598
"39",67.599998,67.940002,67.220001,67.900002,1254600,66.498233
"40",67.809998,67.910004,66.949997,67.209999,1558000,65.822475
"41",69.620003,71.690002,69.32,71.080002,3551600,69.612583
"42",71.489998,71.5,69.550003,69.699997,1742300,68.261068
"43",69.470001,71.290001,69.43,71.190002,1317600,69.720313
"44",71.269997,72.269997,71.230003,71.919998,1283400,70.435238
"45",71.489998,72.269997,71.489998,72.25,943700,70.758427
"46",72.580002,72.800003,72.059998,72.550003,1466200,71.052237
"47",73.300003,74.919998,72.839996,74.900002,1674700,73.353721
"48",74.779999,75.470001,74.269997,74.860001,1184600,73.314545
"49",75.339996,75.529999,74.949997,75.18,925500,73.627939
"50",75.419998,75.610001,75.190002,75.209999,959400,73.657318
"51",75.199997,75.199997,74.419998,74.690002,677400,73.148057
"52",74.809998,74.910004,74.440002,74.489998,1058400,72.952181
"53",74.470001,74.620003,73.919998,74.019997,913200,72.491883
"54",74.639999,74.699997,74.279999,74.589996,616600,73.050115
"55",74.589996,74.910004,74.089996,74.129997,728400,72.599613
"56",74.029999,74.07,73.5,73.650002,873000,72.491349
