"","HSP.Open","HSP.High","HSP.Low","HSP.Close","HSP.Volume","HSP.Adjusted"
"1",51,52.09,50.82,52.02,1474800,52.02
"2",51.82,52.860001,51.799999,52.049999,1787100,52.049999
"3",51.849998,51.849998,50.84,50.98,1821600,50.98
"4",50.959999,51.049999,50.389999,50.799999,948800,50.799999
"5",50.740002,51.060001,50.560001,51.009998,919100,51.009998
"6",50.950001,51.330002,50.84,50.880001,696400,50.880001
"7",50.75,51.52,50.509998,51.5,678300,51.5
"8",51.619999,52.02,51.34,52,642000,52
"9",52.200001,52.450001,52,52.41,1327200,52.41
"10",52.279999,52.5,51.959999,52.119999,613500,52.119999
"11",52.060001,52.459999,51.889999,51.900002,7e+05,51.900002
"12",51.970001,52.299999,51.779999,51.810001,737000,51.810001
"13",51.939999,52.220001,51.630001,51.75,729100,51.75
"14",51.66,51.779999,50.740002,50.880001,1105000,50.880001
"15",50.849998,51.419998,50.779999,51.369999,1182400,51.369999
"16",51.720001,53.16,51.720001,52.860001,1354500,52.860001
"17",52.619999,52.709999,52.419998,52.639999,747700,52.639999
"18",52.73,52.880001,52.18,52.490002,311300,52.490002
"19",52.349998,52.349998,51.5,51.740002,651600,51.740002
"20",51.73,51.73,50.950001,51.380001,950200,51.380001
"21",51.540001,51.740002,51.169998,51.509998,589000,51.509998
"22",51.02,51.139999,50.639999,51.060001,605200,51.060001
"23",51.099998,51.200001,50.490002,50.82,733300,50.82
"24",51.25,51.41,50.560001,51.200001,1077300,51.200001
"25",51.52,51.73,50.669998,50.75,930000,50.75
"26",50.939999,50.939999,50.34,50.540001,743300,50.540001
"27",50.279999,50.5,49.470001,49.59,852600,49.59
"28",49.77,50.27,49.700001,50.150002,901900,50.150002
"29",49.880001,50.630001,49.740002,50.470001,851200,50.470001
"30",50.82,51.139999,50.639999,50.779999,1066600,50.779999
"31",50.709999,51.099998,50.27,50.66,1406200,50.66
"32",50.669998,51.919998,50.630001,51.82,1004000,51.82
"33",51.669998,51.990002,51.34,51.720001,815500,51.720001
"34",52.529999,54.240002,51.740002,51.84,4463200,51.84
"35",51.84,52.060001,51.360001,51.900002,2008400,51.900002
"36",52.779999,56.48,52.779999,56.209999,3768300,56.209999
"37",55.98,56.779999,55.139999,55.470001,2016900,55.470001
"38",55.400002,56.080002,54.360001,54.639999,1661400,54.639999
"39",54.689999,55.25,54.130001,55.110001,848200,55.110001
"40",55.040001,56.049999,54.790001,55.16,1652000,55.16
"41",54.700001,55.709999,54.580002,55.189999,717800,55.189999
