"","DD.Open","DD.High","DD.Low","DD.Close","DD.Volume","DD.Adjusted"
"1",69.299998,69.499999,68.849996,69.470001,3177300,64.239402
"2",69.219998,69.470001,68.83,68.969996,1941700,63.777044
"3",68.929996,69.000002,67.839992,68.080001,3946200,62.954059
"4",68.209995,68.529995,67.859996,68.300005,2711300,63.157498
"5",68.099997,68.309999,67.730002,68.109999,2400300,62.981798
"6",67.909999,68.109999,67.589998,67.789998,4644000,62.685892
"7",67.869999,68.149999,67.269994,67.889995,4405400,62.778359
"8",67.8,67.849994,67.279996,67.4,3808300,62.325257
"9",67.709998,68.509999,67.579996,68.429999,8283800,63.277705
"10",68.330003,68.330003,67.829998,67.980005,3588500,62.861592
"11",67.929995,68.229999,67.22,67.339996,3043200,62.269771
"12",67.579996,68.199993,67.339996,67.819996,3492500,62.713631
"13",67.970003,67.989999,67.3,67.699996,3048900,62.602666
"14",65.73,66.19,64.349998,65.440001,17007500,60.512833
"15",65.139997,65.449995,64.870003,65.440001,7993100,60.512833
"16",64.989995,65.75,64.68,65.410003,5344800,60.485093
"17",65.050003,65.400001,64.749998,65.359997,4114300,60.438852
"18",65.400001,65.980002,65.289999,65.800002,3037300,60.845728
"19",65.559997,65.75,65.099997,65.639998,3751000,60.697771
"20",65.65,65.65,64.949995,65.329999,3514700,60.411113
"21",65.349995,65.489995,64.980001,65.040001,3855000,60.142949
"22",64.599996,65.109999,64.529998,64.940001,3272800,60.050479
"23",64.929999,65.199997,64.690002,64.889999,3018200,60.004241
"24",65.319997,65.509999,64.969999,65.009999,2751800,60.115206
"25",65.019997,65.359997,64.5,64.58,5109400,59.717584
"26",64.879997,65.050003,64.639996,65.029999,3130300,60.1337
"27",64.910003,65.329999,64.809995,64.889999,4642000,60.004241
"28",65.009999,65.61,64.889999,65.549999,4232400,60.614549
"29",65.230003,65.75,65.069999,65.539997,3549600,60.6053
"30",65.849996,65.849996,64.609998,64.949995,6425000,60.05972
"31",64.5,65.69,64.449994,65.369999,6922100,60.448101
"32",65.379997,65.69,65.069999,65.199997,5958600,60.290899
"33",65.149999,65.499997,64.849999,64.929999,3957500,60.04123
"34",65.050003,65.57,64.969999,65.319997,5142700,60.401864
"35",65.449995,66.949993,65.369999,66.199994,6568400,61.215604
"36",66.309996,66.539999,65.239997,65.389999,3879100,60.466595
"37",64.949995,65.099997,64.169998,64.309998,5101200,59.46791
"38",63.979999,64.44,63.699999,64.209998,3971200,59.37544
"39",64.169998,64.739996,63.779995,64.629994,3474300,59.763813
"40",64.230002,64.559996,63.810001,64.029998,3453300,59.208992
"41",63.889997,64.849999,63.889997,64.769994,3053100,59.893273
"42",65.029999,65.139997,64.22,64.4,3632100,59.551136
"43",64.48,65.059997,64.129998,65.040001,2965600,60.142949
"44",65.189999,65.499997,64.889999,65.029999,3170500,60.1337
"45",64.749998,65.61,64.730002,65.489995,4079400,60.559063
"46",65.089995,65.349995,64.779996,65.109999,2397400,60.642886
"47",64.709998,65.300001,64.709998,65.199997,1800900,60.72671
"48",65.400001,65.75,64.639996,65.249999,4593400,60.773281
"49",65.529995,65.949996,65.499997,65.87,2672800,61.350744
"50",66.05,66.309996,65.809996,66.29,2233100,61.741929
"51",66.089996,66.399999,66.039998,66.219998,4408800,61.67673
"52",66.160002,66.620003,66.160002,66.300002,2341900,61.751245
"53",66.160002,66.279998,65.769996,65.859998,2945600,61.341429
"54",66.029996,66.389997,66.029996,66.15,2321100,61.611534
"55",66.319998,66.429997,65.879994,66.160002,2162700,61.62085
"56",65.959998,66.209996,65.839994,65.93,2266600,61.406628
"57",65.669996,66.300002,65.519993,66.15,1695100,61.611534
"58",66.449997,66.559995,65.899998,66.11,3376400,61.574279
"59",65.919998,66.23,65.580002,65.83,3182900,61.313489
