"","JOY.Open","JOY.High","JOY.Low","JOY.Close","JOY.Volume","JOY.Adjusted"
"1",64.220001,64.519997,63.220001,63.32,1834900,62.263377
"2",62.959999,63.139999,62.290001,62.349998,1719400,61.309562
"3",62.34,62.41,60.709999,60.860001,2560900,59.844428
"4",60.869999,61.43,60.490002,61.09,927600,60.070589
"5",60.889999,61,60.310001,60.639999,1368300,59.628098
"6",60.630001,61.02,60.220001,60.959999,1074900,59.942757
"7",60.900002,61.66,60.740002,61.630001,1138600,60.601579
"8",61.619999,62.110001,61.209999,62.110001,999500,61.073569
"9",62.240002,63.540001,62.130001,63.310001,1857100,62.253545
"10",62.700001,63.060001,61.790001,62.02,1358400,60.985071
"11",61.709999,62.23,61.130001,61.220001,1148000,60.198421
"12",61.009998,61.450001,60.709999,61.27,690600,60.247586
"13",61.450001,61.619999,61.060001,61.400002,656800,60.375418
"14",61.369999,62.27,61.369999,61.889999,1407900,60.857239
"15",61.790001,62.119999,61.43,61.580002,834000,60.552414
"16",61.91,62.139999,61.43,61.439999,1237900,60.414747
"17",61.150002,61.779999,60.950001,61,725200,59.982091
"18",61.349998,62.049999,61.34,61.779999,879400,60.749074
"19",61.52,62.080002,61.130001,61.400002,833000,60.375418
"20",61.049999,61.34,60.41,60.540001,1089200,59.529768
"21",60.759998,60.98,60.18,60.66,985600,59.647764
"22",59.799999,60.419998,59.360001,60.209999,825700,59.205273
"23",59.950001,60.450001,59.529999,60.290001,819300,59.28394
"24",60.57,61.32,60.509998,60.950001,1106500,59.932926
"25",60.860001,61.080002,59.950001,60.150002,1073500,59.146276
"26",60.400002,65.360001,60.400002,65.010002,12665000,63.925178
"27",64.309998,65.309998,63.48,63.799999,3413400,62.735366
"28",63.830002,64.5,63.59,64.269997,1221700,63.197521
"29",63.82,64.349998,63.43,63.68,1337900,62.61737
"30",64,64.68,63.759998,63.959999,1079100,62.892696
"31",64.059998,64.059998,62.740002,63.450001,1110100,62.391208
"32",62.889999,63.400002,62.43,63.16,1339300,62.106047
"33",63,63.240002,62.5,62.75,902900,61.702889
"34",62.650002,62.799999,61.599998,61.790001,1053700,60.758909
"35",62.09,62.09,61.220001,61.240002,1066900,60.218088
"36",61.66,61.720001,60.220001,60.41,1238000,59.401936
"37",59.709999,60.299999,59.23,59.259998,1540500,58.271125
"38",59,59.360001,58.130001,58.540001,1987900,57.563142
"39",58.540001,59.330002,58.380001,59.130001,2205400,58.143297
"40",58.889999,59.639999,58.66,58.880001,2361100,57.897468
"41",58.439999,59.5,58.259998,59.009998,1735800,58.025296
"42",59.209999,59.759998,59,59.119999,1089400,58.133461
"43",59.080002,60.02,58.529999,59.939999,1053700,58.939778
"44",60.169998,60.919998,60.07,60.68,738900,59.667431
"45",60.59,61.16,60.459999,60.709999,505400,59.696929
"46",60.790001,61.029999,60.43,60.889999,612300,59.873926
"47",61.099998,61.84,60.82,61.790001,803600,60.758909
"48",62,62.09,61.099998,61.52,999700,60.493414
"49",62.049999,62.990002,61.830002,62.970001,757900,61.919219
"50",62.970001,63.669998,62.779999,63.529999,1021900,62.469871
"51",63.630001,64.610001,63.540001,63.759998,1102700,62.696033
"52",63.970001,64.089996,63.189999,63.779999,849200,62.7157
"53",63.52,63.619999,62.740002,63.240002,817900,62.184714
"54",63.66,63.919998,63.419998,63.830002,612800,62.764868
"55",63.790001,64.309998,63.740002,64.050003,610500,62.981198
"56",64.480003,64.610001,63.740002,63.869999,815800,62.804198
"57",63.5,63.700001,62.689999,63.09,996200,62.037215
"58",63.330002,63.439999,62.630001,63.150002,725500,62.096215
"59",62.900002,63.290001,62.34,62.560001,991300,61.711505
"60",62.77,63.080002,61.669998,62.200001,1184900,61.356387
"61",61.48,62.740002,59.900002,60.509998,2724400,59.689306
"62",60.529999,60.529999,59.779999,60.200001,1481700,59.383513
"63",60.18,60.48,59.619999,59.93,1190800,59.117175
"64",59.720001,60.209999,59.279999,59.34,771700,58.535177
"65",59.130001,59.290001,58.73,59.049999,979200,58.249109
"66",58.759998,59.459999,58.75,59.380001,762000,58.574635
"67",59.169998,59.299999,58.27,58.529999,1102900,57.736161
"68",58.040001,58.77,57.610001,58.580002,796100,57.785486
"69",58.470001,58.860001,57.849998,58.389999,1488300,57.598061
"70",58.650002,60.110001,58.419998,59.310001,2923000,58.505585
"71",59.459999,59.509998,58.669998,59.220001,969400,58.416805
"72",59.389999,59.389999,57.57,58.009998,1973500,57.223213
"73",57.66,58.09,57.209999,57.419998,1365800,56.641215
"74",57.25,57.709999,57.040001,57.040001,1015900,56.266372
"75",56.950001,57.150002,56.189999,56.330002,1571300,55.566003
"76",56.130001,56.299999,55.349998,55.689999,1665600,54.93468
"77",55.830002,56.369999,55.400002,56.290001,1019700,55.526544
"78",55.580002,56.150002,55.16,55.84,748200,55.082647
"79",55.77,56.130001,54.540001,54.540001,1298900,53.800279
"80",54.43,55.150002,53.790001,54.23,1450200,53.494483
"81",54.23,54.599998,53.450001,54.349998,1039900,53.612854
"82",54.82,55,54.220001,54.349998,1241100,53.612854
"83",54.540001,54.700001,53.66,53.950001,1043800,53.218281
"84",53.25,53.700001,51.689999,51.689999,1644300,50.988931
"85",51.490002,52.59,50.549999,52.509998,2138700,51.79781
"86",52.419998,52.43,50.669998,50.939999,1312300,50.249104
"87",50.57,50.889999,49.119999,49.209999,2083000,48.542568
"88",49.880001,51.099998,48.91,48.939999,2347000,48.276229
"89",49.34,51.669998,49.110001,50.57,2223000,49.884123
"90",49.560001,51.470001,48.990002,51.119999,2234600,50.426663
"91",50.110001,52.009998,50.09,51.540001,1955000,50.840968
"92",51.98,52.560001,51.700001,52.169998,1786500,51.462421
