"","YUM.Open","YUM.High","YUM.Low","YUM.Close","YUM.Volume","YUM.Adjusted"
"123",77.419998,78.389999,77.139999,78.360001,3615800,77.509485
"124",78.529999,78.57,76.980003,77.639999,3015000,76.797299
"125",77.5,78.220001,76.889999,77.730003,2223300,76.886326
"126",78.080002,78.519997,77.709999,78.300003,1836400,77.450139
"127",77.139999,77.650002,76.199997,76.459999,3400900,75.630106
"128",75.610001,75.959999,75,75.220001,4467300,74.403567
"129",71.150002,72.93,70.480003,70.529999,10302600,69.76447
"130",71.010002,72.959999,70.550003,72.019997,7961000,71.238295
"131",72.419998,73.779999,72.25,72.849998,5649500,72.059289
"132",73.029999,73.150002,70.589996,70.629997,5074200,69.863383
"133",70.209999,70.849998,69,69.019997,7051400,68.270857
"134",69.309998,70.669998,69.199997,70.599998,5411300,69.83371
"135",71.279999,71.769997,70.809998,71.739998,4513800,70.961336
"136",71.379997,72.260002,70.849998,71.169998,5775100,70.397523
"137",71.550003,72.550003,71.239998,72.459999,2472600,71.673522
"138",72.5,73,72.370003,72.68,1605700,71.891135
"139",73.040001,73.089996,72.620003,72.790001,799100,71.999942
"140",72.870003,73.379997,72.660004,73.139999,1035500,72.346142
"141",73.099998,73.989998,72.940002,73.559998,1892600,72.761581
"142",73.519997,73.779999,73.120003,73.279999,1464500,72.484622
"143",73.419998,73.769997,72.779999,72.849998,1539400,72.059289
"144",73.440002,73.510002,72,72.349998,1641600,71.564715
"145",72.410004,72.720001,70.870003,70.879997,3176600,70.11067
"146",71.360001,71.400002,69.379997,70.010002,3597700,69.250117
"147",70.970001,72.410004,70.779999,72.330002,3274000,71.544936
"148",72.900002,73.779999,72.839996,73.589996,3061300,72.791254
"149",73.709999,73.769997,72.779999,73.459999,2650800,72.662668
"150",73.150002,73.470001,72.669998,72.910004,2821300,72.118642
"151",73.629997,73.75,71.900002,72.610001,3315900,71.821896
"152",71.309998,73.040001,71.18,72.309998,3610500,71.931316
"153",72.309998,72.790001,71.410004,71.449997,3877600,71.075819
"154",71.330002,72.510002,70.919998,72.43,2929300,72.05069
"155",72.419998,72.639999,70.949997,71.150002,3711100,70.777394
"156",70.790001,71.610001,70.610001,71.5,2804400,71.12556
"157",72,74.129997,71.690002,73.790001,3577100,73.403568
"158",73.889999,74.940002,73.75,74.110001,3260900,73.721892
"159",73.790001,74.510002,73.760002,74.239998,2258600,73.851209
"160",73.349998,74,73.220001,73.43,3554300,73.045453
"161",73.93,74.040001,72.82,72.900002,4790400,72.51823
"162",72.650002,74.300003,72.389999,74.269997,2995600,73.88105
"163",73.629997,73.809998,72.220001,72.279999,3127800,71.901474
"164",72.440002,72.860001,70.5,72.730003,3103700,72.349122
"165",73.389999,73.809998,72.540001,73.610001,3323100,73.224511
"166",73.290001,74.199997,73.279999,73.650002,3768900,73.264302
"167",73.050003,75.57,72.110001,75.199997,9363100,74.80618
"168",74.900002,74.93,73.510002,73.93,4632300,73.542835
"169",73.459999,74.209999,72.980003,73.110001,2797500,72.727129
"170",73.510002,74.25,73.050003,74.080002,2339800,73.692051
"171",74.230003,74.410004,73.5,73.989998,2262100,73.602518
"172",74.290001,74.900002,73.410004,74.800003,2300200,74.408281
"173",74.629997,74.900002,74.230003,74.690002,2636400,74.298857
"174",74.480003,76.199997,74.269997,76.050003,3916600,75.651735
"175",75.949997,76.779999,75.510002,76.5,3457000,76.099375
"176",76.57,76.910004,75.970001,76.669998,2348600,76.268483
"177",76.690002,77.639999,76.220001,77.529999,3899100,77.12398
"178",77.769997,78.300003,77.110001,77.440002,2297100,77.034455
"179",77.419998,78.059998,77.080002,77.860001,2014200,77.452254
"180",77.860001,79.040001,77.529999,78.959999,2744000,78.546492
"181",78.870003,79.5,78.220001,79.389999,3829800,78.97424
