"","CINF.Open","CINF.High","CINF.Low","CINF.Close","CINF.Volume","CINF.Adjusted"
"1",49.130001,49.27,49.02,49.200001,285500,47.051812
"2",49.040001,49.150002,48.880001,48.950001,273100,46.812728
"3",48.880001,49.009998,48.77,48.91,376400,46.774473
"4",48.950001,49.029999,48.68,48.889999,546400,46.755346
"5",48.419998,48.599998,48.27,48.369999,532800,46.678143
"6",48.240002,48.689999,48.209999,48.57,613000,46.871149
"7",48.540001,48.799999,48.279999,48.73,500300,47.025552
"8",48.689999,48.830002,48.380001,48.740002,412000,47.035204
"9",48.91,49.07,48.709999,48.790001,689800,47.083455
"10",48.869999,48.959999,48.459999,48.650002,341800,46.948352
"11",48.43,48.68,48.259998,48.290001,326500,46.600943
"12",48.27,48.439999,48.119999,48.18,384900,46.49479
"13",48.139999,48.169998,47.669998,47.889999,357300,46.214933
"14",47.689999,48.139999,47.669998,47.880001,514900,46.205284
"15",48,48.380001,47.759998,48.040001,484100,46.359688
"16",48.040001,48.52,48.009998,48.380001,551700,46.687796
"17",48.290001,48.450001,48.029999,48.259998,545800,46.57199
"18",48.310001,48.580002,48.259998,48.490002,282500,46.793949
"19",48.419998,48.470001,48.130001,48.360001,503600,46.668495
"20",48.27,48.380001,48.09,48.18,527000,46.49479
"21",48.209999,48.48,47.810001,47.990002,569900,46.311437
"22",47.560001,47.799999,47.459999,47.740002,486300,46.070182
"23",47.619999,47.790001,47.490002,47.639999,513900,45.973677
"24",47.810001,48.25,47.77,48.119999,405100,46.436888
"25",48.25,48.470001,48.009998,48.200001,640700,46.514091
"26",48.279999,48.400002,48.009998,48.189999,500900,46.504439
"27",47.98,48.23,47.77,47.810001,498900,46.137733
"28",47.98,48.360001,47.619999,48.299999,1679200,46.610592
"29",48.209999,48.689999,48.02,48.490002,687500,46.793949
"30",48.59,48.59,47.68,47.91,729700,46.234234
"31",47.790001,48.169998,47.669998,48.040001,402900,46.359688
"32",48.18,48.290001,47.939999,48.029999,404500,46.350035
"33",47.849998,47.869999,47.560001,47.709999,386000,46.041228
"34",47.630001,47.959999,47.509998,47.900002,344900,46.224585
"35",47.91,48,47.41,47.419998,668100,45.761371
"36",47.279999,47.779999,46.509998,46.59,723900,44.960404
"37",46.32,46.830002,45.790001,46.02,1279700,44.410342
"38",45.82,46.23,45.689999,45.919998,1428200,44.313837
"39",46.029999,46.490002,45.799999,46.470001,702900,44.844602
"40",46.400002,46.630001,46.040001,46.240002,564700,44.622648
"41",46.16,46.68,46.040001,46.529999,374000,44.902501
"42",46.790001,46.84,46.27,46.32,456100,44.699848
"43",46.540001,46.919998,46.259998,46.900002,309300,45.259563
"44",47.119999,47.220001,46.799999,47.029999,341800,45.385013
"45",47.02,47.380001,46.889999,47.18,310500,45.529768
"46",47.400002,47.5,47.130001,47.360001,519400,45.703472
"47",47.450001,47.830002,47.389999,47.82,319900,46.147382
"48",47.889999,48.040001,47.470001,47.84,618200,46.166682
