"","BRCM.Open","BRCM.High","BRCM.Low","BRCM.Close","BRCM.Volume","BRCM.Adjusted"
"1",38,38.240002,37.759998,37.939999,7747700,37.485591
"2",37.84,38.09,37.57,38,8553800,37.544873
"3",38,38.470001,37.860001,38.259998,11452100,37.801758
"4",38.450001,38.450001,38.080002,38.349998,7062700,37.89068
"5",38.110001,38.849998,38.099998,38.66,7116200,38.196968
"6",38.150002,38.77,38.150002,38.48,6352000,38.019124
"7",38.490002,38.549999,38.139999,38.459999,5392300,37.999363
"8",38.470001,38.5,37.860001,38.360001,6308900,37.900562
"9",38.48,38.48,37.939999,38.279999,8835600,37.821519
"10",38.290001,38.290001,37.709999,37.889999,6993700,37.43619
"11",37.880001,37.91,36.540001,36.68,13588900,36.240683
"12",36.759998,37.459999,36.599998,37.16,14671100,36.714934
"13",37.139999,37.27,36.759998,36.990002,4579000,36.546972
"14",36.860001,37.07,36.650002,36.860001,17558100,36.418528
"15",36.68,37.200001,36.639999,37.119999,5348500,36.675412
"16",37.09,37.650002,37.09,37.57,5482100,37.120023
"17",37.5,37.799999,37.310001,37.610001,3522500,37.159545
"18",37.759998,37.900002,37.57,37.73,3043200,37.278107
"19",37.619999,37.740002,37.389999,37.599998,3675500,37.149663
"20",37.529999,37.77,37.139999,37.619999,5762000,37.169424
"21",38,38.279999,37.75,38.16,6807400,37.702957
"22",37.509998,37.990002,37.25,37.849998,3657200,37.396668
"23",37.709999,37.990002,37.610001,37.779999,2793700,37.327507
"24",38.09,38.150002,37.669998,37.919998,5685600,37.46583
"25",37.91,38,37.279999,37.75,4644000,37.297868
"26",37.959999,38.400002,37.91,38.380001,4917500,37.920323
"27",38.110001,38.330002,37.720001,37.84,4407100,37.38679
"28",38.049999,38.790001,37.860001,38.740002,6871800,38.276012
"29",38.490002,38.709999,38.240002,38.630001,5088400,38.167329
"30",38.610001,38.889999,38.43,38.75,6999400,38.285891
"31",39.900002,40.740002,38.09,38.150002,22045600,37.693078
"32",38.259998,38.439999,37.650002,38.299999,8053400,37.841279
"33",38.029999,38.369999,37.27,37.349998,8640700,36.902657
"34",37.470001,37.869999,37.18,37.720001,5750200,37.268228
"35",37.68,38.490002,37.59,37.990002,8464500,37.534995
"36",38.259998,38.849998,37.740002,37.869999,9886800,37.416429
"37",37.619999,38.419998,37.529999,38.259998,12239600,37.801758
"38",38.369999,38.450001,37.790001,38.189999,8804200,37.732596
"39",38.150002,38.18,37.5,38.07,5348100,37.614035
"40",37.790001,38.02,37.060001,37.209999,8659900,36.764334
"41",37,37.540001,36.869999,37.049999,6269700,36.606251
"42",37.23,37.310001,36.549999,36.650002,5860000,36.211044
"43",36.700001,37.34,36.610001,37.299999,5235800,36.853257
"44",37.540001,37.790001,37.380001,37.560001,4878200,37.110145
"45",37.450001,37.75,37.330002,37.599998,4936000,37.149663
"46",37.73,37.919998,37.5,37.720001,5833300,37.268228
"47",37.900002,37.93,37.630001,37.709999,3536800,37.258346
"48",37.939999,38.16,37.599998,38.009998,5455100,37.554752
"49",38.09,38.189999,37.720001,38.130001,2374700,37.673317
"50",38.080002,38.950001,38.080002,38.889999,4894200,38.424213
"51",38.450001,38.990002,38.450001,38.91,3660100,38.443974
"52",38.860001,39.279999,38.860001,39.16,4093300,38.69098
"53",38.759998,39.25,38.759998,39.209999,2639900,38.74038
