"","PDCO.Open","PDCO.High","PDCO.Low","PDCO.Close","PDCO.Volume","PDCO.Adjusted"
"1",39.389999,39.5,39.259998,39.349998,412900,38.622269
"2",39.169998,39.23,38.900002,39.029999,569800,38.308187
"3",39.040001,39.209999,38.639999,38.759998,1027400,38.04318
"4",38.790001,38.970001,38.599998,38.709999,720200,37.994105
"5",39.52,39.540001,38.580002,38.830002,1286300,38.111889
"6",38.91,39.07,38.75,38.98,474900,38.259112
"7",38.98,39.330002,38.84,39.279999,677900,38.553563
"8",39.32,39.439999,39.16,39.419998,583500,38.690974
"9",39.439999,39.799999,39.330002,39.779999,1120300,39.044317
"10",39.84,40.040001,39.77,39.84,630800,39.103208
"11",39.779999,40.439999,39.779999,40.099998,696100,39.358398
"12",40.169998,40.459999,40.130001,40.32,428900,39.574331
"13",40.41,40.48,40.099998,40.119999,719400,39.378029
"14",40,40.150002,39.720001,39.93,2357000,39.191544
"15",41.93,41.93,39.43,39.509998,1397600,38.779309
"16",39.630001,39.939999,39.389999,39.639999,1274300,38.906906
"17",39.580002,39.779999,39.389999,39.529999,828100,38.79894
"18",39.619999,39.810001,39.59,39.75,581700,39.014873
"19",39.349998,39.639999,39.299999,39.619999,759600,38.887276
"20",39.41,39.57,39.299999,39.549999,532700,38.818571
"21",39.48,39.709999,39.220001,39.369999,479400,38.838301
"22",39.080002,39.16,38.91,39.110001,411800,38.581814
"23",39.029999,39.310001,38.810001,39.290001,506900,38.759383
"24",39.529999,39.599998,39.080002,39.16,306300,38.631138
"25",39.07,39.34,38.889999,39.290001,491300,38.759383
"26",39.459999,39.650002,39.220001,39.619999,614700,39.084924
"27",39.389999,39.560001,38.630001,38.68,739700,38.157621
"28",38.650002,39.139999,38.419998,39.080002,682500,38.55222
"29",39.029999,39.360001,38.470001,39.240002,740200,38.710059
"30",39.310001,39.880001,39.310001,39.57,799700,39.0356
"31",39.700001,39.849998,39.419998,39.720001,459900,39.183576
"32",39.900002,40.130001,39.580002,40.049999,625000,39.509118
"33",40.060001,40.060001,39.369999,39.41,806000,38.877761
"34",39.41,39.68,39.099998,39.66,492700,39.124385
"35",39.73,39.73,39.330002,39.349998,348600,38.81857
"36",39.5,39.700001,39.119999,39.59,397500,39.055331
"37",39.419998,39.490002,38.880001,39.009998,642000,38.483162
"38",39,39.360001,38.48,38.970001,716500,38.443705
"39",39.099998,39.18,38.52,38.68,556300,38.157621
"40",38.43,38.919998,38.41,38.610001,404700,38.088566
"41",38.59,39.02,38.32,38.68,422300,38.157621
"42",38.810001,39.07,38.189999,38.27,332700,37.753158
"43",38.299999,38.779999,38.040001,38.77,313700,38.246405
"44",38.84,38.93,38.59,38.610001,323100,38.088566
"45",38.599998,39.080002,38.599998,38.950001,453700,38.423975
"46",38.950001,39.169998,38.720001,39.049999,513100,38.522623
"47",39.009998,39.25,38.990002,39.16,362300,38.631138
"48",39.259998,39.360001,38.93,39.099998,641900,38.571947
"49",39.25,39.639999,39.080002,39.52,494000,38.986276
"50",39.52,40.099998,39.360001,40.060001,608300,39.518985
"51",40,40.139999,39.790001,40.099998,668700,39.558442
"52",39.25,41.07,39.25,40.73,1082400,40.179934
"53",40.779999,40.91,40.48,40.630001,523600,40.081286
"54",40.709999,40.950001,40.669998,40.919998,619700,40.367367
"55",40.869999,40.950001,40.400002,40.470001,621500,39.923447
"56",40.5,40.66,39.91,40.150002,1031400,39.607769
"57",40.099998,40.41,39.84,40.32,424200,39.775472
"58",40.459999,40.59,40.139999,40.27,361900,39.726148
"59",40.25,40.580002,40.16,40.32,595000,39.775472
"60",40.540001,40.799999,40.119999,40.310001,680300,39.765608
"61",40.299999,40.59,40.029999,40.200001,378100,39.657093
"62",40.279999,40.790001,40.02,40.73,513600,40.179934
"63",40.580002,40.919998,40.400002,40.91,566100,40.357504
"64",40.849998,40.950001,40.630001,40.709999,519300,40.160204
"65",40.299999,40.84,40.299999,40.790001,382100,40.239125
"66",40.540001,40.900002,40.540001,40.860001,459600,40.30818
"67",40.939999,40.950001,40.349998,40.57,525600,40.022095
"68",40.630001,40.630001,40.25,40.560001,321800,40.012232
"69",40.560001,40.639999,40.310001,40.360001,452100,39.814932
"70",40.380001,40.869999,40.23,40.639999,750700,40.09115
"71",40.709999,40.959999,40.619999,40.950001,553100,40.396964
"72",41.009998,41.150002,40.59,40.650002,1236800,40.101017
"73",40.509998,40.709999,40.32,40.450001,582600,39.903717
"74",41.18,41.619999,40.639999,41.450001,1638100,40.890212
"75",41.57,42.259998,41.23,42.259998,1054300,41.68927
"76",42.209999,42.209999,41.25,41.27,747000,40.712642
"77",41.52,41.73,41.060001,41.41,449200,40.850751
"78",41.150002,41.52,41.07,41.48,447100,40.919805
"79",41.540001,41.900002,41.310001,41.43,1059700,40.870481
"80",41.48,41.580002,41.040001,41.209999,1073500,40.653451
"81",41.290001,41.799999,41.139999,41.52,1233500,40.959266
"82",41.77,42.490002,41.720001,42.25,1344500,41.679407
"83",42.330002,42.610001,41.849998,41.93,607400,41.363729
"84",41.830002,41.970001,41.27,41.279999,1069000,40.722506
"85",41.110001,41.720001,41.040001,41.560001,709100,41.19833
"86",41.5,41.669998,40.84,40.959999,609900,40.603549
"87",40.950001,41.290001,40.799999,40.880001,832900,40.524247
"88",40.900002,40.939999,40.16,40.209999,800200,39.860076
"89",40.360001,40.540001,40.110001,40.419998,643200,40.068247
"90",40.189999,40.66,39.369999,40.349998,685200,39.998857
"91",39.900002,40.02,39.279999,39.810001,746400,39.463559
"92",40.080002,40.48,39.830002,40.419998,619900,40.068247
"93",41.150002,41.150002,40.130001,40.560001,592000,40.207032
"94",40.700001,41.57,40.599998,41.459999,460900,41.099198
"95",41.599998,41.700001,41.080002,41.169998,432400,40.81172
"96",41.459999,41.75,41.290001,41.560001,313200,41.19833
"97",41.66,41.98,41.490002,41.84,419500,41.475892
"98",41.740002,42.220001,41.43,42.200001,395400,41.83276
"99",42.310001,42.310001,41.900002,42.27,354900,41.90215
"100",42.25,42.560001,41.959999,42.169998,523900,41.803018
"101",42.139999,42.66,42.119999,42.639999,506300,42.268929
"102",43.09,43.27,42.900002,43.110001,476000,42.73484
"103",43.189999,43.25,42.959999,43.080002,296300,42.705103
"104",42.889999,43.380001,42.84,43.360001,355500,42.982665
"105",43.689999,44,43.25,43.689999,477900,43.309791
"106",43.830002,44.25,43.709999,44.029999,576800,43.646832
"107",44.099998,44.200001,43.669998,43.990002,613400,43.607183
"108",44.099998,44.32,43.919998,44.150002,510900,43.765791
"109",44.099998,44.360001,43.869999,44.27,439600,43.884745
"110",44.259998,45.130001,44.169998,45.130001,678700,44.737262
"111",45.23,45.93,45.23,45.700001,1375700,45.302301
"112",45.619999,45.939999,44.990002,45.240002,827000,44.846305
"113",45.75,46.41,45.529999,46.259998,1209800,45.857425
"114",46.259998,47.09,46.240002,46.610001,1389900,46.204382
"115",46.470001,46.68,46.18,46.349998,1203000,45.946642
"116",47,47.380001,46.279999,46.77,1513400,46.362989
"117",47.09,47.220001,46.490002,46.610001,1708700,46.204382
"118",46.830002,47.700001,46.75,47.66,857100,47.245244
"119",47.59,47.810001,47.349998,47.75,1856700,47.334461
"120",47.77,47.900002,47.549999,47.77,426300,47.354287
"121",47.990002,48.880001,47.720001,48.18,384700,47.760719
"122",48.169998,48.310001,47.889999,47.959999,799700,47.542632
"123",47.959999,48.310001,47.939999,48.259998,1216700,47.840021
"124",48.240002,48.619999,48.200001,48.59,848100,48.167151
"125",48.700001,49.09,48.66,48.98,790700,48.553756
"126",49.41,49.5,48.650002,48.740002,706100,48.315847
"127",48.720001,49.040001,48.5,48.57,884900,48.147324
"128",48.209999,48.43,48.009998,48.34,745300,47.919326
"129",48.41,48.740002,48.150002,48.290001,1078800,47.869762
"130",48.5,48.799999,48.09,48.16,608100,47.740892
"131",47.98,48.400002,47.43,47.439999,610300,47.027157
"132",47.57,47.889999,47.07,47.139999,825400,46.729768
"133",47.09,47.669998,47,47.119999,882800,46.709942
"134",47.290001,48.040001,46.650002,47.990002,920400,47.572374
"135",48.389999,48.759998,48.049999,48.759998,607700,48.335669
"136",48.98,49.400002,48.689999,49.029999,1932800,48.60332
"137",48.959999,49.459999,48.950001,49.110001,453200,48.682626
"138",49.34,49.34,48.450001,48.810001,482000,48.385237
"139",48.860001,48.93,48.650002,48.790001,257500,48.365411
"140",48.970001,49.139999,48.709999,48.759998,255900,48.335669
"141",48.529999,48.970001,48.389999,48.619999,528800,48.196888
"142",48.639999,48.830002,48.43,48.57,477300,48.147324
"143",48.82,48.98,48.07,48.099998,399400,47.681413
"144",48.389999,48.790001,48.25,48.549999,751700,48.127498
"145",48.459999,48.849998,48.220001,48.360001,592400,47.939153
"146",48.57,48.77,47.610001,47.84,1435400,47.423677
"147",47.810001,49.52,47.68,49.389999,955000,49.165732
"148",49.77,50.41,49.700001,50.209999,1505300,49.982008
"149",50.310001,50.459999,49.630001,50.43,880800,50.201011
"150",50.610001,51,49.990002,50.060001,529100,49.832692
"151",50.77,51.25,49.98,50.18,805300,49.952146
"152",49.84,50.580002,49.720001,50.259998,929100,50.031781
"153",50.360001,50.450001,49.720001,49.73,495900,49.504188
"154",49.77,50.360001,49.580002,50.299999,734700,50.0716
"155",50.740002,51,49.779999,50.34,417400,50.111419
"156",50.09,50.400002,49.889999,50.169998,364100,49.942189
"157",50.369999,51.48,49.810001,51.450001,838400,51.21638
"158",51.23,51.490002,50.849998,51.189999,598200,50.957558
"159",51.02,51.23,50.490002,51.200001,628200,50.967515
