"","NKE.Open","NKE.High","NKE.Low","NKE.Close","NKE.Volume","NKE.Adjusted"
"1",76.339996,76.919998,76.239998,76.309998,2575100,75.436794
"2",75.669998,75.800003,74.900002,75.139999,4625000,74.280184
"3",75.190002,75.440002,74.580002,74.769997,3165300,73.914416
"4",74.739998,74.93,73.139999,74.620003,3856100,73.766138
"5",74.809998,75.300003,74.400002,74.550003,3265700,73.696939
"6",74.769997,75.160004,74.25,75.089996,3061100,74.230754
"7",75.239998,76.360001,74.720001,76.209999,4926100,75.33794
"8",76.43,76.449997,75.209999,75.639999,2488800,74.774463
"9",76.089996,76.129997,75.050003,75.099998,5692800,74.240641
"10",75.099998,75.610001,74.400002,75.449997,4534600,74.586635
"11",75.389999,75.970001,74.93,74.980003,3808500,74.122019
"12",75.029999,76.540001,75.029999,76.470001,3586100,75.594967
"13",76.57,76.910004,75.669998,76.860001,5261300,75.980504
"14",78.529999,79.150002,77.68,77.68,9069200,76.79112
"15",77.510002,77.730003,77.089996,77.550003,4267900,76.662611
"16",77.730003,78.540001,77.730003,78,3564600,77.107458
"17",78.059998,78.410004,77.690002,77.790001,2788600,76.899862
"18",77.529999,78.620003,77,78.449997,2284300,77.552306
"19",78,78.830002,77.940002,78.650002,2732400,77.750022
"20",78.309998,78.410004,77.07,77.669998,4022200,76.781233
"21",77.779999,78.769997,77.690002,78.690002,3514400,77.789565
"22",77.269997,77.809998,76.790001,77.5,3178500,76.61318
"23",77.279999,77.589996,76.760002,77.290001,2879000,76.405584
"24",77.949997,78.190002,77.589996,77.949997,2751700,77.058028
"25",77.519997,78.209999,77.480003,78.029999,3253000,77.137114
"26",77.849998,78.230003,76.769997,76.919998,3724800,76.039815
"27",76.43,76.970001,76.300003,76.529999,3730800,75.654278
"28",76.849998,77.709999,76.669998,77.519997,3032600,76.632948
"29",76.830002,77.300003,76.699997,76.82,2104700,75.940961
"30",77.110001,77.639999,77,77.040001,2518000,76.158445
"31",77.260002,77.449997,76.830002,77.370003,2046100,76.48467
"32",77.940002,78.769997,77.860001,78.599998,4015100,77.700591
"33",78.339996,78.779999,77.610001,77.720001,2270200,76.830664
"34",77.93,78.599998,77.519997,78.400002,2032600,77.502883
"35",78.419998,78.860001,78.099998,78.099998,2334800,77.206313
"36",78.389999,79.940002,78.279999,79.610001,4524100,78.699036
"37",78.660004,79.019997,76.980003,77.129997,3898400,76.247411
"38",76.540001,77.25,76.389999,76.779999,2912900,75.901418
"39",76.879997,77.410004,76.290001,77.160004,2419700,76.277074
"40",76.760002,77.639999,76.529999,76.919998,2433100,76.039815
"41",76.510002,77.239998,76.449997,77.139999,2537200,76.257299
"42",77.699997,77.730003,75.980003,76.349998,3368700,75.476338
"43",76.309998,77.099998,75.900002,77.059998,3357400,76.178212
"44",77.480003,77.5,76.980003,77.059998,3914300,76.178212
"45",77,77.440002,76.489998,76.730003,4571000,75.851994
"46",77.080002,77.790001,76.540001,77.25,3200200,76.366041
"47",77.519997,77.809998,76.959999,77.300003,1967500,76.415471
"48",77.720001,78,76.489998,77.129997,2245000,76.247411
"49",77.730003,78.690002,77.57,78.550003,2848700,77.651168
"50",78.709999,79.089996,78.349998,78.510002,2212000,77.611625
"51",78.190002,79.080002,78.190002,78.910004,1982900,78.007049
"52",79.040001,79.400002,78.650002,78.940002,2000900,78.036705
"53",79.25,79.730003,78.919998,79.290001,2903700,78.382698
"54",79.599998,80.300003,79.5,80.010002,2537200,79.09446
"55",80.029999,80.099998,79.419998,79.480003,2608200,78.570526
"56",79.989998,79.989998,79.419998,79.720001,1839700,78.807778
"57",79.019997,79.220001,78.660004,78.82,2584600,78.153357
"58",78.849998,78.940002,78.269997,78.550003,3211500,77.885644
"59",78.349998,79.519997,78.349998,79.279999,4082100,78.609466
"60",79.790001,79.879997,78.540001,78.82,2204800,78.153357
"61",79.199997,80.220001,79.18,79.919998,3011400,79.244052
"62",79.540001,82.110001,79.349998,82.040001,6190300,81.346125
"63",81.919998,82.790001,81.089996,82.400002,5864100,81.70308
"64",82.269997,82.540001,81.510002,81.839996,4059500,81.147812
"65",81.730003,82.610001,81.5,82.470001,3371200,81.772488
"66",82.160004,82.589996,81.540001,81.82,3730200,81.127984
"67",81.970001,82,81.410004,81.839996,2963100,81.147812
"68",82.099998,82.18,81.010002,81.610001,3364500,80.919761
"69",81.230003,81.540001,80.830002,81.199997,4696600,80.513225
"70",81.550003,81.830002,81,81.510002,3721600,80.820608
"71",81.849998,82,81.25,81.970001,3196700,81.276717
"72",82.639999,82.739998,81.330002,81.809998,9852200,81.118067
"73",81.68,81.870003,80.199997,80.709999,4069200,80.027372
"74",80.519997,80.580002,79.889999,80.120003,3023400,79.442365
"75",80.139999,80.870003,79.919998,80.839996,3377000,80.156269
"76",80.68,80.68,79.269997,79.75,7069200,79.075492
"77",87.980003,89.989998,87.300003,89.5,17545200,88.743029
"78",88.269997,90.099998,88.269997,89.120003,7417200,88.366245
"79",88.690002,90.290001,88.400002,89.199997,5791700,88.445563
"80",88.910004,89,87.510002,87.699997,4735800,86.95825
"81",87.669998,89.510002,86.879997,89.300003,4369600,88.544723
"82",89.760002,90.449997,89.169998,90.290001,4395000,89.526348
"83",90.290001,90.5,88.559998,89.220001,3515600,88.465398
"84",88.599998,89.190002,88.029999,88.07,2743200,87.325123
"85",88.110001,89.160004,87.529999,88.830002,3740600,88.078697
"86",88.449997,88.989998,87.099998,87.230003,3731100,86.492231
"87",87.440002,88.199997,87.010002,87.190002,4524100,86.452569
"88",86.959999,87.120003,85.239998,85.389999,4002600,84.66779
"89",85.779999,85.910004,84.839996,85.089996,4926700,84.370324
"90",85.120003,87.099998,84.099998,85.18,8785800,84.459567
"91",84.190002,87.25,83.849998,87.040001,6822000,86.303836
"92",87.790001,88.349998,86.93,87.18,5698400,86.442651
"93",86.800003,88.93,86.769997,88.900002,3371700,88.148105
"94",89.300003,90.699997,89.019997,90.639999,3229800,89.873386
"95",90.650002,91.529999,89.809998,89.860001,3543900,89.099985
"96",90.129997,91.32,89.949997,90.370003,3095900,89.605673
"97",89.949997,90.989998,89.910004,90.900002,2465500,90.131189
"98",90.910004,91.779999,90.43,91.639999,2909700,90.864928
"99",91.529999,92.449997,91.309998,92.449997,3164300,91.668075
"100",92.160004,92.540001,91.419998,91.949997,2499300,91.172304
"101",91.769997,93,91.550003,93,2291700,92.213426
