"","PCS.Open","PCS.High","PCS.Low","PCS.Close","PCS.Volume","PCS.Adjusted"
"1",0.17,0.17,0.17,0.17,0,0.17
"2",0.17,0.17,0.17,0.17,0,0.17
"3",0.17,0.17,0.17,0.17,0,0.17
"4",0.155,0.155,0.155,0.155,1000,0.155
"5",0.155,0.155,0.155,0.155,0,0.155
"6",0.155,0.155,0.155,0.155,0,0.155
"7",0.155,0.155,0.155,0.155,0,0.155
"8",0.155,0.155,0.155,0.155,0,0.155
"9",0.155,0.155,0.155,0.155,0,0.155
"10",0.155,0.155,0.155,0.155,0,0.155
"11",0.14,0.14,0.105,0.105,60000,0.105
"12",0.145,0.145,0.145,0.145,1000,0.145
"13",0.145,0.145,0.145,0.145,0,0.145
"14",0.145,0.145,0.145,0.145,0,0.145
"15",0.125,0.125,0.125,0.125,2000,0.125
"16",0.125,0.125,0.125,0.125,0,0.125
"17",0.125,0.125,0.125,0.125,0,0.125
"18",0.125,0.125,0.125,0.125,0,0.125
"19",0.125,0.125,0.125,0.125,0,0.125
"20",0.125,0.125,0.125,0.125,7000,0.125
"21",0.125,0.125,0.125,0.125,0,0.125
"22",0.125,0.125,0.125,0.125,0,0.125
"23",0.125,0.125,0.125,0.125,1300,0.125
"24",0.125,0.125,0.125,0.125,0,0.125
"25",0.125,0.125,0.125,0.125,0,0.125
"26",0.125,0.14,0.125,0.14,33400,0.14
"27",0.15,0.15,0.15,0.15,15000,0.15
"28",0.15,0.15,0.15,0.15,0,0.15
"29",0.15,0.15,0.12,0.12,58100,0.12
"30",0.115,0.12,0.115,0.12,13500,0.12
"31",0.12,0.12,0.12,0.12,0,0.12
"32",0.12,0.12,0.12,0.12,0,0.12
"33",0.12,0.12,0.12,0.12,0,0.12
"34",0.12,0.12,0.12,0.12,600,0.12
"35",0.12,0.12,0.12,0.12,0,0.12
"36",0.12,0.12,0.12,0.12,1000,0.12
"37",0.13,0.13,0.13,0.13,13000,0.13
"38",0.13,0.13,0.13,0.13,0,0.13
"39",0.13,0.13,0.13,0.13,0,0.13
"40",0.13,0.13,0.13,0.13,0,0.13
"41",0.13,0.13,0.13,0.13,0,0.13
"42",0.13,0.13,0.13,0.13,0,0.13
"43",0.12,0.12,0.12,0.12,10000,0.12
"44",0.11,0.11,0.11,0.11,85000,0.11
"45",0.125,0.125,0.09,0.105,177700,0.105
"46",0.11,0.125,0.11,0.125,41000,0.125
"47",0.095,0.125,0.095,0.125,30000,0.125
"48",0.12,0.12,0.1,0.1,7000,0.1
"49",0.1,0.125,0.1,0.125,58000,0.125
"50",0.125,0.125,0.125,0.125,0,0.125
"51",0.125,0.125,0.125,0.125,60000,0.125
"52",0.125,0.125,0.125,0.125,0,0.125
"53",0.11,0.11,0.11,0.11,26500,0.11
"54",0.11,0.11,0.11,0.11,0,0.11
"55",0.11,0.11,0.11,0.11,0,0.11
"56",0.105,0.105,0.095,0.095,20000,0.095
"57",0.095,0.095,0.095,0.095,0,0.095
"58",0.095,0.095,0.095,0.095,0,0.095
"59",0.09,0.1,0.09,0.1,60500,0.1
"60",0.1,0.1,0.1,0.1,0,0.1
"61",0.09,0.09,0.09,0.09,500,0.09
"62",0.09,0.09,0.09,0.09,0,0.09
"63",0.1,0.115,0.1,0.115,9500,0.115
"64",0.115,0.115,0.115,0.115,0,0.115
