"","DTV.Open","DTV.High","DTV.Low","DTV.Close","DTV.Volume","DTV.Adjusted"
"1",83.080002,83.239998,82.860001,82.919998,3067500,82.919998
"2",82.720001,83.040001,82.720001,82.989998,2408300,82.989998
"3",82.660004,83.110001,82.510002,82.919998,3107200,82.919998
"4",83.050003,83.169998,82.730003,83.07,2895800,83.07
"5",82.739998,83.349998,82.720001,83.129997,3189100,83.129997
"6",83.269997,84.139999,83.029999,83.660004,6039900,83.660004
"7",84.07,84.489998,83.660004,84.309998,3087200,84.309998
"8",84.269997,85.379997,84.25,85.029999,3820000,85.029999
"9",85.059998,85.529999,84.650002,84.769997,7202900,84.769997
"10",84.790001,84.93,84.529999,84.610001,2841300,84.610001
"11",84.519997,85.07,84.339996,84.540001,2822100,84.540001
"12",84.629997,84.720001,84.370003,84.400002,2401300,84.400002
"13",84.279999,85.099998,84.269997,85.099998,2462800,85.099998
"14",84.93,85.040001,84.330002,84.610001,4069700,84.610001
"15",84.800003,85.190002,84.669998,85.010002,2475000,85.010002
"16",85.449997,85.610001,84.550003,85.300003,2909200,85.300003
"17",85.110001,85.599998,85.089996,85.5,2946500,85.5
"18",85.599998,85.989998,85.480003,85.93,1242000,85.93
"19",85.949997,86.339996,85.730003,85.870003,1881200,85.870003
"20",85.559998,85.980003,85.559998,85.629997,2119700,85.629997
"21",85.889999,86.129997,85.690002,86,2604600,86
"22",85.480003,86.410004,85.349998,86.410004,2525800,86.410004
"23",86.510002,86.550003,85.910004,86.330002,1311100,86.330002
"24",86.629997,86.629997,86.050003,86.199997,1498500,86.199997
"25",86.370003,86.720001,86.18,86.489998,2352300,86.489998
"26",86.559998,86.910004,86.309998,86.860001,2202400,86.860001
"27",86.290001,86.839996,86.019997,86.199997,2627400,86.199997
"28",86.290001,87.169998,86.209999,86.959999,3331600,86.959999
"29",86.800003,87.040001,86.599998,86.900002,1480000,86.900002
"30",87.209999,87.349998,86.660004,86.75,1628900,86.75
"31",87.029999,87.120003,86.370003,86.949997,2424800,86.949997
"32",86.529999,86.839996,85.940002,86.349998,2357000,86.349998
"33",86.379997,86.699997,86.150002,86.300003,1893100,86.300003
"34",86.160004,86.550003,86.019997,86.160004,1431200,86.160004
"35",88.190002,88.25,86.379997,86.389999,4703800,86.389999
"36",86.449997,86.910004,86,86.25,2414200,86.25
"37",86.25,86.480003,85.510002,86.050003,3792700,86.050003
"38",86.120003,86.230003,85.629997,86.120003,2027800,86.120003
"39",85.980003,86.220001,85.580002,85.580002,2726900,85.580002
"40",85.260002,85.699997,85.040001,85.150002,2234300,85.150002
"41",84.949997,85,84.089996,84.510002,5720900,84.510002
"42",84.68,84.760002,83.139999,83.550003,2950200,83.550003
"43",83.610001,84.029999,83.410004,84,2328400,84
"44",84.050003,84.370003,83.709999,83.800003,2017400,83.800003
"45",83.599998,84.220001,83.580002,84.089996,1974400,84.089996
"46",84.459999,84.620003,83.949997,84.220001,1459100,84.220001
"47",84.650002,84.650002,83.769997,84.440002,1881500,84.440002
"48",84.970001,84.970001,83.989998,84.209999,2516500,84.209999
"49",84.459999,84.459999,83.769997,84.190002,1761600,84.190002
