"","FLS.Open","FLS.High","FLS.Low","FLS.Close","FLS.Volume","FLS.Adjusted"
"1",77.440002,77.839996,77.169998,77.470001,812200,76.431551
"2",77.080002,77.519997,76.57,77.400002,789900,76.362489
"3",77.300003,77.629997,76.43,76.639999,737100,75.612675
"4",76.75,77.379997,76.470001,77.269997,593000,76.234227
"5",77.25,77.43,76.610001,77.07,643400,76.036911
"6",76.910004,77.669998,76.519997,77.669998,757200,76.628867
"7",77.139999,77.559998,76.18,76.860001,1099400,75.829727
"8",76.839996,77.760002,76.400002,77.68,963300,76.638735
"9",77.910004,78.970001,77.870003,78.510002,942600,77.457611
"10",78.389999,78.75,77.660004,77.809998,430400,76.76699
"11",77.360001,77.760002,76.18,76.389999,556600,75.366026
"12",76.050003,76.57,75.839996,76.050003,723400,75.18807
"13",76.160004,76.160004,75.059998,75.650002,623000,74.792602
"14",73.889999,74.25,72.099998,73.790001,2405300,72.953682
"15",73.870003,74.589996,73.709999,74.349998,1024400,73.507333
"16",74.599998,74.919998,74.400002,74.599998,690600,73.7545
"17",74.349998,74.93,74.099998,74.889999,862300,74.041214
"18",74.989998,75.860001,74.959999,75.519997,573700,74.664071
"19",75.389999,75.389999,73.790001,73.989998,1024000,73.151413
"20",73.879997,73.980003,73.139999,73.839996,775800,73.003111
"21",73.93,74.440002,73.779999,73.919998,808200,73.082206
"22",72.82,73.629997,72.550003,73.110001,753200,72.281389
"23",73.120003,73.360001,72.540001,72.910004,742700,72.083659
"24",73.580002,74.050003,73.449997,73.629997,514200,72.795492
"25",73.510002,74,72.389999,72.589996,967400,71.767278
"26",73.050003,73.199997,72.379997,73.099998,792400,72.2715
"27",72.82,72.870003,71.559998,71.660004,1001900,70.847826
"28",71.940002,72.779999,71.910004,72.610001,461200,71.787056
"29",72.360001,72.949997,71.419998,72.449997,1060700,71.628866
"30",72.989998,73.32,72.419998,72.949997,825700,72.123199
"31",72.93,73.32,72,72.199997,1073900,71.381699
"32",74.5,76.959999,74.199997,76.43,2040600,75.563761
"33",76.589996,78.480003,76.580002,77.879997,2182900,76.997324
"34",77.790001,77.980003,76.629997,77.129997,1064700,76.255824
"35",76.889999,77.419998,75.830002,75.849998,795000,74.990333
"36",75.980003,76.160004,75.279999,75.75,749200,74.891467
"37",74.949997,75.419998,73.870003,74.040001,868700,73.200849
"38",73.739998,73.739998,72.059998,72.959999,1052700,72.133088
"39",73.010002,73.279999,72.190002,72.879997,907300,72.053993
"40",72.43,73.580002,72.110001,72.349998,724600,71.530001
"41",71.709999,72.029999,71.260002,71.809998,637700,70.99612
"42",72.419998,72.650002,71.690002,71.82,621700,71.006009
"43",71.959999,73.040001,71.550003,72.959999,439400,72.133088
"44",73.18,73.860001,72.970001,73.199997,440800,72.370365
