"","LM.Open","LM.High","LM.Low","LM.Close","LM.Volume","LM.Adjusted"
"1",50.299999,50.400002,49.669998,50.32,594000,49.518276
"2",49.950001,50,48.919998,49.779999,770500,48.986879
"3",49.790001,50.279999,49.529999,50.099998,902400,49.30178
"4",50.060001,50.34,49.48,49.650002,940700,49.015489
"5",49.599998,49.93,49.349998,49.669998,542400,49.03523
"6",49.57,50.700001,49.560001,50.580002,422100,49.933604
"7",50.560001,50.98,50.18,50.93,430900,50.27913
"8",51,51.040001,50.470001,50.889999,381200,50.23964
"9",51.150002,51.150002,50.740002,51.119999,1146200,50.4667
"10",51.150002,51.43,51.040001,51.380001,381600,50.723379
"11",51.299999,51.799999,50.84,50.900002,652500,50.249514
"12",50.599998,51.549999,50.59,51.48,608400,50.8221
"13",51.349998,51.43,50.720001,51.049999,422800,50.397595
"14",50.790001,51.369999,50.790001,51.18,943800,50.525935
"15",51.080002,51.5,50.34,51.310001,600500,50.654274
"16",51.48,52,51.41,51.529999,561400,50.87146
"17",51.490002,51.700001,51.099998,51.25,633800,50.59504
"18",51.549999,51.759998,51.189999,51.66,675700,50.9998
"19",51.580002,51.779999,50.860001,51.110001,929000,50.456829
"20",51.040001,51.240002,50.450001,50.779999,606900,50.131045
"21",50.91,51.279999,50.639999,50.880001,471200,50.229769
"22",50.09,50.490002,49.5,50.049999,646500,49.410375
"23",50.060001,50.16,49.060001,49.529999,1105700,48.89702
"24",50.189999,50.639999,50.110001,50.52,909900,49.874369
"25",50.709999,50.990002,50.080002,50.400002,850000,49.755904
"26",50.709999,50.990002,50.509998,50.950001,827300,50.298874
"27",50.700001,51.209999,49.950001,50.060001,623000,49.420249
"28",50.360001,50.93,50.130001,50.66,582200,50.01258
"29",50.23,50.419998,49.810001,49.98,553800,49.34127
"30",50.220001,50.490002,49.900002,50.419998,990100,49.775645
"31",50.560001,50.779999,50.23,50.639999,477000,49.992835
"32",50.91,51.959999,50.490002,51.25,909900,50.59504
"33",51.169998,51.290001,50.790001,50.950001,345800,50.298874
"34",50.889999,51.040001,50.459999,50.77,325600,50.121174
"35",51.049999,51.5,50.490002,50.529999,429200,49.88424
"36",50.799999,51.16,50.200001,50.470001,1029400,49.825009
"37",50.389999,51.139999,47.41,47.450001,1736100,46.843603
"38",47.200001,47.59,46.669998,47.25,1236600,46.646159
"39",47.459999,47.720001,46.84,47.389999,859400,46.784369
"40",47.189999,47.200001,46.080002,46.490002,1532600,45.895873
"41",46.18,47.849998,45.68,47.68,1294600,47.070664
"42",47.830002,48.099998,47,47.130001,792400,46.527693
"43",47.169998,47.880001,46.939999,47.849998,709400,47.238489
"44",48,48.150002,47.66,47.689999,705900,47.080534
"45",47.599998,48.139999,47.599998,47.950001,546000,47.337214
"46",48.119999,48.400002,47.75,47.869999,971400,47.258234
"47",48.07,48.5,47.959999,48.389999,441300,47.771589
"48",48.59,48.59,47.43,47.82,714200,47.208874
"49",48.25,48.759998,48.16,48.610001,417700,47.988779
"50",48.639999,48.91,48.540001,48.779999,406200,48.156604
"51",48.580002,48.919998,48.400002,48.779999,585200,48.156604
"52",48.889999,49.139999,48.099998,48.560001,1477700,47.939419
"53",48.560001,48.939999,48.330002,48.700001,689000,48.077629
"54",49.23,49.720001,49.23,49.5,447100,48.867404
"55",49.52,49.990002,49.52,49.860001,447300,49.222804
"56",50,50,49.419998,49.540001,276900,48.906894
"57",49.130001,49.16,48.849998,48.919998,561300,48.294815
"58",49.130001,49.360001,48.860001,49.32,391100,48.689704
"59",49.48,49.560001,49.07,49.450001,495300,48.818044
"60",49.869999,49.990002,48.950001,49.130001,623800,48.502134
"61",49.32,49.799999,48.82,49.09,635500,48.462644
"62",48.959999,49.080002,48.439999,48.73,610600,48.107244
"63",48.509998,49.369999,48.509998,49.23,665800,48.600854
"64",49.099998,49.290001,48.389999,48.619999,447400,47.998649
"65",48.759998,49.849998,48.740002,49.450001,1072200,48.818044
"66",49.360001,50.34,49.259998,50.130001,818200,49.489354
"67",50,50.959999,49.959999,50.23,1033600,49.588075
"68",50.130001,50.240002,49.509998,49.720001,552900,49.084594
"69",49.630001,50.470001,49.43,50.299999,626500,49.65718
"70",50.48,51,50.259998,50.619999,504000,49.97309
"71",50.93,51.450001,50.720001,51.189999,392400,50.535805
"72",51.369999,51.450001,50.470001,50.779999,751600,50.131045
"73",50.720001,50.889999,50.189999,50.25,543600,49.607819
"74",50,50.599998,49.75,49.75,597000,49.114209
"75",49.82,50.029999,49.630001,49.830002,850600,49.193189
"76",49.700001,49.869999,48.66,48.68,871100,48.057884
"77",50.330002,52,50.209999,50.77,3087600,50.121174
"78",50.240002,51.73,49.98,51.639999,1837400,50.980055
"79",51.73,51.799999,51.150002,51.16,1617200,50.50619
"80",51.150002,51.150002,50.330002,50.52,2509500,49.874369
"81",50.360001,50.799999,49.48,50.75,1489500,50.10143
"82",51.23,52.09,51.02,51.830002,1224600,51.167629
"83",52,52.02,51.150002,51.560001,1425600,50.901079
"84",50.93,50.970001,50.080002,50.150002,1187600,49.663215
"85",50.150002,51.189999,49.380001,51.18,1291200,50.683216
"86",50.98,51.040001,49.23,49.279999,1643800,48.801657
"87",49.41,50.279999,48.889999,49.459999,1834700,48.97991
"88",49.549999,49.77,47.650002,47.709999,1249000,47.246896
"89",48.009998,48.459999,47.41,47.610001,1182300,47.147869
"90",47.16,48.279999,45.779999,48.209999,1599100,47.742043
"91",47.07,48.919998,47.009998,48.41,845400,47.940103
"92",49.029999,49.709999,48.689999,49.029999,898400,48.554083
"93",48.720001,49.450001,48.59,49.419998,677200,48.940297
"94",49.77,50.869999,49.77,50.799999,625400,50.306903
"95",50.919998,50.950001,49.400002,49.540001,1042800,49.059135
"96",50.419998,51.029999,50.09,50.580002,642000,50.089041
"97",50.790001,50.849998,50.200001,50.830002,628200,50.336615
"98",50.48,50.77,49.849998,50.689999,621400,50.19797
"99",50.93,51.32,50.82,51.139999,1020200,50.643603
"100",51.369999,51.830002,51.049999,51.759998,1046000,51.257584
"101",51.59,52.029999,51.459999,51.959999,1124700,51.455643
"102",52,52.880001,51.150002,52,3571200,51.495256
"103",52.009998,52.490002,51.75,52.330002,1129800,51.822055
"104",52.029999,53.209999,51.98,52.869999,1562800,52.35681
"105",53.150002,53.84,52.959999,53.740002,1293500,53.218368
"106",54.009998,54.459999,53.700001,54.450001,1097900,53.921475
"107",54.470001,54.950001,54.009998,54.23,1459000,53.70361
"108",54.23,54.880001,54.169998,54.279999,1301900,53.753124
"109",54.240002,54.52,54.110001,54.380001,770200,53.852155
"110",53.990002,54.34,53.889999,54.029999,518700,53.50555
"111",54.5,55.130001,54.360001,55.099998,1801000,54.565164
"112",55.080002,55.34,54.459999,55.080002,1145800,54.545361
"113",55.009998,55.689999,54.759998,55.52,1265700,54.981089
"114",55.43,55.959999,55.32,55.34,1341700,54.802836
"115",55.5,55.599998,54.470001,55.139999,1277100,54.604777
"116",54.700001,55.48,54.610001,55.43,648500,54.891963
"117",56.040001,56.330002,55.740002,55.849998,786500,55.307884
"118",56.169998,56.610001,55.970001,56.59,933200,56.040703
"119",56.82,56.919998,56.41,56.700001,1127800,56.149636
"120",56.599998,56.740002,56.18,56.68,597100,56.129829
"121",56.880001,57.150002,56.650002,56.75,346500,56.19915
"122",56.400002,56.450001,55.990002,56.040001,950800,55.496042
"123",55.529999,55.73,54.700001,55.139999,2350700,54.604777
"124",55.040001,55.959999,54.91,55.529999,1956100,54.99099
"125",55.049999,55.459999,54.080002,54.610001,2069600,54.079922
"126",54.889999,55.189999,53.889999,54.470001,2589900,53.941282
"127",54.529999,55.580002,54.279999,55.25,1533700,54.713709
"128",54.439999,54.98,53.810001,54.84,1675500,54.307689
"129",54.799999,54.799999,52.68,52.73,1249400,52.21817
"130",53.040001,53.459999,51.880001,52.009998,1271700,51.505157
"131",51.959999,52.189999,50.25,50.279999,1507400,49.79195
"132",50.509998,50.799999,49.369999,50.07,1639900,49.742276
"133",49.59,50.720001,49.380001,49.860001,1405900,49.533652
"134",50.169998,51.509998,50.009998,51.459999,1400500,51.123178
"135",52.200001,52.869999,51.939999,52.849998,1270100,52.504079
"136",52.110001,53.080002,51.900002,52.900002,1929900,52.553755
"137",53.490002,54.84,53.490002,54.330002,1688300,53.974395
"138",54.48,55.259998,54.48,54.810001,1051000,54.451253
"139",54.68,54.950001,54.330002,54.509998,313000,54.153214
"140",54.77,54.970001,54.43,54.450001,373200,54.093609
"141",54.310001,54.700001,54.009998,54.41,556900,54.05387
"142",54.220001,54.299999,53.720001,53.75,781000,53.39819
"143",53.849998,54.139999,53.220001,53.369999,714000,53.020676
"144",53.93,54.299999,52.970001,53.689999,867300,53.338581
"145",53.139999,53.290001,52.32,52.639999,881100,52.295455
"146",52.779999,52.869999,52.16,52.400002,1870900,52.057028
"147",53.169998,53.580002,52.799999,53.209999,905000,52.861723
"148",53.57,54.25,53.32,53.919998,1004900,53.567075
"149",53.990002,54.049999,53.369999,53.790001,817700,53.437929
"150",53.709999,53.77,52.82,53.07,625000,52.72264
"151",54.41,54.77,53.52,54.450001,1941000,54.093609
"152",53.560001,54.240002,53.209999,54.040001,1351700,53.686293
"153",53.98,54.23,53.18,53.299999,1104500,52.951134
"154",53.09,53.450001,52.259998,53.389999,939800,53.040546
"155",53.639999,53.830002,52.740002,53.200001,654200,52.851791
"156",53.060001,53.860001,52.73,53.52,626400,53.169696
"157",53.779999,55.48,53.34,55.48,1251200,55.116866
"158",55.25,55.389999,54.779999,54.869999,665800,54.510858
"159",54.73,55.549999,54.470001,55.490002,421400,55.126803
"160",54.709999,55.439999,54.490002,54.799999,443000,54.441317
"161",55.27,55.27,53.450001,53.5,696000,53.149826
"162",53.439999,54.099998,53.279999,54.080002,740600,53.726032
"163",54,56.68,53.919998,55.439999,2211300,55.077127
"164",55.82,56.439999,54.610001,56.150002,997300,55.782483
"165",56.610001,56.93,56.09,56.830002,1102400,56.458032
"166",56.77,57.18,56.34,56.790001,1059100,56.418293
"167",57.139999,57.669998,56.950001,57.279999,936100,56.905084
"168",57.849998,58.57,57.540001,57.799999,1187900,57.421681
"169",57.400002,57.610001,57.049999,57.32,652200,56.944823
"170",58.16,58.490002,57.360001,57.82,930000,57.44155
"171",57.810001,57.950001,57.169998,57.66,621700,57.282598
"172",57.950001,58.25,57.630001,58.09,526400,57.709783
"173",58.09,58.209999,57.720001,57.84,581400,57.46142
"174",57.799999,58.740002,57.799999,58.5,857400,58.1171
"175",58.869999,59.189999,57.82,58.43,1684400,58.047558
"176",58.23,58.759998,58.130001,58.439999,536300,58.057491
"177",58.290001,58.959999,57.919998,58.919998,680500,58.534349
"178",58.700001,58.799999,58.43,58.639999,354600,58.256183
"179",58.639999,59.18,58.290001,58.490002,825400,58.107167
"180",58.419998,58.869999,58.220001,58.68,725600,58.295922
"181",58.639999,58.779999,58.080002,58.299999,336000,57.918408
"182",58.220001,58.529999,57.240002,57.27,810500,56.895151
"183",57.330002,58.18,57.23,58.080002,686900,57.69985
"184",58,58.23,57.639999,57.919998,381200,57.540894
"185",57.759998,57.759998,56.77,57,1011600,56.626918
"186",57.240002,57.759998,57.009998,57.25,775700,56.875281
"187",57.27,58.110001,56.439999,56.650002,907700,56.27921
"188",56.66,57.02,56.5,56.549999,972300,56.179862
"189",56.16,56.360001,54.66,54.689999,1342300,54.486197
"190",54.689999,55.259998,54.689999,55.029999,872700,54.82493
"191",55.220001,56.330002,55.220001,56.330002,565400,56.120089
"192",56.080002,56.439999,55.619999,55.98,549200,55.771391
"193",56.419998,57.509998,56.25,57.470001,793100,57.25584
"194",57.200001,57.32,56.77,56.959999,553800,56.747739
"195",56.860001,57.950001,56.669998,57.779999,925700,57.564683
"196",57.5,57.52,56.529999,56.91,512000,56.697926
