"","FOSL.Open","FOSL.High","FOSL.Low","FOSL.Close","FOSL.Volume","FOSL.Adjusted"
"1",106.93,107,106.050003,106.360001,505500,106.360001
"2",106.209999,107.029999,104.849998,105.660004,389300,105.660004
"3",105.730003,106.589996,104.5,105.120003,436000,105.120003
"4",105.720001,106.480003,105.190002,106.440002,692000,106.440002
"5",105.970001,106.209999,104.669998,104.970001,538900,104.970001
"6",104.279999,107.739998,104.050003,107.139999,478500,107.139999
"7",106.830002,107.230003,106.080002,106.809998,493100,106.809998
"8",107.019997,107.43,104.860001,106.029999,663000,106.029999
"9",106.400002,106.540001,105.580002,105.599998,708300,105.599998
"10",105.699997,105.839996,104.970001,105.190002,830100,105.190002
"11",104.879997,106.620003,104.209999,104.279999,548100,104.279999
"12",102.480003,105.129997,102.480003,103.980003,495000,103.980003
"13",104.07,104.760002,102.949997,103.690002,303100,103.690002
"14",103.529999,105.260002,102.910004,105.209999,670000,105.209999
"15",105.190002,105.809998,103.610001,104.519997,561500,104.519997
"16",104.419998,106.029999,104.419998,105,703200,105
"17",105.260002,106.139999,105.050003,105.489998,478900,105.489998
"18",105.550003,108.080002,105.550003,107.900002,405500,107.900002
"19",107.650002,107.860001,105.900002,106.059998,325200,106.059998
"20",106.169998,106.769997,104.510002,104.889999,419600,104.889999
"21",105.459999,106.019997,104.900002,105.540001,367600,105.540001
"22",104.120003,104.410004,102.68,103.029999,510500,103.029999
"23",102.940002,103.230003,102.150002,102.669998,452400,102.669998
"24",103.510002,103.629997,101.93,102.160004,361900,102.160004
"25",102.230003,102.480003,100.25,100.639999,709700,100.639999
"26",100.940002,102.919998,99.540001,101.019997,823800,101.019997
"27",100.580002,101.650002,99.279999,99.519997,732200,99.519997
"28",99.760002,100.470001,99.18,100.199997,444300,100.199997
"29",99.809998,100.379997,99.449997,99.760002,352800,99.760002
"30",100.18,101.720001,99.870003,100.029999,410100,100.029999
"31",99.82,101.190002,99.720001,100.959999,471700,100.959999
"32",101.5,103.25,101.120003,102.57,823900,102.57
"33",102.25,104.5,100.849998,100.980003,658000,100.980003
"34",100.879997,101.650002,100.160004,100.720001,479200,100.720001
