"","V.Open","V.High","V.Low","V.Close","V.Volume","V.Adjusted"
"145",263.48999,263.5,258.869995,259.170013,12751200,64.561957
"146",259.790009,260.779999,254.860001,257.5,11070000,64.14594
"147",258.440002,261.140015,257.450012,260.950012,9346800,65.005374
"148",263.200012,265.119995,262.630005,264.450012,10443200,65.87726
"149",263.609985,264.470001,259.769989,260.529999,10523600,64.900744
"150",261.040009,262,259.140015,260.019989,6425600,64.773695
"151",262.019989,265.809998,259.109985,260.779999,10284000,64.963022
"152",256.640015,258.600006,254.119995,255.559998,12218000,63.662665
"153",256.709991,257.470001,252.360001,253.130005,10569200,63.057328
"154",251.899994,255.100006,251.5,254.949997,11137200,63.510707
"155",256.220001,259.690002,254.259995,256.839996,14933200,63.981526
"156",256.160004,259.630005,254.5,257.279999,9784000,64.091135
"157",255.449997,259,253.369995,257.600006,11566000,64.170852
"158",258.519989,260.649994,258.179993,258.290009,6166800,64.342739
"159",256.940002,257.290009,253.800003,256.529999,8552400,63.904302
"160",253.789993,253.789993,248.580002,250.990005,11027600,62.524232
"161",252.529999,253.009995,246.300003,246.360001,11430800,61.370849
"162",247.529999,248.800003,245.169998,248,15668400,61.77939
"163",260.399994,263.619995,254.910004,254.910004,22151600,63.500745
"164",256.309998,256.309998,249.699997,255.339996,13665200,63.60786
"165",256.709991,260.450012,254.740005,259.790009,15075600,64.716405
"166",259.589996,266.730011,259.100006,264.890015,22170800,65.98687
"167",267.25,271.799988,265.899994,271.799988,16565600,67.708216
"168",271.75,272.450012,266.040009,267.420013,11242000,66.617119
"169",267.410004,268.339996,265.279999,265.459991,7834400,66.128857
"170",266.75,267.869995,263.630005,264.549988,9396800,65.902165
"171",264.980011,266.299988,264.25,265.98999,8795600,66.38133
"172",267.619995,270.910004,267.059998,270.910004,11641600,67.609184
"173",272.75,272.75,268.779999,269.630005,8476000,67.289744
"174",271.480011,271.98999,269.869995,270.869995,6810400,67.5992
"175",270.869995,271,268.149994,269.119995,6429200,67.162464
"176",270.070007,270.070007,268,269.100006,5654800,67.157475
"177",269.040009,273,267.059998,273,9034800,68.13077
