"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"1",93.849998,94.580002,93.660004,94.309998,1908700,92.796802
"2",94.199997,96,94.089996,95.309998,2430900,93.780757
"3",95.339996,96.730003,95.199997,95.480003,2292300,94.195112
"4",95.690002,96.110001,94.970001,95.949997,1751400,94.658781
"5",95.989998,96.5,95.639999,95.889999,2165700,94.59959
"6",95.470001,96.07,94.93,95.940002,1824400,94.648921
"7",95.940002,96.589996,95.209999,96.32,2028400,95.023804
"8",95.949997,97.339996,95.949997,97.339996,1878700,96.030075
"9",97.699997,97.989998,97.18,97.959999,3626700,96.641734
"10",98.110001,99.099998,97.959999,98.400002,1928900,97.075815
"11",98.400002,98.82,96.379997,96.489998,1891900,95.191515
"12",95.459999,98.300003,95.440002,98.18,2732100,96.858774
"13",98.089996,98.32,96.75,97.589996,1591600,96.27671
"14",97.25,98.339996,97.139999,98.290001,2393900,96.967295
"15",98.400002,99.089996,97.809998,98.889999,2582000,97.559219
"16",99.300003,99.940002,99,99.610001,2335600,98.269531
"17",99.199997,99.889999,99,99.419998,1683700,98.082085
"18",99.519997,100.110001,99.32,99.93,1500700,98.585224
"19",99.639999,100.099998,98.860001,99.199997,1861800,97.865045
"20",98.959999,100.120003,98.800003,98.959999,2671300,97.628277
"21",99.120003,99.870003,98.410004,99.029999,3293100,97.697334
"22",98.349998,98.800003,97.57,98.5,3000900,97.174468
"23",97.400002,98.510002,97.400002,97.839996,1670000,96.523346
"24",98.480003,99.370003,98.480003,99.209999,2329200,97.874912
"25",98.800003,98.949997,97.540001,97.830002,2606900,96.513486
"26",98.620003,100,98.620003,99.220001,2166300,97.88478
"27",98.760002,100.230003,98.379997,98.449997,2513800,97.125138
"28",98.620003,99.290001,98.449997,98.720001,2788500,97.391508
"29",98.620003,99.709999,98.519997,99.32,2203400,97.983433
"30",99.669998,100.089996,99.269997,99.800003,2281800,98.456977
"31",100.080002,100.419998,99.629997,100.160004,1575800,98.812133
"32",100.050003,100.980003,99.870003,100.739998,1505500,99.384322
"33",100.370003,100.510002,99.720001,99.809998,1202400,98.466837
"34",99.860001,100.080002,99.160004,99.830002,1662100,98.486572
"35",99.769997,100.120003,99.339996,99.419998,2586500,98.082085
"36",104,104.5,99.870003,101.050003,4860600,99.690155
"37",100.389999,100.5,98.489998,98.980003,3682000,97.648012
"38",98.650002,98.860001,96.970001,98,3123300,96.681196
"39",97.949997,100.550003,97.949997,100.440002,2204700,99.088363
"40",100.209999,100.279999,98.099998,98.589996,3216700,97.263253
"41",98.129997,99.720001,98.129997,98.769997,2013300,97.440831
"42",99.169998,99.57,97.550003,97.839996,2224400,96.523346
"43",98.169998,100.050003,98.040001,99.919998,2434500,98.575357
"44",100.349998,101,100.07,100.139999,1568300,98.792397
"45",99.690002,100.050003,98.660004,99.029999,1404700,97.697334
"46",99.480003,99.860001,99.019997,99.120003,1960600,97.786127
"47",99.199997,99.449997,97.290001,97.529999,2454700,96.21752
"48",97.830002,98.970001,97.800003,98.900002,3021800,97.569086
"49",99.209999,99.440002,96.93,97.900002,2360100,96.582544
"50",98.150002,99.540001,98.019997,99.279999,1823400,97.94397
"51",99.260002,99.699997,98.870003,99.400002,1377200,98.062358
"52",99.519997,100.290001,99.230003,100.07,1478400,98.72334
"53",99.57,99.57,98.18,98.809998,1855700,97.480294
"54",99.389999,100.5,99.07,100.160004,1381000,98.812133
"55",100.57,101.230003,100.230003,100.260002,1346800,98.910785
