"","PETM.Open","PETM.High","PETM.Low","PETM.Close","PETM.Volume","PETM.Adjusted"
"1",58.61,58.82,58.08,58.15,1386700,57.82714
"2",58.07,58.1,57.5,58.01,2476700,57.68792
"3",57.85,58.035,57.47,57.76,3240100,57.4393
"4",57.87,58.24,57.43,58.22,2171600,57.89675
"5",58.1,58.27,57.82,57.92,1884600,57.59842
"6",57.96,59.44,57.85,59.29,2214500,58.96081
"7",59.12,59.29,58.61,59.05,1738600,58.72214
"8",59.05,59.26,58.16,58.27,2606300,57.94648
"9",57.38,58.155,56.89,56.96,5102300,56.64375
"10",57.3,60.23,57.18,59.9,4379300,59.56743
"11",59.16,59.61,58.95,59.25,2490800,58.92103
"12",59.06,59.64,58.81,59.35,2830600,59.02048
"13",59.19,60.55,58.99,60.49,2179900,60.15415
"14",60.11,61.07,60.05,60.97,2740100,60.63149
"15",60.38,60.5,59.64,59.8,3728900,59.46798
"16",60.1,60.9505,59.9,60.67,2527200,60.33315
"17",60.55,60.7925,59.58,59.805,1789200,59.47295
"18",68.42,69,66.49,67.282,16173300,66.90844
"19",67.282,67.282,67.282,67.282,0,66.90844
"20",67.25,69.21,67.25,68.95,6560800,68.56717
"21",69.01,69.6,67.8,68.75,3837500,68.36829
"22",69.25,70.659,68.97,70.55,3919800,70.1583
"23",69.59,70.55,69.31,70.35,1750300,69.9594
"24",70.38,70.63,69.75,70.45,1394800,70.05885
"25",70.55,70.78,70.11,70.47,1646500,70.07874
"26",70.5,70.57,69.78,69.92,2395800,69.53179
"27",70.12,70.5,69.64,70.03,1402600,69.64118
"28",68.65,69.84,68.65,69.05,1535700,68.66663
"29",69.37,69.4,68.95,69.03,1892400,68.64673
"30",69.02,69.63,68.79,69.16,1033500,68.77602
"31",69.36,69.46,68.81,69.34,1181400,68.95501
"32",69.08,70.27,68.92,70.09,1529700,69.70084
"33",70.01,71.09,69.92,70.77,1992200,70.37707
"34",70.41,70.71,69.83,70.26,1052900,69.86991
"35",70.5,71.19,70.31,70.46,909200,70.06879
"36",70.46,70.77,70.05,70.23,1013700,69.84007
"37",70.16,70.16,69.1,69.41,1559100,69.21681
"38",69.21,69.53,67.93,68.14,1918900,67.95034
"39",68.08,68.76,67.35,67.43,1352600,67.24232
"40",67.69,68.22,67.67,68.09,1614000,67.90048
"41",67.71,68.52,67.68,68.03,1154600,67.84065
"42",67.53,68.38,67.46,67.71,2003700,67.52154
"43",68.04,68.04,66.785,67.02,1312500,66.83346
"44",67.24,67.94,66.79,67.8,1563700,67.61129
"45",68,68.67,67.8701,68.56,829600,68.36917
"46",68.54,68.99,68.2,68.485,1031200,68.29438
"47",68.55,68.55,67.63,68.15,665100,67.96032
"48",68.31,68.96,68.1,68.68,657800,68.48884
"49",68.85,69.1,68.03,68.5,838800,68.30934
"50",68.85,69.45,67.92,68.44,1687000,68.24951
"51",68.14,71.74,67.84,69.7,4461300,69.506
"52",71.71,71.75,69,70.52,3826400,70.32371
"53",70.29,70.38,69.41,69.67,1372000,69.47608
"54",69.66,70.43,69.43,69.92,2394300,69.72539
"55",70.16,70.53,69.98,70.5,1008500,70.30377
"56",70.43,71.41,70.3575,70.87,1236300,70.67275
"57",71,71.81,70.99,71.32,1124500,71.12149
"58",70.9,71.75,70.53,71.55,1111300,71.35085
"59",71.75,71.82,71.14,71.57,1264500,71.37079
"60",71.57,71.57,71.57,71.57,0,71.37079
"61",71.88,72.08,71.46,71.85,1137300,71.65001
"62",71.96,72.4,71.67,71.88,1032000,71.67993
"63",71.98,72.55,71.9,72.27,587100,72.06884
"64",72.01,72.29,71.55,71.83,819800,71.63007
"65",71.36,71.73,70.87,71.26,788300,71.06166
"66",71,71.04,69.96,70.41,854900,70.21403
"67",70.52,70.68,70.0601,70.3,516600,70.10433
"68",70.1,70.69,70.04,70.5,550700,70.30377
"69",70.5,70.72,70.27,70.5,691300,70.30377
"70",70.72,70.75,70.12,70.36,752400,70.16416
"71",70.04,71.15,69.69,70.87,510000,70.67275
"72",70.47,71.13,70.47,70.98,508000,70.78244
"73",70.86,71.51,70.71,71,500100,70.80238
"74",71.01,71.4217,70.42,70.53,1081000,70.33369
"75",70.19,70.38,69.56,70.06,635700,69.865
"76",69.67,70.21,69.57,70.01,618300,69.81514
"77",70.02,70.89,70.02,70.73,442000,70.53314
"78",70.4025,70.95,69.765,70.2,598300,70.00461
"79",70.1,70.64,69.77,70.59,489300,70.39352
"80",70.0601,70.77,69.61,70.19,429400,69.99464
"81",70.0875,70.3,69.57,70.09,596800,69.89491
"82",69.94,69.97,67.54,67.86,1109400,67.67112
"83",67.78,68.47,67.13,67.88,1000800,67.69106
"84",68.19,68.7,67.73,68,1228700,67.81073
"85",67.62,68.14,67.33,67.63,907600,67.44176
"86",67.34,68.19,66.66,66.66,906700,66.47447
"87",66.59,67.66,66.4407,67.46,825100,67.27223
"88",67.15,67.73,66.33,66.51,716100,66.32488
"89",66.17,66.44,64.82,64.83,1120400,64.64956
"90",65.005,65.6,64.64,64.73,946800,64.54984
"91",65.2,66.03,64.97,65.86,797000,65.67669
"92",65.5,65.85,64.17,64.69,1292600,64.50995
"93",63.5,65.83,63.39,65.61,833300,65.42738
"94",66.95,66.95,65.59,66.77,910400,66.58415
"95",66.7,67.96,66.63,67.63,766900,67.44176
"96",68.02,69.1,67.77,69.01,710700,68.81792
"97",69.01,70.09,68.84,68.88,579000,68.68828
"98",69.58,70.41,68.38,68.64,942000,68.44895
"99",68.69,69.59,68.29,69.45,349800,69.25669
"100",69.2,69.5,68.7,69.41,556900,69.21681
"101",69.99,70.28,69.16,70.06,706800,69.865
"102",69.86,73,69.86,71.48,2297800,71.48
"103",71.5,72.12,71.1,72.02,583700,72.02
"104",72.79,72.8,72.22,72.35,868300,72.35
"105",72.59,72.96,71.28,71.7,862500,71.7
"106",70.99,71.59,70.57,70.7,806400,70.7
"107",71.15,71.84,70.1,70.4,1162100,70.4
"108",70.05,71.7,70.05,71.64,523100,71.64
"109",72.38,72.935,72.26,72.54,852900,72.54
"110",72.75,72.86,72.29,72.74,470200,72.74
"111",72.25,72.73,72.11,72.57,317200,72.57
"112",72.69,72.98,72.46,72.77,725900,72.77
"113",72.39,73.17,72.39,72.85,598000,72.85
"114",72.76,73.25,72.52,72.84,364800,72.84
"115",72.65,73.685,72.65,73.61,1267000,73.61
"116",73.75,73.75,72.75,73.62,891900,73.62
"117",76.67,78.37,75.5,78.19,4272900,78.19
"118",78.25,78.5,77.45,78.13,1453800,78.13
"119",78.57,79,78.14,78.7,1518700,78.7
"120",79.02,79.38,77.931,78.25,1089600,78.25
"121",78.9,78.94,78.2,78.71,956900,78.71
"122",78.72,79,77.93,78.21,647800,78.21
"123",78.21,78.21,78.21,78.21,0,78.21
"124",78.95,79.29,78.55,78.76,424800,78.76
"125",78.72,78.85,78.01,78.61,953600,78.61
"126",78.79,79.68,78.1,79.08,1147800,79.08
"127",79.25,79.5,78.98,79.44,1469700,79.44
"128",79.39,79.59,78.89,79.11,1147300,79.11
"129",79.35,79.35,77.21,78.2,1338400,78.2
"130",78,78.53,77.66,77.99,1030200,77.99
"131",77.94,78.97,77.33,78.82,1435900,78.82
"132",78.67,78.85,77.35,77.45,1028200,77.45
"133",78.54,78.96,78.09,78.44,1186500,78.44
"134",78.36,78.91,77.66,77.67,833000,77.67
"135",81.24,81.44,80.8,80.97,11789300,80.97
"136",80.97,81.15,80.72,81.02,3075600,81.02
"137",81.04,81.49,80.92,81.335,2785000,81.335
"138",81.73,81.97,81.1,81.44,1792500,81.44
"139",81.64,81.74,81.25,81.31,1286400,81.31
"140",81.25,81.63,81.15,81.165,1123600,81.165
"141",81.21,81.355,81.1,81.13,1675800,81.13
"142",81.15,81.42,81.15,81.16,434700,81.16
"143",81.16,81.16,81.16,81.16,0,81.16
"144",81.2,81.27,81.15,81.21,706300,81.21
"145",81.1,81.49,81.1,81.18,911700,81.18
"146",81.17,81.35,81.1,81.16,659300,81.16
"147",81.27,81.58,81.2,81.295,685200,81.295
"148",81.295,81.295,81.295,81.295,0,81.295
"149",81.48,81.51,81.18,81.38,742500,81.38
"150",81.22,81.4,81.1,81.19,1935300,81.19
"151",81.18,81.37,81.02,81.26,2700400,81.26
"152",81.34,81.35,81.1,81.21,3001800,81.21
"153",81.34,81.35,81.1,81.2,1055100,81.2
