"","KR.Open","KR.High","KR.Low","KR.Close","KR.Volume","KR.Adjusted"
"1",48.41,48.43,47.57,47.91,2850400,47.354706
"2",48.049999,48.27,47.490002,48.009998,3451300,47.453545
"3",47.84,47.849998,47.060001,47.240002,3076900,46.692473
"4",47.330002,47.48,47.049999,47.150002,1627100,46.603516
"5",47.130001,47.380001,46.970001,47.080002,2617000,46.534328
"6",47.150002,47.439999,46.84,46.889999,3174600,46.346527
"7",46.869999,47.279999,46.77,47.27,3497400,46.722124
"8",49.950001,50.200001,49.310001,49.66,7838200,49.084422
"9",49.91,50.200001,49.610001,49.84,7644500,49.262337
"10",49.599998,49.759998,49.32,49.400002,2540500,48.827438
"11",49.290001,49.5,49.09,49.169998,2684000,48.6001
"12",49.220001,49.419998,49.02,49.220001,3239200,48.649524
"13",49.25,49.759998,49.02,49.389999,3435800,48.817551
"14",49.48,49.950001,49.209999,49.919998,4274200,49.341407
"15",49.709999,49.889999,49.34,49.43,3340700,48.857089
"16",49.200001,49.799999,49.110001,49.529999,2739800,48.955928
"17",49.43,49.68,49.16,49.43,2564700,48.857089
"18",49.57,49.990002,49.459999,49.66,2014400,49.084422
"19",49.5,49.68,49.220001,49.470001,1930200,48.896626
"20",49.380001,49.5,48.810001,48.970001,3414600,48.402421
"21",49.259998,49.43,48.939999,49.290001,3258100,48.718712
"22",48.91,49.209999,48.810001,48.970001,2430200,48.402421
"23",48.990002,49.150002,48.779999,48.82,2772100,48.254158
"24",48.970001,49.299999,48.889999,49.259998,2675900,48.689057
"25",49.619999,49.669998,49.060001,49.330002,3100400,48.758249
"26",49.130001,49.360001,49.029999,49.349998,2149000,48.778014
"27",49,49.490002,48.880001,49.279999,2479800,48.708826
"28",49.27,49.68,49.18,49.599998,2025400,49.025117
"29",49.48,49.75,49.419998,49.48,1613800,48.906508
"30",49.619999,50.290001,49.560001,50.169998,3932200,49.58851
"31",50.240002,50.310001,49.779999,50.169998,2237500,49.58851
"32",50.32,51.490002,50.240002,51,2809200,50.408892
"33",50.900002,51.080002,50.619999,50.709999,1918900,50.122252
"34",50.75,50.939999,50.119999,50.130001,2240400,49.548976
"35",50.439999,50.529999,50.16,50.259998,2766100,49.677467
"36",50.360001,50.450001,49.700001,49.73,3732900,49.153611
"37",49.540001,49.540001,48.959999,48.98,2468900,48.412304
"38",49,49.41,48.880001,49.25,2049900,48.679175
"39",49.32,49.43,49,49.360001,1606200,48.7879
"40",49.049999,49.540001,48.59,48.709999,2151200,48.145433
"41",48.689999,49.439999,48.580002,49.220001,2483300,48.649524
"42",49.529999,49.529999,48.830002,48.970001,1382200,48.402421
"43",48.970001,49.470001,48.849998,49.41,1226200,48.83732
"44",49.59,50.439999,49.59,50.25,2170600,49.667584
"45",50.169998,50.349998,50,50.110001,2112000,49.529208
"46",50.029999,50.16,49.709999,49.740002,2615300,49.325917
"47",49.84,50.57,49.66,50.549999,1791000,50.129171
"48",50.549999,50.740002,49.93,50.169998,2871600,49.752334
"49",50.34,50.48,50.060001,50.189999,2795500,49.772168
"50",50.220001,50.57,49.98,50.400002,3259300,49.980422
"51",50.43,50.580002,50.02,50.529999,1946500,50.109338
"52",50.529999,50.709999,50.419998,50.450001,1779700,50.030005
"53",50.450001,50.669998,50.200001,50.299999,1962800,49.881253
"54",50.560001,50.650002,50.02,50.130001,1972700,49.71267
"55",50.290001,50.630001,50.130001,50.48,2228400,50.059755
"56",50.43,50.869999,50.259998,50.860001,1919800,50.436592
"57",50.75,51.080002,50.689999,51,1940500,50.575426
"58",51.110001,51.110001,50.799999,50.98,2183500,50.555592
"59",51.029999,51.599998,50.970001,51.330002,2392100,50.902681
"60",51.619999,51.720001,51.450001,51.599998,2111700,51.170429
"61",51.59,52.240002,51.560001,51.849998,2087400,51.418348
"62",51.830002,52.43,51.759998,52.41,2154500,51.973688
"63",52.330002,52.720001,51.939999,52.169998,2516400,51.735684
"64",52.57,52.59,51.68,51.740002,2410400,51.309267
"65",51.75,52.029999,51.389999,51.869999,3342800,51.438182
"66",52.59,52.700001,51.18,52.169998,6551200,51.735684
"67",52.169998,52.18,51.450001,51.830002,5928500,51.398518
"68",51.84,51.860001,51.419998,51.549999,3001400,51.120846
"69",51.450001,52.450001,51.419998,52.220001,3416200,51.785271
"70",52.18,52.549999,52.080002,52.299999,2375000,51.864603
"71",52.389999,52.549999,52.169998,52.490002,2279800,52.053023
"72",52.709999,52.77,52.080002,52.150002,5304600,51.715854
"73",52.169998,52.25,51.939999,52.029999,2375500,51.59685
"74",51.919998,52.259998,51.830002,52.029999,2646500,51.59685
"75",52.18,52.959999,52.049999,52.779999,2918600,52.340606
"76",52.549999,52.689999,51.68,51.689999,3018700,51.25968
"77",51.75,51.959999,51.450001,51.73,1717500,51.299348
"78",51.5,52.049999,51.450001,51.970001,1652600,51.537352
"79",52.330002,52.5,51.810001,52,3251500,51.567101
"80",51.919998,51.959999,51.540001,51.599998,2539300,51.170429
"81",51.759998,51.880001,51.27,51.5,1887600,51.071263
"82",51.830002,52.950001,51.790001,52.880001,3663000,52.439776
"83",53.259998,53.630001,52.889999,53.02,3528800,52.57861
"84",52.939999,53.09,52.599998,52.950001,4086600,52.509193
"85",53.110001,54.130001,52.880001,54.07,4568400,53.619868
"86",54,54.25,53.110001,53.259998,4953000,52.81661
"87",53.5,54.380001,53.459999,53.919998,5101400,53.471115
"88",53.950001,54.080002,52.84,52.91,5976500,52.469525
"89",53.169998,53.48,53.060001,53.400002,4226700,52.955448
"90",52.639999,52.849998,50.84,52.34,7711900,51.904271
"91",51.299999,51.889999,51.040001,51.220001,6103700,50.793596
"92",51.560001,51.790001,51.009998,51.650002,5257000,51.220016
"93",51.59,52.919998,51.540001,52.849998,2927400,52.410023
"94",53.139999,53.880001,52.919998,53.689999,2544300,53.24303
"95",53.919998,54.830002,53.919998,54.09,3392400,53.639702
"96",54.330002,54.849998,54.200001,54.290001,2297600,53.838038
"97",54.34,54.43,53.939999,54.189999,2495100,53.738868
"98",54.220001,54.73,54.169998,54.57,2263800,54.115705
"99",54.689999,54.689999,54.369999,54.630001,3294300,54.175207
"100",54.669998,55,54.169998,54.549999,2614700,54.095872
"101",54.48,55.119999,54.299999,55.060001,2268200,54.601628
"102",55.619999,56.110001,55.52,55.709999,3406600,55.246214
"103",55.73,56.529999,55.700001,56.439999,2793100,55.970137
"104",56.5,57.119999,56.450001,57.080002,3614600,56.604812
"105",57.790001,58.150002,57.200001,57.509998,2953100,57.031229
"106",57.77,58.080002,57.380001,57.759998,2462900,57.279147
"107",57.599998,58.07,57.459999,57.799999,2359500,57.318815
