"","PSX.Open","PSX.High","PSX.Low","PSX.Close","PSX.Volume","PSX.Adjusted"
"1",83.599998,83.900002,82.440002,82.830002,2355000,80.655186
"2",82.360001,83.160004,82.190002,82.889999,2355300,80.713608
"3",83.370003,83.709999,82.43,82.800003,2879000,80.625975
"4",82.800003,83.57,82.400002,83.489998,4330000,81.297853
"5",83.519997,83.650002,82.940002,83.440002,2279700,81.24917
"6",83.010002,84.099998,82.5,84.07,2965900,81.862626
"7",83.879997,84.550003,82.93,84.5,2617000,82.281336
"8",84.709999,85.540001,84.620003,85.260002,2950200,83.021383
"9",85.589996,86.279999,85.25,85.940002,7281900,83.683529
"10",86.25,86.82,85.919998,86.330002,2316700,84.063288
"11",86.019997,87.050003,84.669998,84.940002,2801900,82.709785
"12",80.949997,82.660004,79.160004,81.360001,10144700,79.223781
"13",81.919998,82.459999,81.089996,82.099998,5304200,79.94435
"14",81.68,82.07,81.019997,81.489998,5490200,79.350365
"15",81.059998,81.190002,80.050003,80.43,3405900,78.318199
"16",80.599998,80.830002,79.940002,80.599998,3127100,78.483734
"17",80.639999,81.510002,80.599998,81,2437000,78.873233
"18",81.199997,81.949997,81,81.5,1712300,79.360105
"19",81.330002,81.440002,79.940002,80.5,2226500,78.386361
"20",80.309998,80.529999,79.029999,79.279999,3010600,77.198393
"21",79.660004,80.190002,78.529999,79.809998,3278400,77.714476
"22",78.720001,80.089996,78.690002,79.730003,2722600,77.636582
"23",79.550003,80.550003,79.510002,80.290001,2235200,78.181876
"24",80.879997,80.900002,79.629997,79.949997,8384700,77.850799
"25",79.739998,81.5,79.419998,81.120003,8653600,78.990085
"26",81.209999,81.870003,80.410004,80.839996,2888000,78.71743
"27",80.400002,80.980003,79.400002,79.540001,2370200,77.451568
"28",79.910004,81.040001,79.449997,80.860001,3127200,78.73691
"29",80.400002,80.800003,80,80.160004,2102800,78.055292
"30",80.739998,81.150002,80.239998,80.5,2733900,78.386361
"31",80.550003,81.730003,80.449997,81.269997,2118400,79.136141
"32",81.730003,82.830002,81.300003,82.099998,3517400,79.94435
"33",82.139999,82.870003,81.830002,82.650002,2064000,80.479911
"34",83,83,81.660004,82.610001,2359500,80.440961
"35",82.919998,83.25,82.470001,82.470001,3163300,80.304637
"36",82.190002,83.410004,81.309998,81.720001,2664700,79.57433
"37",81.139999,82.510002,80.559998,81.110001,3120000,78.980345
"38",80.620003,81.010002,79.25,80.540001,4488000,78.425312
"39",80.809998,82.040001,80.239998,81.879997,2934400,79.730125
"40",81.440002,81.650002,80.580002,81.010002,2735500,78.882973
"41",80.75,82.900002,80.75,82.279999,2730200,80.119624
"42",82.5,83.029999,81.169998,81.519997,2532100,79.379576
"43",82,83.169998,81.309998,83.050003,2290400,80.86941
"44",83.510002,83.849998,82.300003,82.389999,2293700,80.226736
"45",82.580002,82.93,82.139999,82.559998,2113300,80.392271
"46",82.559998,82.879997,81.970001,82.779999,2411200,81.097638
"47",82.949997,83.910004,82.550003,83.690002,2849900,81.989147
"48",83.849998,84.370003,83.5,83.790001,4763500,82.087114
"49",84.269997,86.080002,84.269997,85.610001,3347700,83.870125
"50",85.610001,86.400002,85.339996,86.089996,2676900,84.340366
"51",85.989998,86.790001,85.650002,86.599998,2128300,84.840003
"52",86.699997,86.720001,86.010002,86.239998,1767600,84.487319
"53",86.050003,86.279999,85.470001,86.089996,1633900,84.340366
"54",86.379997,87.099998,86.120003,86.900002,1903500,85.133909
"55",86.870003,87.099998,86.260002,86.669998,1869300,84.90858
"56",86.699997,87,86.029999,86.440002,1824500,84.683258
"57",86.029999,86.919998,85.82,86.610001,1188200,84.849802
"58",86.580002,87.150002,86.449997,87.019997,2150300,85.251465
"59",86.910004,87.199997,86.019997,86.949997,2376000,85.182888
"60",87.199997,87.980003,86.800003,87.239998,2881000,85.466995
"61",87.220001,87.870003,86.540001,86.879997,3332000,85.114311
"62",86.940002,87.660004,86.059998,87.510002,2236800,85.731512
"63",87.449997,87.599998,87.019997,87.059998,2060200,85.290653
"64",87,87.540001,85.949997,86.470001,2486700,84.712647
"65",86.129997,86.410004,83.900002,85.139999,4590100,83.409676
"66",84.580002,85.110001,83.57,84.010002,3313500,82.302644
"67",83.879997,84.239998,82.550003,83.019997,3337600,81.332758
"68",83.040001,84.019997,82.690002,83.900002,2412600,82.194879
"69",83.779999,86.68,83.5,85.779999,5220300,84.036668
"70",85.940002,86.379997,85.290001,85.690002,4135200,83.948501
"71",85.709999,86.389999,85.370003,85.889999,3497400,84.144433
"72",86.040001,86.379997,85.580002,85.75,3614200,84.007279
"73",85.5,85.529999,83.690002,83.839996,2576400,82.136093
"74",83.849998,84.849998,83.139999,83.260002,2168700,81.567886
"75",82.949997,83.339996,81.610001,82.690002,2514100,81.009471
"76",82.830002,82.830002,81.739998,81.739998,2420500,80.078773
"77",81.599998,82.519997,81.599998,82.230003,3274500,80.55882
"78",81.370003,82.300003,81.080002,81.769997,2073500,80.108162
"79",81.5,81.879997,80.68,81.309998,5197200,79.657512
"80",81.309998,82,79.559998,79.629997,4192300,78.011655
"81",79.18,79.389999,75.940002,77.760002,8948800,76.179664
"82",78.230003,78.279999,77.040001,77.639999,4846200,76.0621
"83",77.699997,78.120003,76.699997,77.349998,2580100,75.777993
"84",77.589996,78.800003,77.150002,77.349998,3654200,75.777993
"85",77.830002,79.209999,76.519997,79.160004,4384500,77.551213
"86",78.970001,79.370003,76.559998,76.610001,3570400,75.053034
"87",76.75,77.730003,74.809998,76.32,4702000,74.768927
"88",75.980003,77.139999,72.849998,73.050003,5176000,71.565388
"89",73.519997,74.160004,70.110001,70.589996,9368900,69.155376
"90",69.82,70.860001,66.239998,67.889999,11400000,66.510252
"91",67.459999,70.519997,66.120003,69.709999,8930400,68.293263
"92",70.690002,73.150002,70.190002,72.209999,8218500,70.742455
"93",71.760002,72.900002,71.660004,72.349998,3495500,70.879609
"94",74.349998,77.080002,72.93,76.809998,6745200,75.248967
"95",76.75,77.550003,75.349998,75.389999,5158000,73.857828
"96",76.419998,77.07,75.959999,76.120003,3218500,74.572995
"97",76.150002,76.57,74.849998,76.489998,2924800,74.93547
"98",75.650002,76.110001,74.529999,75.480003,4295500,73.946002
"99",75.849998,77.720001,75.169998,77.529999,7580200,75.954335
"100",78.559998,78.970001,75.610001,76.389999,4319500,74.837504
"101",76.349998,77.57,75.629997,77.400002,3747000,75.82698
"102",77.699997,78.760002,76.650002,78.5,3848500,76.904623
"103",78.459999,78.849998,76.379997,76.68,5523700,75.121611
"104",76.019997,76.440002,73.480003,74.489998,6013000,72.976117
"105",74.900002,76.370003,73.68,74.739998,5429500,73.221036
"106",75.18,75.639999,74.32,75.419998,4054400,73.887217
"107",75.300003,75.589996,74.279999,74.699997,5464000,73.181848
"108",75,75.599998,74.379997,74.5,3332200,72.985916
"109",74.889999,75.150002,73.230003,73.639999,3976000,72.143393
"110",72.970001,74.209999,72.849998,73.040001,3703800,72.044759
"111",72.629997,72.720001,70.220001,70.830002,5418400,69.864874
"112",70.940002,71.839996,70.800003,71.779999,7638900,70.801926
"113",71.790001,73.120003,71.790001,72.779999,4327600,71.7883
"114",73.150002,74.540001,72.82,73.959999,4730000,72.952222
"115",74.139999,76.080002,73.790001,75.769997,4720900,74.737556
"116",75.519997,77.989998,75.5,77.830002,4789900,76.769492
"117",79.010002,80.32,78.220001,79.419998,5330800,78.337823
"118",79.129997,79.900002,79.059998,79.419998,2976700,78.337823
"119",79.760002,80.169998,79.019997,79.540001,3458700,78.45619
"120",79.57,79.650002,78.699997,79.279999,4383900,78.199731
"121",78.410004,78.599998,72.760002,73.019997,5301900,72.025028
"122",73,73.730003,71.07,71.860001,7524300,70.880838
"123",71.75,74.290001,71.75,73.760002,5166700,72.75495
"124",73.809998,75.260002,73.790001,74.830002,3270600,73.81037
"125",74.330002,75.239998,73.620003,74.970001,3904000,73.948462
"126",74.82,75.190002,72.919998,73.019997,4252400,72.025028
"127",72.230003,72.629997,68.709999,68.93,6709000,67.990762
"128",68.559998,69.129997,67.559998,68.809998,5270200,67.872394
"129",67.629997,68.349998,66.419998,67.110001,5589700,66.195561
"130",67.110001,68.120003,66.620003,66.82,4743700,65.909512
"131",66.300003,67.120003,65.309998,65.68,4427800,64.785046
"132",66.650002,67.419998,64.870003,65.089996,9156000,64.203081
"133",64.599998,68.629997,64.019997,67.040001,6209400,66.126515
"134",66.779999,69.150002,66.620003,68.360001,4530100,67.428529
"135",69.900002,70.300003,66.830002,69.029999,5258500,68.089397
"136",69.599998,71.889999,69.080002,71.809998,6677000,70.831516
"137",71.059998,71.650002,70.300003,71.230003,3540100,70.259425
"138",71.489998,72.730003,71.300003,72.559998,3717500,71.571297
"139",72.099998,72.589996,71.309998,72.099998,2090100,71.117565
"140",72.339996,73.339996,72.099998,72.650002,1842900,71.660074
"141",73.010002,73.370003,72.099998,72.82,2980000,71.827756
"142",72.800003,73.610001,72.190002,72.919998,3144000,71.926392
"143",72.699997,73.029999,71.660004,71.699997,2655600,70.723014
"144",71.610001,72.449997,70.949997,72.290001,2545200,71.304979
"145",71.239998,71.589996,67.139999,67.919998,5886000,66.994522
"146",67.660004,68.760002,66.019997,66.019997,5793500,65.12041
"147",66.769997,67.889999,65.900002,66.309998,5556700,65.406459
"148",67.099998,68.900002,66.599998,68.889999,5432700,67.951306
"149",68.309998,68.5,66.699997,67.309998,4438000,66.392833
"150",66.480003,66.519997,63.830002,64.239998,5232300,63.364665
"151",64.309998,64.790001,61.369999,61.5,8886400,60.662002
"152",60.639999,60.98,57.330002,59.419998,11611100,58.610342
"153",60.240002,60.5,58.68,59.09,5531100,58.284841
"154",59,61.080002,59,60.830002,4978600,60.001133
