"","APC.Open","APC.High","APC.Low","APC.Close","APC.Volume","APC.Adjusted"
"1",102.93,104.360001,102.93,103.919998,4738300,102.640288
"2",103.209999,109,103.209999,108.32,11688400,106.986106
"3",107.5,109.290001,106.910004,107.730003,5610600,106.403375
"4",107.970001,109.419998,106.260002,109.370003,2981400,108.023179
"5",108.949997,109.949997,108.150002,108.360001,2448400,107.025614
"6",108.139999,108.660004,106.879997,107.410004,3040500,106.087316
"7",107.389999,109.660004,107.089996,109.580002,3263400,108.230592
"8",109.82,110.279999,108.82,110.220001,2614800,108.86271
"9",111.239998,111.889999,110.470001,111.550003,4585900,110.176334
"10",111.620003,112.059998,110.379997,111.099998,2439100,109.731871
"11",111.120003,111.360001,106.860001,107.389999,3722200,106.067558
"12",107.769997,109.699997,107.5,109.57,3413200,108.220713
"13",109.870003,109.980003,108.019997,109.089996,1925300,107.746621
"14",108.949997,109.580002,108.199997,109.5,2367400,108.151575
"15",108.769997,110.089996,108.599998,109.470001,2374300,108.121946
"16",110.720001,110.720001,108.379997,109.330002,2199500,107.983671
"17",109.040001,109.75,107.389999,107.629997,2073600,106.304601
"18",107.93,108.5,107.260002,107.580002,1259200,106.255221
"19",107.599998,107.639999,106.559998,106.790001,1718900,105.474948
"20",106.489998,107.68,105.980003,107.489998,3410100,106.166325
"21",107.610001,107.639999,106.620003,107.5,2165200,106.176204
"22",105.980003,106.779999,105.209999,106.139999,2649700,104.832951
"23",106,106.059998,104.449997,104.779999,2869500,103.489698
"24",105.529999,106.330002,105.150002,105.919998,2828800,104.615659
"25",109.25,110.309998,107.610001,109.720001,8849600,108.368868
"26",110.300003,112.800003,109.449997,112.529999,7098500,111.144262
"27",112.260002,112.5,107.959999,108.110001,5618800,106.778693
"28",108.07,108.769997,107.559998,108.330002,3099900,106.995985
"29",108.599998,109.300003,106.779999,108.870003,4401100,107.529336
"30",109.330002,109.510002,108.279999,108.32,4192300,106.986106
"31",108.660004,111.110001,108.18,110.809998,5516100,109.445441
"32",110.449997,112.110001,110.110001,111,4549500,109.633104
"33",110.440002,110.440002,109.040001,109.209999,2239700,107.865146
"34",109.410004,109.57,107.379997,107.650002,4839400,106.324359
"35",107.550003,110.150002,107.25,109.230003,6752000,107.884904
"36",111.470001,113,108.760002,109.870003,6010100,108.517022
"37",109.139999,109.139999,106,106.849998,6913900,105.534207
"38",105.870003,106.889999,104.5,105.620003,5191000,104.319358
"39",106.599998,112.190002,106.019997,110.730003,6785700,109.366432
"40",110.169998,110.400002,107.269997,108.099998,4177700,106.768814
"41",107.790001,108.510002,106.5,106.900002,4022600,105.583594
"42",107.480003,107.75,106,107.120003,3319700,105.800886
"43",107.029999,109.339996,106.589996,109.230003,3376900,107.884904
"44",109.269997,110.230003,108.379997,108.510002,2982100,107.173769
"45",107.790001,107.790001,105.660004,106.059998,4306200,104.753935
"46",106.650002,107.389999,105.910004,106.510002,2008400,105.198398
"47",106.599998,106.860001,105.330002,105.889999,3892600,104.58603
"48",106.400002,108.290001,105.970001,108.209999,4087400,106.87746
"49",108.160004,108.93,107.25,108.849998,5167000,107.509578
"50",109.120003,110.18,109,109.889999,2916000,108.536772
"51",109.989998,110.230003,108.870003,110.019997,3428300,108.665169
"52",110.300003,110.93,109.010002,110.730003,2576100,109.366432
"53",110.43,110.650002,109,109.739998,2263500,108.388618
"54",110.199997,112.080002,110.010002,111.970001,3843900,110.59116
"55",112.160004,113.510002,111.919998,112.050003,2814000,110.670177
"56",112.290001,112.290001,110.32,110.5,2563900,109.139261
"57",110.019997,111.230003,109.839996,111.080002,2226500,109.712121
"58",110.470001,112.760002,110.470001,112.690002,2556000,111.302295
"59",112.080002,112.93,110.870003,111.57,3909600,110.196084
"60",112.480003,112.989998,111.160004,111.480003,2290000,110.107196
"61",111.940002,112,107.989998,108.510002,7292100,107.173769
"62",108.779999,109.93,106.93,109.870003,4839300,108.517022
"63",108.370003,108.639999,105.959999,107.019997,4290700,105.962511
"64",106.57,107.769997,105.5,106.349998,2822000,105.299133
"65",106.629997,106.790001,105.010002,106.699997,3550100,105.645673
"66",106.199997,107.519997,105.18,107.389999,2297400,106.328857
"67",107.120003,107.190002,104.589996,105.459999,3061900,104.417928
"68",105.279999,106.550003,104.080002,106.239998,2408400,105.190219
"69",105.949997,108.139999,105.739998,107.010002,2946100,105.952615
"70",106.879997,107.760002,105.910004,106.639999,3076900,105.586268
"71",107.400002,107.779999,105.07,105.800003,3167000,104.754572
"72",106.230003,106.580002,105.07,105.129997,3214300,104.091187
"73",104.019997,104.300003,102.260002,103.540001,6184300,102.516902
"74",103.440002,105.230003,102.870003,103.019997,4713700,102.002036
"75",102.879997,105.089996,101.459999,104.82,4076800,103.784252
"76",104.419998,104.639999,102.269997,102.279999,4739600,101.26935
"77",102.150002,104.739998,101.699997,103.959999,2402500,102.93275
"78",102.239998,104.519997,102.029999,104.25,2832900,103.219885
"79",103.949997,104.050003,100.400002,101.440002,5351200,100.437654
"80",101.440002,102.68,98.370003,99.260002,5712900,98.279194
"81",98.230003,99.480003,96.32,98.669998,6146200,97.69502
"82",98.790001,100.279999,97.449997,98.699997,4232700,97.724723
"83",99.110001,99.949997,97.110001,97.190002,6747100,96.229649
"84",96.540001,97.949997,95.360001,95.379997,4340200,94.437529
"85",93.980003,96.019997,92.099998,95.93,8674600,94.982097
"86",95.169998,95.230003,89.309998,90,14297800,89.110692
