"","CVH.Open","CVH.High","CVH.Low","CVH.Close","CVH.Volume","CVH.Adjusted"
"1",8.4,8.41,8.2,8.41,171400,8.17937
"2",8.41,8.45,8.35,8.4,610500,8.16965
"3",8.4,8.4,8.35,8.4,678000,8.16965
"4",8.3,8.4,8.15,8.4,205400,8.16965
"5",8.4,8.4,8.4,8.4,0,8.16965
"6",8.31,8.4,8.3,8.4,188600,8.16965
"7",8.26,8.4,8.26,8.4,329000,8.16965
"8",8.4,8.45,8.3,8.35,979700,8.12102
"9",8.35,8.5,8.35,8.4,1709000,8.16965
"10",8.4,8.45,8.35,8.35,69400,8.12102
"11",8.3,8.35,8.3,8.35,23151100,8.12102
"12",8.26,8.28,8,8.04,352500,7.81952
"13",8,8.2,7.91,8.2,189400,7.97513
"14",8,8.25,7.45,8.25,1732700,8.02376
"15",8.25,8.25,8.15,8.19583,112300,7.97108
"16",8.05,8.35,8.05,8.35,9500,8.12102
"17",8.08,8.3,8,8.3,622300,8.07239
"18",8.29,8.33,8.29,8.3,223000,8.07239
"19",8.3,8.35,8.2,8.3,633400,8.07239
"20",8.31,8.31,8.3,8.31,90200,8.08212
"21",8.31,8.4,8.3,8.35,444400,8.12102
"22",8.3,8.4,8.1,8.3,313500,8.07239
"23",8.31,8.31,8.2,8.2,391500,7.97513
"24",8.15,8.31,8.15,8.16,347200,7.93623
"25",8.2,8.4,8.01,8.19,6868800,7.96541
"26",8.18,8.3,8.17,8.25,350100,8.02376
"27",8.25,8.4,8.25,8.4,186700,8.16965
"28",8.3,8.37,8.3,8.35,103300,8.12102
"29",8.35,8.37,8.25,8.35,13300,8.12102
"30",8.25,8.44,8.25,8.41053,437500,8.17989
"31",8.16,8.44,8.16,8.4,192000,8.16965
"32",8.44,8.45,8.39,8.4,2964400,8.16965
"33",8.35,8.41,8.35,8.4,1042500,8.16965
"34",8.4,8.5,8.31,8.45,479000,8.21828
"35",8.27,8.45,8.26,8.4,349000,8.16965
"36",8.39,8.5,8.39,8.4,474000,8.16965
"37",8.5,8.5,8.34,8.34,16000,8.11129
"38",8.34,8.43,8.3,8.42,4031200,8.1891
"39",8.4,8.7,8.4,8.41,11601700,8.17937
"40",8.5,8.5,8.41,8.43,446100,8.19883
"41",8.45,8.45,8.41,8.43,266800,8.19883
"42",8.43,8.45,8.41,8.45,1935500,8.21828
"43",8.45,8.7,8.45,8.55,159200,8.31554
"44",8.55,8.55,8.55,8.55,0,8.31554
"45",8.55,8.55,8.4,8.45,144300,8.21828
"46",8.52,8.65,8.46,8.55,355600,8.31554
"47",8.31,8.5,8.21,8.41,1449300,8.17937
"48",8.35,8.55,8.2,8.55,90200,8.31554
"49",8.5,8.55,8.21,8.41,360900,8.17937
"50",8.4,8.45,8.4,8.45,169600,8.21828
"51",8.45,8.7,8.4,8.7,49800,8.46142
"52",8.4,8.55,8.4,8.55,19800,8.31554
"53",8.48,8.55,8.4,8.55,49800,8.31554
"54",8.7,8.7,8.25,8.37,428200,8.14047
"55",8.49,8.5,8.34,8.42105,2192500,8.19012
"56",8.4,8.5,8.4,8.4,442200,8.16965
"57",8.4,8.42,8.4,8.42,447300,8.1891
"58",8.5,8.55,8.5,8.54,132300,8.30581
"59",8.5,8.55,8.4,8.55,283800,8.31554
"60",8.5,8.5,8.4,8.45,410200,8.21828
"61",8.4,8.5,8.4,8.45,250200,8.21828
"62",8.45,8.5,8.4,8.5,817000,8.26691
"63",8.49,8.5,8.4,8.5,85700,8.26691
"64",8.42,8.42,8.4,8.41,948700,8.17937
"65",8.49,8.6,8.4,8.5,197200,8.26691
"66",8.4,8.55,8.4,8.5,745300,8.26691
"67",8.5,8.6,8.5,8.5,1242500,8.26691
"68",8.53,8.6,8.4,8.49,225000,8.25718
"69",8.5,8.5,8.4,8.48,185200,8.24745
"70",8.25,8.5,8.25,8.49,185800,8.25718
"71",8.5,8.59,8.41,8.41,3795900,8.17937
"72",8.41,8.42,8.4,8.42,108900,8.1891
"73",8.42,8.45,8.41,8.41,387700,8.17937
"74",8.41,8.42,8.4,8.42,364900,8.1891
"75",8.41,8.43,8.4,8.4,133600,8.16965
"76",8.4,8.43,8.3,8.3,421700,8.07239
"77",8.3,8.3,8.3,8.3,0,8.07239
"78",8.3,8.45,8.3,8.45,317900,8.21828
"79",8.42,8.42,8.3,8.37,230700,8.14047
"80",8.37,8.39,8.3,8.3,930400,8.18981
"81",8.3,8.35,8.3,8.3,963400,8.18981
"82",8.3,8.37,8.3,8.3,622000,8.18981
"83",8.31,8.4,8.3,8.3,121400,8.18981
"84",8.4,8.43,8.29,8.3,452800,8.18981
"85",8.38,8.95,8.38,8.9,422900,8.78184
"86",8.87,9.2,8.79,8.83,2133300,8.71277
"87",9,9.19,8.79,8.83,393800,8.71277
"88",9.1,9.1,8.6,8.7,48800,8.5845
"89",8.5,8.89,8.4,8.6,753800,8.48582
"90",8.5,8.95,8.28,8.6,867200,8.48582
"91",8.55,8.7,8.55,8.67,851700,8.5549
"92",8.67,8.67,8.32,8.5,1163300,8.38715
"93",8.84,8.84,8.05,8.48,3460500,8.36742
"94",8.35,9.08,8.19,8.51,5335000,8.39702
"95",8.53,8.54,8.29,8.42,998300,8.30821
"96",8.42,8.52,8.42,8.45,380000,8.33782
"97",8.45,8.65,8.41,8.41,179100,8.29835
"98",8.4,8.5,8.4,8.5,277300,8.38715
"99",8.5,8.55,8.5,8.52,329200,8.40689
"100",8.51,8.52,8.49,8.51,1045900,8.39702
"101",8.53,8.85,8.53,8.57,217800,8.45622
"102",8.52,8.97,8.52,8.65,1091100,8.53516
"103",8.85,8.85,8.65,8.67,313200,8.5549
"104",8.9,8.9,8.65,8.75,55700,8.63383
"105",8.8,8.8,8.6,8.6,1127900,8.48582
"106",8.6,8.8,8.6,8.6,202400,8.48582
"107",8.65,8.8,8.65,8.77047,241600,8.65403
"108",8.8,8.8,8.5,8.8,98400,8.68317
"109",8.65,8.79,8.65,8.7,97000,8.5845
"110",8.5,8.79,8.5,8.5,33200,8.38715
"111",8.8,8.8,8.7,8.8,245600,8.68317
"112",8.7,8.7,8.7,8.7,13400,8.5845
"113",8.7,8.8,8.69,8.7,859300,8.5845
"114",8.7,8.7,8.6,8.6,339100,8.48582
"115",8.51,8.7,8.5,8.67,627800,8.5549
"116",8.6,8.69,8.6,8.64,227600,8.52529
"117",8.64,8.7,8.5,8.66,2305400,8.54503
"118",8.8,8.8,8.61,8.61,496200,8.49569
"119",8.61,8.78,8.6,8.78,616000,8.66343
"120",8.65,8.68,8.65,8.68,95100,8.56476
"121",8.65,8.68,8.64,8.65,723000,8.53516
"122",8.65,8.7,8.6,8.65,54600,8.53516
"123",8.65,8.74,8.65,8.74,297100,8.62397
"124",8.7,8.75,8.6,8.6,66600,8.48582
"125",8.6,8.69,8.5,8.6,1122100,8.48582
"126",8.7,8.7,8.5,8.65,111900,8.53516
"127",8.65,8.99,8.65,8.94,560500,8.82131
"128",8.7,8.8,8.52,8.8,73600,8.68317
"129",8.7,8.75,8.5,8.75,344000,8.63383
"130",8.55,8.85,8.55,8.8,343600,8.68317
"131",8.65,8.8,8.55,8.8,347000,8.68317
"132",8.8,9,8.65,8.75,368400,8.63383
"133",8.75,8.75,8.4,8.55,15600,8.43649
"134",8.4,8.75,8.2,8.5,131400,8.38715
