"","WDC.Open","WDC.High","WDC.Low","WDC.Close","WDC.Volume","WDC.Adjusted"
"1",91.07,91.639999,89.959999,90.779999,1854200,88.662548
"2",90.580002,91.019997,90.099998,90.699997,874500,88.584412
"3",90.32,90.910004,89.32,89.739998,1239800,87.646805
"4",91.690002,93.410004,91.440002,92.120003,2333500,89.971296
"5",91.879997,92.349998,91.339996,91.459999,1337200,89.326687
"6",91.190002,92.610001,90.889999,92.32,1142800,90.166628
"7",91.959999,93.139999,91.550003,92.989998,1002900,90.820998
"8",92.599998,93.199997,90.779999,91.279999,1764900,89.150885
"9",91.660004,92.230003,90.440002,91.459999,2608600,89.326687
"10",91.150002,91.68,90.169998,91.589996,891200,89.453652
"11",91.449997,92.209999,90.5,90.620003,1526600,88.506283
"12",90.550003,92.290001,90.279999,91.940002,1373500,90.193614
"13",91.970001,92.099998,91.150002,91.889999,804600,90.144561
"14",91.779999,93.089996,91.550003,92.900002,1509900,91.135378
"15",92.660004,93,91.989998,92.300003,1045300,90.546777
"16",93.160004,95.75,93.099998,94.459999,2260800,92.665744
"17",94.269997,96.309998,94.029999,95.919998,1685100,94.09801
"18",96.410004,96.669998,94.949997,96.540001,1247500,94.706236
"19",96.019997,96.379997,94.300003,95.730003,2616100,93.911625
"20",94.050003,96.050003,93.800003,94.360001,1850000,92.567645
"21",93.510002,95.419998,93.510002,94.300003,1435600,92.508787
"22",93.800003,96.239998,93.160004,95.410004,1662500,93.597703
"23",95.059998,98.889999,95.050003,97.769997,3174600,95.912868
"24",98.459999,99.25,97.660004,98.43,2434400,96.560335
"25",98.150002,99.980003,98.080002,98.709999,2242300,96.835016
"26",101.300003,102.110001,100.099998,101.230003,3518000,99.307153
"27",99.769997,100.910004,97.589996,98.150002,3242200,96.285655
"28",98.18,99.779999,97.879997,99.459999,2841400,97.57077
"29",99.449997,99.650002,98.480003,99.029999,1114600,97.148937
"30",99.379997,100.599998,99.360001,100.160004,1276700,98.257478
"31",100.349998,100.669998,99.410004,99.599998,1016000,97.70811
"32",99.830002,100.190002,99.040001,99.599998,1591500,97.70811
"33",99.260002,99.949997,98.769997,99.360001,971900,97.472671
"34",99.449997,100.989998,98.669998,100.809998,1665600,98.895125
"35",100.230003,101.269997,99.910004,100.790001,1714100,98.875508
"36",101.110001,102.669998,100.940002,101.169998,2604300,99.248287
"37",99.660004,102.889999,97.970001,99.889999,2213600,97.992602
"38",98.720001,100.510002,98.620003,100.300003,2504500,98.394818
"39",100.300003,102.510002,100.110001,102.099998,2318300,100.160623
"40",101.389999,102.540001,101.220001,101.650002,1916300,99.719173
"41",101.199997,102.25,101.019997,101.879997,1511100,99.9448
"42",102.059998,102.760002,101.029999,101.599998,1647000,99.67012
"43",101.709999,101.900002,100.769997,101.300003,1340400,99.375823
"44",101.400002,102.120003,100.809998,100.940002,1066300,99.02266
"45",101.029999,101.029999,98.43,99.510002,2506100,97.619823
"46",98.959999,100.410004,98.959999,100.400002,1973800,98.492917
"47",100.739998,100.779999,99.32,100.360001,1467000,98.453676
"48",101,101.309998,99.480003,100.620003,1587600,98.708739
