"","LTD.Open","LTD.High","LTD.Low","LTD.Close","LTD.Volume","LTD.Adjusted"
"146",70.97,70.97,70.83,70.83,0,70.83
"147",70.83,70.83,70.83,70.83,0,70.83
"148",70.83,70.83,70.83,70.83,0,70.83
"149",71.89,71.89,71.89,71.89,0,71.89
"150",71.65,71.65,71.65,71.65,0,71.65
"151",70.81,70.81,70.81,70.81,0,70.81
"152",70.74,70.74,70.74,70.74,0,70.74
"153",74.12,74.12,74.12,74.12,0,74.12
"154",73.24,73.24,73.24,73.24,0,73.24
"155",71.89,71.89,71.89,71.89,0,71.89
"156",72.49,72.49,72.49,72.49,0,72.49
"157",69.85,69.85,69.85,69.85,0,69.85
"158",70.31,70.31,70.31,70.31,0,70.31
"159",68.94,68.94,68.94,68.94,0,68.94
"160",70.85,70.85,70.85,70.85,0,70.85
"161",70.89,70.89,70.89,70.89,0,70.89
"162",70.86,70.86,70.86,70.86,0,70.86
"163",71.1,71.1,71.1,71.1,0,71.1
"164",73.87,74.74,73.87,74.74,0,74.74
"165",75.7,75.7,75.7,75.7,0,75.7
"166",75.74,75.74,75.74,75.74,0,75.74
"167",75.72,75.72,75.72,75.72,0,75.72
"168",75.19,75.19,75.19,75.19,0,75.19
"169",76.28,76.28,76.28,76.28,0,76.28
"170",74.94,74.94,74.94,74.94,0,74.94
"171",74.54,74.54,74.54,74.54,0,74.54
"172",75.75,75.75,75.75,75.75,0,75.75
"173",75.88,75.88,75.88,75.88,0,75.88
"174",79.44,79.44,79.44,79.44,0,79.44
"175",81.86,81.86,81.86,81.86,0,81.86
"176",81.59,81.59,81.59,81.59,0,81.59
"177",82.25,82.25,82.25,82.25,0,82.25
"178",82.67,82.67,82.67,82.67,0,82.67
"179",82.95,82.95,82.95,82.95,0,82.95
"180",82.59,82.59,82.59,82.59,0,82.59
"181",82.9,82.9,82.9,82.9,0,82.9
"182",79.3,79.3,79.3,79.3,0,79.3
"183",79.05,79.05,79.05,79.05,0,79.05
"184",78.97,78.97,78.97,78.97,0,78.97
"185",79.33,79.33,79.33,79.33,0,79.33
"186",80.73,80.73,80.73,80.73,0,80.73
"187",80.45,80.45,80.45,80.45,0,80.45
"188",79.04,79.04,79.04,79.04,0,79.04
"189",81.87,81.87,81.87,81.87,0,81.87
"190",82.22,82.22,82.22,82.22,0,82.22
"191",82.3,82.3,82.3,82.3,0,82.3
"192",81.59,81.59,81.59,81.59,0,81.59
"193",82.77,82.77,82.77,82.77,0,82.77
"194",82.74,82.74,82.74,82.74,0,82.74
"195",82.9,82.9,82.9,82.9,0,82.9
"196",84.22,84.22,84.22,84.22,0,84.22
"197",84.47,84.47,84.47,84.47,0,84.47
"198",85.42,85.42,85.42,85.42,0,85.42
"199",87.15,87.15,87.15,87.15,0,87.15
"200",86.57,86.57,86.57,86.57,0,86.57
"201",86.89,86.89,86.89,86.89,0,86.89
"202",86.41,86.41,86.41,86.41,0,86.41
"203",84.85,84.85,84.85,84.85,0,84.85
"204",87.35,87.35,87.35,87.35,0,87.35
"205",86.69,86.69,86.69,86.69,0,86.69
"206",85.64,85.64,85.64,85.64,0,85.64
"207",86,86,86,86,0,86
"208",84.09,84.09,84.09,84.09,0,84.09
"209",84.98,84.98,84.98,84.98,0,84.98
"210",86,86,86,86,0,86
"211",86.96,86.96,86.96,86.96,0,86.96
"212",86.98,86.98,86.98,86.98,0,86.98
"213",86.16,86.16,86.16,86.16,0,86.16
"214",86.16,86.16,86.16,86.16,0,86.16
"215",86.16,86.16,86.16,86.16,0,86.16
"216",86.9,86.9,86.9,86.9,0,86.9
"217",86.54,86.54,86.54,86.54,0,86.54
"218",87.74,87.74,87.74,87.74,0,87.74
"219",88.51,88.51,88.51,88.51,0,88.51
"220",89.12,89.12,89.12,89.12,0,89.12
"221",88.98,88.98,88.98,88.98,0,88.98
"222",87.98,87.98,87.98,87.98,0,87.98
"223",87.35,87.35,87.35,87.35,0,87.35
"224",85.35,85.35,85.35,85.35,0,85.35
"225",83.15,83.15,83.15,83.15,0,83.15
"226",85.11,85.11,85.11,85.11,0,85.11
"227",85.97,85.97,85.97,85.97,0,85.97
"228",84.98,84.98,84.98,84.98,0,84.98
