"","THC.Open","THC.High","THC.Low","THC.Close","THC.Volume","THC.Adjusted"
"1",48.939999,48.98,48.27,48.779999,629600,48.779999
"2",48.68,48.68,47.43,48.200001,1293500,48.200001
"3",48.099998,48.27,47.529999,47.77,1035200,47.77
"4",47.779999,47.860001,46.830002,46.970001,1888800,46.970001
"5",46.98,48.110001,46.869999,48.110001,1827900,48.110001
"6",48.119999,49.040001,47.959999,48.009998,1396300,48.009998
"7",47.919998,48.099998,47.110001,47.77,1422300,47.77
"8",47.849998,48.099998,47.02,48,1360400,48
"9",48.220001,48.849998,47.720001,48.75,1464000,48.75
"10",48.849998,49.84,48.669998,49.470001,1279800,49.470001
"11",49.32,49.360001,47.790001,47.82,1148800,47.82
"12",47.970001,48.490002,46.709999,47.939999,2544000,47.939999
"13",48.5,48.5,46.130001,46.630001,3580500,46.630001
"14",46.439999,47.369999,46.049999,46.91,1303800,46.91
"15",46.990002,47.25,46.560001,46.939999,961000,46.939999
"16",47.130001,47.490002,46.419998,46.599998,1079200,46.599998
"17",46.560001,47.91,46.330002,47.849998,1584300,47.849998
"18",48.080002,48.310001,47.27,47.75,968400,47.75
"19",47.59,47.68,46.43,46.549999,1160500,46.549999
"20",46.369999,46.369999,44.68,45.389999,1551000,45.389999
"21",45.560001,45.84,45.130001,45.43,924500,45.43
"22",44.849998,45.380001,44.200001,45.220001,1470800,45.220001
"23",45.130001,45.439999,44.459999,45.16,1091500,45.16
"24",45.400002,45.450001,44.66,45.02,697000,45.02
"25",44.970001,45.509998,44.810001,44.970001,1229200,44.970001
"26",48.349998,49.139999,47.23,48.709999,3406500,48.709999
"27",48.740002,49.75,47.669998,47.790001,1558400,47.790001
"28",47.73,48.75,47.130001,48.419998,1016600,48.419998
"29",48.18,48.400002,47.049999,48.150002,1035800,48.150002
"30",48.200001,49.189999,45.869999,48.509998,2896300,48.509998
"31",48.560001,48.91,46.869999,48.48,790400,48.48
"32",48.720001,49.650002,48.41,49.220001,1683200,49.220001
"33",50.580002,53.869999,50.43,53.610001,5022600,53.610001
"34",53.610001,54.5,53.119999,53.82,2213000,53.82
"35",54.32,55.34,53.700001,54,1844800,54
"36",54.110001,54.279999,53.060001,53.939999,1969400,53.939999
"37",53.529999,53.720001,52.619999,52.77,2332100,52.77
"38",52.639999,53.900002,52.029999,52.34,2087000,52.34
"39",52.529999,53.650002,52.400002,53.299999,2548200,53.299999
"40",54.009998,56.720001,53.82,54.830002,5118100,54.830002
"41",54.369999,56.380001,54.119999,56.139999,3090700,56.139999
"42",56.279999,58.029999,56.279999,56.970001,2795400,56.970001
"43",56.880001,57.52,55.419998,56.830002,1700100,56.830002
