"","LEN.Open","LEN.High","LEN.Low","LEN.Close","LEN.Volume","LEN.Adjusted"
"1",41.689999,41.889999,41.529999,41.669998,1230100,41.482325
"2",41.389999,41.529999,40.759998,40.939999,2011000,40.755614
"3",40.900002,41.060001,40.369999,40.509998,2144700,40.32755
"4",40.5,40.509998,40.009998,40.18,2586500,39.999038
"5",40.209999,40.880001,40.07,40.779999,2279900,40.596334
"6",40.57,41.389999,40.060001,41.299999,3040200,41.113993
"7",41.23,41.459999,40.27,41.419998,3661600,41.233451
"8",41.400002,41.860001,40.990002,41.16,1965500,40.974624
"9",40.990002,41.07,40.349998,40.68,4374600,40.496786
"10",40.799999,41.419998,40.459999,40.5,4365800,40.317597
"11",40.490002,41.689999,40.459999,41.049999,4587200,40.865119
"12",41.150002,41.639999,40.66,41.52,3012700,41.333003
"13",41.810001,42.490002,41,41.32,5457000,41.133903
"14",41.290001,41.650002,40.799999,41.59,3425300,41.402688
"15",41.459999,42.43,41.360001,41.98,3233600,41.790931
"16",41.900002,42.669998,41.849998,42.549999,3489600,42.358363
"17",42.459999,42.619999,41.73,41.93,2257300,41.741157
"18",41.959999,42.080002,41.639999,41.93,1154700,41.741157
"19",41.540001,41.720001,40.880001,41.080002,2529500,40.894986
"20",40.98,41.139999,40.689999,40.860001,1914200,40.715623
"21",40.990002,41.540001,40.869999,40.970001,2664500,40.825234
"22",40.43,41.029999,40.23,40.650002,1981200,40.506365
"23",40.639999,40.790001,40.150002,40.27,2289100,40.127707
"24",40.450001,40.599998,40,40.049999,2628500,39.908483
"25",40.110001,40.130001,39.73,39.889999,2012000,39.749049
"26",39.98,40.830002,39.720001,40.689999,3210700,40.546221
"27",40.23,40.25,39.259998,39.32,2898200,39.181063
"28",39.380001,39.650002,39.130001,39.43,1634600,39.290675
"29",39.349998,39.720001,39.080002,39.34,1847400,39.200993
"30",39.59,40.080002,39.400002,39.860001,2404700,39.719156
"31",39.77,40.68,39.57,40.509998,2448400,40.366857
"32",40.240002,40.400002,39.009998,39.27,4174600,39.131241
"33",39.09,39.119999,38.169998,38.43,3760300,38.294209
"34",38.450001,38.450001,37.279999,37.639999,4737500,37.506999
"35",37.740002,37.759998,37.099998,37.470001,3081000,37.337602
"36",37.549999,37.650002,36.880001,37.029999,2698800,36.899154
"37",36.700001,36.82,36.060001,36.23,5023900,36.101981
"38",36.439999,36.630001,35.740002,36.16,3113400,36.032229
"39",36.330002,36.759998,36.060001,36.490002,2736600,36.361065
