"","C.Open","C.High","C.Low","C.Close","C.Volume","C.Adjusted"
"1",49.490002,49.5,48.990002,49.330002,12769300,49.253633
"2",49.029999,49.27,48.639999,48.810001,13944200,48.734438
"3",48.619999,48.709999,48.099998,48.27,15670200,48.195273
"4",48.139999,48.669998,47.119999,47.59,34838700,47.516326
"5",47.470001,47.779999,47.040001,47.639999,12790900,47.566247
"6",47.48,48.049999,47.349998,47.790001,13946300,47.716017
"7",47.77,48,47.41,47.93,14468500,47.855799
"8",47.950001,47.970001,47.34,47.560001,15747900,47.486373
"9",47.77,47.82,47.07,47.34,18832900,47.266713
"10",47.130001,48.18,47.099998,48.060001,18431400,47.985599
"11",47.849998,48.48,47.709999,47.810001,16916400,47.735986
"12",47.669998,48.07,47.560001,47.82,12704600,47.745969
"13",47.709999,47.740002,47.029999,47.23,18875700,47.156882
"14",47.220001,47.34,46.919998,47.139999,19162000,47.067021
"15",47.16,47.299999,47.009998,47.099998,12290400,47.027082
"16",47.419998,47.900002,47.220001,47.459999,16699800,47.386526
"17",47.540001,48.25,47.5,48.009998,16774600,47.935673
"18",48.380001,48.709999,48.07,48.240002,13643100,48.165321
"19",48.049999,48.110001,47.59,47.98,12052300,47.905721
"20",47.700001,47.73,47.25,47.419998,13808800,47.346587
"21",47.470001,47.669998,47.200001,47.380001,14195300,47.306652
"22",46.709999,47.049999,46.549999,46.900002,18671600,46.827395
"23",46.82,47.009998,46.57,47,15205700,46.927239
"24",48.669998,48.830002,48.349998,48.419998,36149700,48.345039
"25",48.82,49.459999,48.82,49.290001,34419100,49.213695
"26",49.490002,49.869999,49.400002,49.82,23590400,49.742873
"27",49.5,49.98,49.16,49.18,23847600,49.103864
"28",49.490002,49.810001,49.310001,49.560001,15453900,49.483277
"29",49.16,49.470001,49.07,49.349998,10920200,49.273599
"30",49.599998,49.830002,49.380001,49.599998,13125500,49.523212
"31",49.610001,50.59,49.360001,50.18,20099200,50.102316
"32",50.220001,50.470001,49.959999,50.09,13282600,50.012455
"33",49.990002,50.200001,49.939999,50.029999,10082900,49.952547
"34",49.950001,50.080002,49.540001,49.700001,12070400,49.62306
"35",49.73,49.869999,49.419998,49.419998,13165800,49.343491
"36",49.669998,50.27,49.630001,50,15327600,49.922594
"37",49.560001,49.919998,48.91,48.91,23550900,48.844051
"38",48.59,49.029999,47.900002,48.099998,21822700,48.035142
"39",48.450001,48.5,48.060001,48.34,14277000,48.27482
"40",48.259998,48.490002,47.650002,47.889999,15912700,47.825426
"41",47.75,48.529999,47.75,48.139999,13038300,48.075089
"42",48.5,48.630001,47.889999,48.060001,12377000,47.995198
"43",48.060001,48.5,47.779999,48.450001,12001500,48.384672
"44",48.549999,48.599998,48.23,48.389999,9130300,48.324751
"45",48.209999,48.68,48.049999,48.439999,9238600,48.374683
"46",48.619999,48.889999,48.529999,48.75,8602600,48.684267
