"","CBS.Open","CBS.High","CBS.Low","CBS.Close","CBS.Volume","CBS.Adjusted"
"1",60.549999,61.150002,60.169998,61.130001,3959400,60.506142
"2",62,63.080002,61.689999,61.799999,21619600,61.169303
"3",61.59,61.650002,60.720001,60.880001,12542000,60.258693
"4",60.900002,60.98,60.040001,60.450001,8535900,59.833081
"5",60.150002,60.919998,59.93,60.700001,13120300,60.08053
"6",60.529999,60.720001,60.09,60.110001,6471000,59.496551
"7",60.18,61.360001,59.889999,61.23,8784600,60.60512
"8",61.119999,61.540001,59.91,60.369999,6956100,59.753896
"9",60.299999,60.299999,57.759998,59.040001,20042500,58.437471
"10",58.919998,59.290001,58.5,59,7433900,58.397879
"11",58.900002,59.799999,58.610001,58.84,7006800,58.239512
"12",58.48,63.75,58.310001,62.48,32708000,61.842363
"13",62.75,62.75,61.509998,61.990002,11581900,61.357366
"14",61.630001,62,61.150002,61.23,10856500,60.60512
"15",61.299999,62.400002,61.27,62.139999,11778700,61.505833
"16",62.34,63.330002,62.220001,62.919998,22980800,62.277871
"17",63.049999,64.529999,62.919998,64.300003,40694800,63.643793
"18",64.300003,64.540001,64.120003,64.300003,14828900,63.643793
"19",63.869999,65.239998,63.450001,63.610001,48454400,62.960832
"20",63.419998,63.720001,62.59,63.389999,51073800,62.743076
"21",63.41,64.139999,62.509998,63.93,78584800,63.277566
"22",61.889999,62.349998,61.310001,61.799999,90000600,61.169303
"23",61.970001,62.200001,61.220001,61.349998,8576700,60.723894
"24",61.790001,61.849998,60.599998,60.68,15332900,60.060734
"25",60.82,60.849998,59.330002,59.5,16898900,58.892776
"26",60.939999,61.09,59.939999,60.849998,16020600,60.228997
"27",60.389999,63.139999,60.360001,61.630001,31086800,61.001039
"28",61.599998,61.68,60.599998,61.5,23209500,60.872365
"29",61.380001,61.43,60.41,60.43,10389400,59.813285
"30",60.59,60.759998,59.25,59.400002,13347000,58.793798
"31",59.689999,59.689999,58.880001,58.970001,15471500,58.368186
"32",58.990002,59.150002,58.470001,58.509998,14116500,57.912878
"33",58.189999,58.470001,57.43,57.73,13274400,57.140839
"34",57.75,57.970001,57.369999,57.709999,6626500,57.121043
"35",57.709999,58.049999,57.439999,57.48,8277000,56.89339
"36",57.880001,58.23,57.509998,57.709999,7125500,57.121043
"37",57.299999,57.709999,56.810001,56.830002,6107700,56.250026
"38",56.470001,57.43,56.450001,57.029999,6156200,56.447982
"39",57.200001,58.009998,57.049999,57.68,6504700,57.09135
