"","TSN.Open","TSN.High","TSN.Low","TSN.Close","TSN.Volume","TSN.Adjusted"
"1",36.799999,36.970001,35.509998,36.07,14592800,35.740018
"2",36.049999,36.34,35.630001,36.09,6605800,35.759836
"3",35.740002,35.900002,35.029999,35.169998,7890000,34.84825
"4",35.16,35.5,35.049999,35.43,5927700,35.105874
"5",35.450001,35.5,34.900002,35.150002,4037500,34.828437
"6",35.18,35.5,35.110001,35.470001,3588400,35.145509
"7",35.900002,36.290001,35.68,36.040001,7990700,35.710294
"8",36.09,36.110001,35.779999,35.970001,5151000,35.640935
"9",36.07,36.560001,35.93,36.439999,6385000,36.106632
"10",36.400002,36.619999,36.18,36.27,2787700,35.938189
"11",36.259998,36.52,35.91,36.029999,3371800,35.700383
"12",35.93,36.459999,35.689999,36.380001,3110600,36.047184
"13",36.43,37.049999,36.27,37.029999,4974000,36.691235
"14",36.970001,37.450001,36.77,37.439999,3968700,37.097484
"15",37.220001,37.560001,36.93,37.540001,4776400,37.196571
"16",37.5,38.349998,37.470001,37.869999,5851400,37.523551
"17",37.91,39.16,37.740002,38.959999,7285700,38.603579
"18",39.099998,39.110001,38.279999,38.509998,3508400,38.157695
"19",38.439999,39.110001,38.360001,39.02,4319800,38.663031
"20",39.080002,39.32,39,39.240002,4143200,38.88102
"21",39.32,39.48,38.75,38.810001,3704400,38.454954
"22",38.48,39.290001,38.349998,39.130001,2583900,38.772026
"23",38.860001,39.720001,38.860001,39.68,2563700,39.316993
"24",39.799999,40.009998,39.59,39.849998,2681400,39.485436
"25",39.919998,39.959999,39.18,39.259998,2803400,38.900834
"26",39.419998,39.639999,39.049999,39.23,2054500,38.871109
"27",39.25,39.48,38.849998,39.060001,1818700,38.702666
"28",39,39.630001,38.919998,39.48,1710700,39.118822
"29",39.380001,39.380001,38.619999,38.759998,2674800,38.405408
"30",38.93,39.630001,38.84,39.540001,2109600,39.178275
"31",39.5,39.75,39.25,39.290001,1800700,38.930562
"32",39.200001,39.830002,39.049999,39.77,2569600,39.40617
"33",38.939999,39.59,38.939999,39.540001,2294500,39.178275
"34",40.939999,41.880001,40.310001,40.560001,7853500,40.188944
"35",40.709999,41.080002,39.029999,39.169998,9335900,38.811657
"36",39.25,39.279999,38.09,38.200001,7747500,37.850533
"37",37.57,37.759998,37.099998,37.209999,32321100,36.869589
"38",37.099998,37.560001,37,37.049999,11397600,36.711053
