"","FDO.Open","FDO.High","FDO.Low","FDO.Close","FDO.Volume","FDO.Adjusted"
"1",68.400002,68.639999,67.769997,68.050003,2338200,67.473717
"2",67.730003,68.07,66.239998,66.379997,2725200,66.119054
"3",66.269997,66.489998,65.300003,66.360001,1507900,66.099136
"4",66.309998,66.809998,65.980003,66.660004,766700,66.39796
"5",66.720001,68.080002,66.660004,68.010002,1363300,67.742652
"6",67.82,68.169998,67.629997,67.82,1038100,67.553396
"7",67.639999,68.379997,67.470001,68.220001,790200,67.951825
"8",68.120003,68.449997,68.010002,68.139999,641200,67.872138
"9",68.970001,69.949997,68.169998,68.760002,3017500,68.489703
"10",68.779999,69.489998,68.339996,68.489998,1997400,68.220761
"11",68.540001,68.919998,68.150002,68.510002,761900,68.240686
"12",68.339996,68.339996,67.260002,67.68,1073500,67.413947
"13",67.830002,68.099998,66.989998,68,992500,67.732689
"14",68.080002,68.080002,65.330002,66.839996,3485900,66.577245
"15",66.400002,66.559998,64.830002,66.139999,2213000,65.88
"16",66.18,67.25,64.510002,64.949997,3251000,64.694676
"17",64.830002,65.849998,64.830002,65.790001,1473000,65.531377
"18",65.779999,65.970001,65.309998,65.699997,562200,65.441727
"19",65.32,65.860001,64.660004,64.739998,1446000,64.485502
"20",64.790001,65.050003,63.779999,64.379997,1492200,64.126917
"21",64.379997,64.889999,64.110001,64.239998,1717900,63.987468
"22",63.130001,65.449997,62.560001,64.120003,3738200,63.867944
"23",63.939999,63.98,61.84,62.150002,2339200,61.905687
"24",62.57,62.599998,62,62.209999,1143800,61.965449
"25",62.25,62.419998,61.220001,61.330002,1256800,61.088911
"26",61.43,61.580002,61.130001,61.43,1976600,61.188516
"27",61.009998,61.220001,60.290001,60.310001,1178900,60.07292
"28",60.619999,61.630001,60.369999,61.389999,1692200,61.148673
"29",61,61.32,60.290001,60.75,949100,60.511189
"30",61,61.040001,59.810001,60.009998,1135200,59.774096
"31",60.02,60.599998,60.02,60.380001,887600,60.142645
"32",60.380001,61.169998,60.279999,61.139999,1550200,60.899655
"33",60.790001,61.040001,60.450001,60.66,1229900,60.421543
"34",74.25,76.82,73.599998,75.739998,35437900,75.44226
"35",75.029999,76.349998,74.480003,74.5,7629500,74.207137
"36",74.5,75.800003,74.459999,75.150002,6327200,74.854583
"37",74.660004,75.169998,74.300003,74.75,7460500,74.456154
"38",74.879997,76.040001,74.879997,75.849998,3218200,75.551829
"39",75.75,76.019997,75.25,75.730003,2425700,75.432305
"40",75.370003,79.93,75.199997,77.25,9867500,76.946327
"41",76.830002,77,76.290001,76.5,2455400,76.199275
"42",76.690002,76.900002,75.459999,76.379997,1924000,76.079744
"43",76.639999,77.209999,76.129997,77.089996,816600,76.786952
"44",76.760002,77.489998,76.139999,77.050003,2567100,76.747116
"45",77.099998,77.269997,76.5,76.730003,1051500,76.428374
"46",76.730003,76.839996,76.040001,76.209999,1220400,75.910414
"47",76.209999,76.550003,76.150002,76.339996,755300,76.0399
"48",76.150002,76.519997,75.709999,76.059998,1722800,75.761002
"49",79.57,80.010002,79.25,79.809998,20048200,79.496261
"50",79.940002,80.099998,79.599998,79.699997,5042200,79.386693
"51",79.540001,79.940002,79.5,79.809998,2130000,79.496261
"52",79.610001,79.940002,79.32,79.410004,4417100,79.097839
"53",79.419998,79.769997,79.099998,79.669998,1866000,79.356812
"54",79.699997,80.18,79.559998,80,2408300,79.685516
"55",80.190002,80.199997,79.720001,80,1031200,79.685516
"56",80.099998,80.110001,79.730003,79.800003,1099700,79.486306
"57",79.739998,80,79.440002,79.830002,1095300,79.516186
"58",79.93,80.040001,79.75,79.830002,596300,79.516186
"59",80.379997,80.970001,80.120003,80.220001,2421700,79.904653
"60",80.25,80.470001,80.059998,80.230003,1827200,79.914616
"61",80.25,80.300003,79.989998,80.059998,1487900,79.745278
"62",79.449997,79.519997,78.75,79.110001,6137600,78.799016
"63",79.110001,79.209999,78.650002,78.82,1650700,78.510155
"64",78.769997,79.080002,78.400002,78.699997,880400,78.390624
"65",78.830002,79,78.43,78.860001,3402000,78.549998
"66",78.5,78.75,78.5,78.669998,2072700,78.669998
"67",78.629997,78.760002,78.339996,78.489998,1996100,78.489998
"68",78.5,78.650002,78.370003,78.57,414200,78.57
"69",78.589996,78.82,78.459999,78.790001,1017600,78.790001
"70",78.639999,78.989998,78.610001,78.75,1378000,78.75
"71",78.669998,78.800003,78.25,78.650002,1474100,78.650002
"72",78.93,78.93,78.5,78.760002,1211600,78.760002
"73",78.760002,78.760002,78.440002,78.57,660200,78.57
"74",78.550003,78.669998,78.059998,78.089996,868200,78.089996
"75",78.199997,78.989998,78.080002,78.110001,2725000,78.110001
"76",78.169998,78.18,77.5,77.660004,1344000,77.660004
"77",77.57,77.860001,77.510002,77.540001,925100,77.540001
"78",77.349998,77.82,77.25,77.5,552400,77.5
"79",77.400002,77.699997,77.099998,77.239998,1570600,77.239998
"80",77.260002,77.739998,77.150002,77.410004,1245100,77.410004
"81",77.5,78.160004,77.32,77.959999,1127800,77.959999
"82",77.900002,78.389999,77.739998,78.220001,989200,78.220001
"83",78,78.199997,77.639999,77.739998,445800,77.739998
"84",77.629997,77.75,77.360001,77.650002,551000,77.650002
"85",77.889999,78.099998,77.599998,77.709999,755700,77.709999
"86",77.489998,77.82,77.32,77.75,718300,77.75
"87",77.529999,77.889999,77.199997,77.5,1398600,77.5
"88",76.93,77.639999,76.559998,76.760002,1051500,76.760002
"89",76.830002,77.379997,76.699997,76.970001,1386600,76.970001
"90",76.290001,76.75,75.440002,76.529999,2165700,76.529999
"91",76.269997,76.519997,76,76.370003,1518300,76.370003
"92",76.419998,77.489998,76.18,76.769997,2496700,76.769997
"93",77.120003,77.690002,76.580002,76.760002,1259700,76.760002
"94",77.099998,77.959999,76.889999,77.449997,1367000,77.449997
"95",77.489998,77.720001,76.860001,76.959999,1082700,76.959999
"96",77.400002,77.849998,77.230003,77.68,927700,77.68
"97",77.82,78.169998,77.5,77.949997,569600,77.949997
"98",77.989998,78,77.599998,77.879997,2923700,77.879997
"99",77.849998,77.970001,77.43,77.730003,566700,77.730003
"100",77.699997,77.970001,77.230003,77.75,734600,77.75
"101",77.400002,78.129997,77.400002,77.82,428100,77.82
"102",78.059998,78.32,77.900002,78.290001,686300,78.290001
"103",78.279999,78.699997,77.980003,78.550003,562200,78.550003
"104",78.5,78.610001,78.129997,78.349998,439100,78.349998
"105",78.5,78.68,78.25,78.510002,590200,78.510002
"106",78.75,78.970001,78.43,78.690002,535800,78.690002
"107",78.690002,79.029999,78.440002,78.839996,421700,78.839996
"108",78.540001,78.910004,78.300003,78.5,3e+05,78.5
"109",78.57,78.709999,78.269997,78.550003,245200,78.550003
"110",78.580002,78.660004,78.379997,78.529999,269700,78.529999
"111",78.75,78.75,78.400002,78.400002,335200,78.400002
"112",78.580002,78.599998,78.199997,78.32,523800,78.32
"113",78.239998,78.900002,78.07,78.860001,517300,78.860001
"114",78.650002,78.989998,78.540001,78.849998,1141200,78.849998
"115",78.239998,78.5,77.5,78.449997,3538700,78.449997
"116",78.699997,78.830002,78.169998,78.580002,2749400,78.580002
"117",79,79.099998,78.470001,78.989998,2307300,78.989998
"118",79,79.199997,78.68,79.110001,1234100,79.110001
"119",79.260002,79.349998,78.620003,78.68,1144100,78.68
"120",78.760002,79.120003,78.5,79.040001,1016500,79.040001
"121",79.339996,79.510002,78.699997,79.050003,341100,79.050003
"122",79.040001,79.580002,78.699997,79.419998,1056100,79.419998
"123",79.739998,79.739998,79.239998,79.400002,630900,79.400002
"124",79.389999,79.75,79.110001,79.480003,2088000,79.480003
"125",79.5,79.889999,79.18,79.68,2382900,79.68
"126",79.260002,79.809998,79.260002,79.779999,1332600,79.779999
"127",79.699997,79.879997,79.599998,79.800003,705700,79.800003
"128",79.800003,79.889999,79.260002,79.75,490500,79.75
"129",79.75,79.849998,79.269997,79.580002,1722100,79.580002
"130",79.690002,79.800003,79.440002,79.480003,1047100,79.480003
"131",79.400002,79.760002,79.230003,79.25,1162100,79.25
"132",79.440002,79.690002,79.239998,79.269997,666600,79.269997
"133",79.25,79.699997,79,79.120003,623800,79.120003
"134",79.339996,79.800003,79.099998,79.25,819700,79.25
"135",79.5,79.610001,79.160004,79.459999,1154000,79.459999
"136",79.32,79.339996,78.470001,78.959999,2235300,78.959999
"137",78.93,79.300003,78.870003,79.110001,588000,79.110001
"138",79.25,79.459999,79.129997,79.150002,350600,79.150002
"139",79.209999,79.489998,79.07,79.139999,128600,79.139999
"140",79.25,79.25,79.019997,79.120003,143500,79.120003
"141",79.199997,79.43,79.120003,79.300003,529000,79.300003
"142",79.339996,79.360001,79.059998,79.300003,479600,79.300003
"143",79.349998,79.519997,79.190002,79.209999,739800,79.209999
"144",79.169998,79.339996,78.879997,78.889999,625800,78.889999
"145",78.82,79.019997,78.540001,78.660004,707400,78.660004
"146",78.699997,79,78.470001,78.669998,1273700,78.669998
"147",78.940002,79.099998,78.709999,78.860001,1022000,78.860001
"148",78.370003,79,77.989998,78.510002,2526700,78.510002
"149",78.489998,78.599998,77.949997,77.989998,2763900,77.989998
"150",77.889999,77.889999,76.620003,76.690002,5017700,76.690002
"151",76.93,77.110001,76.470001,76.860001,4174400,76.860001
"152",76.989998,76.989998,75.919998,76.300003,3633500,76.300003
