"","SIAL.Open","SIAL.High","SIAL.Low","SIAL.Close","SIAL.Volume","SIAL.Adjusted"
"1",99.919998,100.260002,99.489998,99.889999,320200,99.171315
"2",99.589996,99.910004,99.18,99.800003,425800,99.081966
"3",99.599998,99.900002,99.309998,99.639999,561900,98.923114
"4",100.059998,100.080002,99.57,100.029999,421000,99.310307
"5",99.629997,100.43,99.629997,99.879997,548400,99.161385
"6",99.849998,100.419998,99.650002,99.989998,407400,99.270594
"7",99.75,100.589996,99.550003,100.459999,430200,99.737214
"8",100.410004,100.709999,100,100.300003,332200,99.578369
"9",100.720001,101.190002,100.309998,101.160004,687200,100.432182
"10",100.559998,101.870003,100.559998,101.709999,601000,100.97822
"11",101.220001,101.839996,100.800003,100.93,525800,100.203833
"12",100.980003,101.910004,100.949997,101.690002,487300,100.958368
"13",101.330002,101.57,100.540001,101.290001,429300,100.561244
"14",101.019997,101.550003,100.730003,101.480003,1375300,100.749879
"15",101.730003,101.75,101.089996,101.480003,599800,100.749879
"16",101.93,102.459999,101.610001,102.230003,550900,101.494483
"17",102,102.239998,101.709999,102.150002,385000,101.415057
"18",102.139999,102.279999,101.830002,102.150002,224700,101.415057
"19",102.150002,102.330002,101.690002,101.839996,310800,101.107282
"20",101.639999,102.690002,101.449997,102.019997,485000,101.285988
"21",102.349998,102.449997,101.959999,102.309998,386300,101.573902
"22",101.519997,101.989998,101.209999,101.739998,782100,101.008003
"23",101.959999,102.220001,101.290001,101.709999,325900,100.97822
"24",102.32,102.5,101.809998,101.900002,274200,101.166856
"25",102.160004,102.790001,101.25,101.949997,446100,101.216491
"26",102.059998,103.089996,102.059998,102.93,543600,102.189444
"27",101.800003,102.860001,101.099998,102.260002,779600,101.524266
"28",102.730003,103.160004,101.949997,102.860001,591900,102.119948
"29",102.419998,103.040001,102.160004,102.57,567700,101.832033
"30",102.980003,103.300003,102.790001,102.889999,460500,102.149731
"31",102.839996,103.5,102.559998,103.400002,643100,102.656064
"32",102.690002,104,102.230003,102.589996,561600,101.851886
"33",102.519997,103.139999,102.300003,102.980003,438400,102.239087
"34",102.800003,103.470001,102.580002,103.43,549900,102.685847
"35",103.550003,103.949997,103.07,103.25,811100,102.507141
"36",103.629997,103.769997,102.190002,102.300003,467300,101.563979
"37",102.139999,102.150002,100.330002,100.419998,867500,99.697501
"38",100.199997,100.910004,100.080002,100.650002,490000,99.925849
"39",101.050003,101.410004,100.139999,101.269997,352300,100.541384
"40",100.809998,101.269997,100.32,100.540001,410900,99.81664
"41",100.550003,101.279999,100.550003,101.089996,408800,100.362678
"42",101.199997,101.379997,100.330002,100.610001,313300,99.886136
"43",100.620003,102.080002,100.470001,101.93,419800,101.196639
"44",101.830002,102.57,101.830002,102.129997,289800,101.395197
"45",102.019997,102.25,101.459999,101.660004,463100,100.928585
"46",99.080002,102.589996,99.080002,102.589996,370000,101.851886
"47",102.410004,102.699997,102.360001,102.559998,196800,101.822103
"48",103.290001,103.290001,101.940002,102.68,571200,101.941243
"49",103.309998,103.57,102.959999,103.459999,347200,102.715629
"50",103.550003,104.220001,103.199997,104.139999,315000,103.390737
"51",103.760002,104.32,103.360001,103.870003,387800,103.122683
"52",103.830002,104.290001,103.559998,103.870003,319400,103.122683
"53",104.18,104.18,103.449997,103.540001,329200,102.795056
"54",103.93,104.309998,103.629997,103.970001,171600,103.221962
"55",104.110001,104.32,103.760002,103.870003,232800,103.122683
"56",103.589996,103.989998,103.089996,103.279999,384500,102.764473
"57",103.300003,103.879997,102.900002,103.739998,175700,103.222176
"58",104.279999,104.279999,103.470001,104,344100,103.480881
"59",103.949997,104.279999,103.720001,103.989998,441100,103.470929
"60",104.57,105,103.389999,103.709999,410400,103.192327
"61",103.489998,103.959999,103.190002,103.239998,358500,102.724672
"62",103.290001,103.889999,103.010002,103.870003,392800,103.351532
"63",103.540001,104.150002,103.349998,103.739998,208200,103.222176
"64",103.480003,103.699997,102.639999,102.790001,341800,102.276921
"65",102.949997,103.150002,102.099998,103.099998,346800,102.585372
"66",102.459999,102.870003,102.220001,102.599998,361000,102.087867
"67",102.389999,102.660004,101.699997,102.040001,452900,101.530665
"68",101.900002,102.559998,101.589996,102.349998,271600,101.839115
"69",102.349998,103.160004,102.07,102.800003,374600,102.286874
"70",103.160004,103.550003,102.669998,103.239998,307500,102.724672
"71",103.720001,103.910004,103.089996,103.300003,287200,102.784378
"72",103.82,103.82,102.260002,102.370003,1102400,101.85902
"73",137.25,138.009995,135.75,136.399994,12933700,135.719149
"74",136.130005,136.289993,135.770004,135.770004,3906500,135.092304
"75",135.800003,136,135.649994,135.770004,2727800,135.092304
"76",135.779999,135.869995,135.380005,135.460007,2113500,134.783854
"77",135.410004,137,135.410004,136.770004,1241900,136.087313
"78",136.130005,136.559998,135.949997,136.279999,1072700,135.599753
"79",136.100006,136.300003,135.880005,136.009995,1469800,135.331096
"80",135.800003,136.300003,135.529999,135.869995,1634400,135.191796
"81",135.839996,136.139999,135.100006,135.449997,1533100,134.773894
"82",135.25,136.509995,135.25,136.080002,1062700,135.400754
"83",135.940002,136.910004,135.639999,135.720001,1382200,135.042551
"84",135.509995,136.119995,135.339996,135.75,1017100,135.0724
"85",135.529999,136.220001,135.529999,135.800003,1083100,135.122153
"86",135.699997,136.350006,135.380005,135.600006,1125900,134.923154
"87",135.699997,135.970001,135.309998,135.490005,921200,134.813703
"88",135.440002,135.990005,135.050003,135.259995,836100,134.58484
"89",135.440002,136.309998,135.270004,135.759995,929800,135.082344
"90",135.119995,135.509995,134.649994,135.149994,1825000,134.475388
"91",132.449997,135.020004,132.449997,134.399994,1338400,133.729132
"92",134.520004,135.440002,134,134.029999,1544700,133.360984
"93",134.5,135.199997,134.210007,134.990005,865700,134.316199
"94",134.520004,135.809998,134.160004,135.600006,936800,134.923154
"95",134.380005,136.199997,134.380005,135.850006,701000,135.171907
"96",136.179993,136.220001,135.270004,135.380005,1024700,134.704251
"97",135.679993,135.839996,134.570007,135.070007,725800,134.395801
"98",134.929993,135.149994,134.5,134.899994,1030100,134.226636
"99",135.179993,135.419998,134.759995,135.360001,874900,134.684347
"100",135,135.339996,134.690002,134.910004,1867300,134.236596
"101",134.830002,135.580002,134.830002,135.580002,719600,134.90325
"102",136.240005,136.240005,135.380005,135.910004,925500,135.231605
"103",135.850006,135.990005,135.289993,135.410004,1157200,134.7341
"104",135.5,135.610001,135,135.139999,1065200,134.465444
"105",135.490005,135.570007,135.149994,135.289993,912200,134.614689
"106",135.5,135.75,135.240005,135.339996,638300,134.664443
"107",135.399994,135.619995,135.25,135.339996,569900,134.664443
"108",135.300003,135.970001,135.119995,135.809998,393400,135.132098
