"","ACN.Open","ACN.High","ACN.Low","ACN.Close","ACN.Volume","ACN.Adjusted"
"1",84.07,84.489998,83.559998,83.639999,1889300,81.646739
"2",83.349998,83.620003,82.629997,82.940002,2402300,80.963424
"3",83.040001,83.120003,82.089996,82.419998,1928700,80.455812
"4",82.959999,83.400002,82.510002,82.730003,1625000,80.758429
"5",82.440002,83.050003,82.290001,82.82,1807000,80.846281
"6",82.629997,82.989998,82.260002,82.510002,1735500,80.543671
"7",82.529999,82.790001,82.230003,82.690002,2702500,80.719382
"8",82.830002,83.370003,82.709999,83.059998,2352300,81.080559
"9",82.93,83.389999,82.410004,83.129997,4154500,81.148891
"10",82.889999,82.980003,82.160004,82.669998,2964000,80.699854
"11",82.699997,82.980003,82.260002,82.440002,2795800,80.47534
"12",82.309998,83.529999,82.169998,83.059998,3735900,81.080559
"13",82.949997,83.150002,79.769997,81.529999,7405900,79.587023
"14",81.089996,81.800003,80.970001,81.349998,4008700,79.411312
"15",81.099998,81.599998,80.75,80.839996,3472900,78.913464
"16",81.089996,81.620003,80.910004,81.25,2141600,79.313697
"17",81,81.489998,80.650002,81.059998,2400500,79.128222
"18",81.260002,81.690002,81.220001,81.550003,1042900,79.60655
"19",81.120003,81.32,80.769997,81.050003,2083500,79.118466
"20",80.989998,81.260002,80.809998,81.110001,1815600,79.177034
"21",81.150002,81.480003,80.529999,80.639999,2884000,78.718233
"22",80.080002,80.419998,79.699997,79.769997,2965000,77.868964
"23",79.879997,80.110001,79.550003,79.769997,2586700,77.868964
"24",80.160004,80.32,79.260002,79.459999,2595800,77.566354
"25",79.360001,79.860001,79.099998,79.360001,3195000,77.468739
"26",79.870003,80.110001,79.449997,79.739998,3423500,77.83968
"27",79.650002,80.099998,79.18,79.239998,2107700,77.351596
"28",79.489998,79.790001,78.849998,79.739998,2818900,77.83968
"29",79.849998,80.199997,79.389999,79.800003,1985800,77.898255
"30",80,80.669998,79.989998,80.290001,2105700,78.376576
"31",80.400002,80.779999,80.190002,80.589996,2483700,78.669422
"32",80.330002,80.900002,80.230003,80.690002,2065600,78.767045
"33",80.32,80.830002,80.120003,80.379997,1487600,78.464427
"34",80.18,80.919998,79.970001,80.650002,1799200,78.727997
"35",80.589996,80.959999,80.459999,80.57,2416900,78.649902
"36",80.599998,80.870003,80.150002,80.489998,1722500,78.571806
"37",79.910004,80.660004,79.220001,79.279999,2745800,77.390643
"38",78.849998,79.480003,78.349998,78.699997,2402700,76.824464
"39",78.970001,79.489998,78.5,79.349998,2160900,77.458975
"40",78.959999,79.269997,78.040001,78.449997,2163300,76.580422
"41",77.260002,78.139999,76.870003,77.839996,3093600,75.984958
