"","MNST.Open","MNST.High","MNST.Low","MNST.Close","MNST.Volume","MNST.Adjusted"
"103",100.849998,102.870003,100.779999,101.230003,972100,101.230003
"104",101.5,101.519997,99.970001,100.040001,906400,100.040001
"105",100.980003,102.269997,98.650002,99.169998,1096500,99.169998
"106",99.739998,101.400002,99.610001,100.480003,1630700,100.480003
"107",103.769997,108.57,102.949997,108.389999,2861500,108.389999
"108",108.120003,108.599998,106.309998,107.760002,1250100,107.760002
"109",107.57,107.889999,106.410004,107.010002,827400,107.010002
"110",106.459999,108.019997,105.790001,107.910004,685000,107.910004
"111",108.370003,109.580002,106.809998,108.160004,1215100,108.160004
"112",108.330002,108.559998,107.150002,107.919998,484200,107.919998
"113",107.970001,110.089996,107.650002,110.07,745000,110.07
"114",109.510002,110.669998,108.610001,109.75,734600,109.75
"115",109.959999,110.449997,109.290001,110.300003,554500,110.300003
"116",109.879997,110.690002,109.379997,110.190002,653900,110.190002
"117",111.510002,111.510002,108.669998,109.449997,1330800,109.449997
"118",109.449997,110.050003,108.410004,108.790001,948700,108.790001
"119",109.379997,110.940002,108.959999,110.449997,829200,110.449997
"120",110.309998,110.730003,109.580002,110.389999,453500,110.389999
"121",111.150002,113.5,110.620003,112.150002,456000,112.150002
"122",110.970001,112.279999,110.379997,111.300003,808800,111.300003
"123",110.660004,111.199997,108.300003,109.580002,1142900,109.580002
"124",109.43,109.559998,105.849998,106.959999,2379500,106.959999
"125",107.160004,107.970001,105.440002,106.610001,1249300,106.610001
"126",107.330002,107.599998,106.239998,106.690002,1000300,106.690002
"127",106.760002,108.18,105.699997,106.519997,965200,106.519997
"128",105.360001,106.5,103.18,106.410004,1245700,106.410004
"129",106,107.769997,105.970001,106.510002,916300,106.510002
"130",107.050003,109.57,105.839996,108.389999,983400,108.389999
"131",107.279999,108.330002,105.029999,105.110001,782200,105.110001
"132",106.010002,106.360001,104.480003,105.010002,1151400,105.010002
"133",106.489998,110.199997,105.739998,106.239998,1233800,106.239998
"134",106.779999,109.099998,105.349998,108.559998,901800,108.559998
"135",109.949997,112.129997,108.760002,112.129997,1113500,112.129997
"136",112.029999,113.040001,110.959999,111.629997,2021000,111.629997
"137",111.669998,113.440002,111.239998,112.129997,714100,112.129997
"138",112.970001,113.32,110.879997,112.040001,611600,112.040001
"139",112.07,113.489998,111.82,112.559998,276700,112.559998
"140",112.449997,112.989998,111.419998,111.510002,349800,111.510002
"141",111.260002,111.639999,109.779999,111.220001,515300,111.220001
"142",110.629997,111.290001,109.550003,109.580002,520100,109.580002
"143",110.330002,111.25,108.300003,108.349998,548300,108.349998
"144",109.400002,109.889999,106.769997,108.160004,653800,108.160004
"145",108.169998,109.800003,108.139999,109.43,1085800,109.43
"146",109.449997,113.989998,109.269997,112.279999,1924800,112.279999
"147",112.43,116,112.43,115.959999,1519800,115.959999
"148",117.349998,118.699997,116.480003,117.709999,1508000,117.709999
"149",118.160004,118.25,116.279999,117.040001,1036400,117.040001
"150",116.739998,117.57,111.919998,111.959999,2559000,111.959999
"151",112.519997,116.25,112.040001,113.110001,1747700,113.110001
"152",113.589996,118.059998,113.5,117.739998,1559200,117.739998
"153",118.589996,118.779999,115.660004,116.260002,1057900,116.260002
"154",115.889999,118.970001,115.889999,118.889999,948900,118.889999
"155",118.970001,119.169998,116.949997,117.440002,1023800,117.440002
"156",117.580002,119.010002,116.25,118.540001,756100,118.540001
"157",118.970001,120.150002,116.849998,119.989998,908500,119.989998
"158",120.220001,120.860001,119.029999,119.309998,868500,119.309998
"159",119.610001,120.010002,118.029999,119.949997,822600,119.949997
"160",119,119.699997,117.690002,118.809998,846500,118.809998
"161",119.400002,122.269997,119.029999,119.209999,1191200,119.209999
"162",119.709999,120.839996,118.93,120.769997,772800,120.769997
"163",119.529999,119.860001,116.580002,116.949997,1022000,116.949997
"164",116.790001,117.620003,114.699997,117.550003,897800,117.550003
"165",116.400002,118.349998,115.620003,116.669998,1034700,116.669998
"166",116.349998,119.540001,116.110001,118.730003,907400,118.730003
"167",118.949997,119.989998,117.720001,118.370003,665400,118.370003
"168",118.279999,118.639999,116.400002,117.150002,505700,117.150002
"169",116.559998,117.129997,115.260002,115.940002,663800,115.940002
"170",116.110001,118.839996,116.059998,118.489998,511000,118.489998
"171",118.5,119.410004,118.110001,118.989998,661300,118.989998
"172",118.879997,119.739998,118.019997,119.510002,591100,119.510002
"173",119.610001,119.610001,116.349998,117.739998,803700,117.739998
"174",117.040001,119.150002,116.550003,118.709999,515000,118.709999
"175",118.589996,120.610001,118.010002,120.279999,566100,120.279999
"176",120.220001,121.919998,119.849998,121.129997,586200,121.129997
"177",121.220001,121.43,119.419998,121.260002,555600,121.260002
"178",121.610001,122.370003,120.709999,122.120003,768800,122.120003
"179",123.300003,125.610001,123.199997,124.809998,1104900,124.809998
"180",125.269997,126,122.459999,123.790001,908600,123.790001
"181",124.059998,125.010002,122.300003,124.739998,2148100,124.739998
"182",139.139999,143.899994,137.720001,141.119995,6219100,141.119995
"183",142.179993,142.990005,139.690002,141.229996,2288900,141.229996
"184",140.070007,141.729996,140,140.690002,1711900,140.690002
"185",140.009995,140.490005,138.75,139.539993,1311200,139.539993
"186",138.149994,140.679993,138.009995,140.029999,803100,140.029999
