"","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume","DOV.Adjusted"
"1",88.660004,89.059998,87.900002,89.050003,1065400,87.292439
"2",88.599998,89.190002,88.290001,89.059998,628300,87.302236
"3",88.889999,89.010002,88.040001,88.809998,1279200,87.05717
"4",88.839996,89.589996,88.57,89.150002,815500,87.390463
"5",88.860001,89.279999,88.620003,89.150002,805700,87.390463
"6",88.93,89.75,88.660004,89.410004,621400,87.645334
"7",89.400002,90.059998,88.550003,89.900002,655400,88.125661
"8",89.849998,90.629997,89.360001,90.470001,686200,88.684411
"9",90.709999,90.910004,90.010002,90.709999,1084700,88.919672
"10",90.690002,90.720001,89.75,90,567500,88.223686
"11",89.989998,90.510002,89.389999,89.419998,631500,87.655131
"12",89.339996,90.07,89.099998,89.769997,459200,87.998222
"13",89.889999,90.110001,88.739998,89.620003,463700,87.851188
"14",89.489998,89.980003,89.169998,89.870003,574300,88.096254
"15",90.059998,91.370003,89.559998,90.949997,1096200,89.154933
"16",91.040001,91.839996,90.919998,90.989998,757500,89.194144
"17",90.660004,90.919998,90.239998,90.610001,567400,88.821647
"18",90.879997,91.510002,90.75,91.07,507600,89.272567
"19",90.889999,91,89.75,89.970001,800300,88.194279
"20",89.970001,90.169998,89.330002,89.559998,645900,87.792367
"21",89.980003,90.120003,89.32,89.580002,556600,87.811977
"22",88.580002,88.629997,87.739998,88.449997,1379100,86.704275
"23",88.559998,89.190002,88.059998,88.739998,891400,86.988552
"24",89.690002,89.690002,88.779999,88.949997,843200,87.194406
"25",88.949997,89.139999,87.970001,88.120003,1289900,86.380794
"26",88.529999,89.309998,88.099998,88.940002,1450300,87.184609
"27",87.760002,88.489998,86.5,87.139999,1624600,85.420132
"28",87.480003,88.839996,87.150002,88.720001,1166000,86.96895
"29",88.690002,89.830002,88.440002,89.540001,971100,87.772765
"30",90.029999,90.550003,89.889999,90.07,1079600,88.292304
"31",90.110001,90.360001,89.489998,89.57,624000,87.802172
"32",89.830002,90.080002,88.669998,88.82,1137500,87.066975
"33",88.5,88.940002,88.309998,88.559998,886700,86.812104
"34",88.309998,88.330002,87.400002,88.110001,810600,86.370989
"35",87.650002,88.489998,86.93,86.980003,829100,85.263294
"36",87.169998,87.709999,86.480003,87.269997,1020100,85.547564
"37",86.540001,87.419998,85.75,85.760002,1363300,84.067372
"38",85.080002,85.510002,84.300003,85.019997,1044100,83.341972
"39",85.400002,86.480003,84.980003,86.190002,939000,84.488885
"40",85.940002,86.129997,84.730003,85.010002,1037900,83.332174
"41",84.360001,84.919998,84.010002,84.360001,899700,82.695002
"42",84.93,85.290001,84.07,84.25,662700,82.587172
"43",84.709999,85.660004,84.110001,85.589996,969300,83.900721
