"","AN.Open","AN.High","AN.Low","AN.Close","AN.Volume","AN.Adjusted"
"1",57,57.110001,56.73,56.900002,539300,56.900002
"2",56.700001,56.91,56.360001,56.790001,522700,56.790001
"3",56.580002,56.599998,55.040001,55.169998,758200,55.169998
"4",55.189999,55.400002,54.669998,55.32,657800,55.32
"5",55.18,55.84,55.18,55.52,882500,55.52
"6",55.450001,56.099998,55.310001,56.040001,463400,56.040001
"7",56.029999,56.349998,55.549999,56.259998,432700,56.259998
"8",56.279999,56.82,56.279999,56.509998,511600,56.509998
"9",57.740002,59.48,57.23,59.419998,3067400,59.419998
"10",59.27,59.380001,58.82,59.09,866300,59.09
"11",58.880001,58.93,58.060001,58.189999,546800,58.189999
"12",58.119999,58.700001,58.040001,58.380001,635300,58.380001
"13",58.830002,59.360001,57.98,59.130001,1013300,59.130001
"14",59.049999,59.599998,58.98,59.130001,1393400,59.130001
"15",59.16,59.709999,59.080002,59.68,724900,59.68
"16",59.32,60.400002,59.220001,59.779999,806200,59.779999
"17",59.709999,60.43,59.419998,60.41,589400,60.41
"18",60.490002,61.139999,60.389999,60.919998,350800,60.919998
"19",60.540001,61.200001,60.389999,60.689999,892100,60.689999
"20",60.540001,60.84,60.060001,60.470001,652800,60.470001
"21",60.77,61.25,60.57,61.23,543400,61.23
"22",60.66,60.740002,60.16,60.68,765100,60.68
"23",60.709999,61.099998,60.41,60.919998,840500,60.919998
"24",61.110001,61.290001,60.700001,60.869999,512500,60.869999
"25",60.869999,61.150002,60.349998,60.790001,715600,60.790001
"26",60.939999,61.169998,60.66,60.830002,1060800,60.830002
"27",57.720001,57.869999,55.400002,55.82,3287900,55.82
"28",55.900002,57.790001,55.400002,57.43,2285200,57.43
"29",56.98,57.099998,56.549999,56.950001,1309900,56.950001
"30",57.080002,57.419998,56.529999,56.889999,1195400,56.889999
"31",56.860001,57.209999,56.830002,56.84,777100,56.84
"32",56.830002,56.98,56.43,56.450001,819100,56.450001
"33",56.32,56.400002,55.630001,55.93,735200,55.93
"34",55.849998,56.049999,55.049999,55.119999,808800,55.119999
"35",55.18,55.299999,54.720001,54.740002,474900,54.740002
"36",54.73,54.860001,54.099998,54.610001,563600,54.610001
"37",54.200001,54.560001,53.299999,53.32,924400,53.32
"38",53.299999,53.93,52.709999,53.540001,1445200,53.540001
"39",53.540001,54.66,53.540001,54.060001,1035000,54.060001
"40",53.599998,54.470001,53.580002,53.860001,638800,53.860001
"41",53.439999,53.740002,53.150002,53.599998,1125000,53.599998
"42",53.799999,53.91,53.029999,53.060001,601900,53.060001
"43",53.360001,54.43,53.32,54.389999,363600,54.389999
"44",54.52,55.16,54.18,54.299999,505800,54.299999
"45",54.240002,54.610001,53.68,53.91,416600,53.91
"46",54.220001,54.220001,53.48,53.73,823600,53.73
"47",53.93,54.560001,53.700001,54.439999,564900,54.439999
"48",54.709999,54.919998,53.439999,53.830002,674800,53.830002
"49",54.310001,54.740002,54.169998,54.200001,953900,54.200001
"50",54.630001,55,54.43,54.549999,1268200,54.549999
"51",54.32,54.619999,53.990002,54.48,872200,54.48
"52",54.459999,54.610001,54.029999,54.080002,1032300,54.080002
"53",54.150002,54.389999,53.57,53.919998,1608200,53.919998
"54",54.279999,54.650002,53.880001,54.009998,1280500,54.009998
"55",54.16,54.48,53.98,54.07,1213600,54.07
"56",54.080002,54.43,53.91,53.959999,633800,53.959999
"57",53.73,53.959999,53.439999,53.849998,620200,53.849998
"58",53.98,54.59,53.98,54.25,988400,54.25
"59",54.32,54.860001,53.810001,54.040001,1212100,54.040001
"60",54.23,54.310001,53.630001,53.77,1061100,53.77
"61",54.060001,54.43,53.290001,53.450001,1867300,53.450001
"62",53.25,54.060001,53.25,53.860001,1901100,53.860001
"63",53.709999,54.139999,53.619999,54,1295500,54
"64",53.82,54.029999,53.299999,53.310001,948700,53.310001
"65",53.360001,53.529999,52.900002,52.970001,621400,52.970001
"66",52.700001,53.09,52.66,52.959999,687700,52.959999
"67",52.889999,53.080002,52.189999,52.360001,781600,52.360001
"68",52.279999,52.509998,51.790001,51.830002,996900,51.830002
"69",51.66,52,51.529999,51.619999,1154800,51.619999
"70",51.740002,52.080002,51.549999,51.880001,1476400,51.880001
"71",52.009998,52.150002,51.68,51.720001,934200,51.720001
"72",52.009998,52.09,51.389999,51.439999,3199900,51.439999
"73",51.189999,51.349998,49.959999,50,2028600,50
"74",49.639999,49.639999,48.900002,48.959999,3421300,48.959999
"75",48.900002,49.720001,48.900002,49.650002,2393400,49.650002
"76",49.5,50.599998,49.450001,49.98,1736700,49.98
"77",50.029999,50.66,50,50.450001,981000,50.450001
"78",50.02,51.029999,50.02,50.740002,1561200,50.740002
"79",50.700001,50.700001,49.970001,50.310001,1493000,50.310001
"80",50.27,50.459999,48.970001,49.099998,1347300,49.099998
"81",49.970001,52.599998,49.619999,52.07,3456500,52.07
"82",52.48,53.860001,52.360001,53.580002,3168500,53.580002
"83",53.830002,54.349998,53.060001,53.07,1815100,53.07
"84",52.700001,52.849998,51.279999,51.360001,1625700,51.360001
"85",51.450001,52.529999,50.919998,52.470001,1490100,52.470001
"86",52.57,52.57,51.389999,51.57,1089200,51.57
"87",51.599998,52.299999,51.299999,51.32,1144000,51.32
"88",50.759998,50.900002,47.18,47.209999,3006800,47.209999
"89",47.509998,47.900002,46.16,47.720001,1670500,47.720001
"90",47.02,48.34,46.209999,48,1406400,48
"91",47.41,48.619999,47.16,48.220001,1428000,48.220001
"92",48.75,49.990002,48.700001,49.299999,1025900,49.299999
"93",49.279999,50.23,49.279999,50.23,786600,50.23
"94",50.759998,51.810001,50.52,51.07,1130000,51.07
"95",50.849998,52.080002,50.43,50.490002,956000,50.490002
"96",50.900002,52.57,50.900002,52.110001,1133500,52.110001
"97",52.16,52.66,51.25,52.560001,688500,52.560001
"98",52.52,52.52,51.630001,51.990002,1040500,51.990002
"99",54.549999,55.740002,54,55.580002,2023000,55.580002
"100",55.740002,55.959999,55.09,55.759998,1450200,55.759998
"101",55.599998,56.959999,55.540001,55.900002,1352900,55.900002
"102",56.880001,58.200001,56.799999,57.259998,1668000,57.259998
"103",57.200001,57.509998,56.209999,56.400002,1140400,56.400002
"104",56.310001,56.419998,55.110001,55.959999,1166500,55.959999
