"","HCN.Open","HCN.High","HCN.Low","HCN.Close","HCN.Volume","HCN.Adjusted"
"243",70.839996,71.330002,70.440002,71.120003,1348600,71.120003
"244",71.190002,71.190002,70.330002,70.830002,1566800,70.830002
"245",70.900002,71.029999,70,70.260002,3784800,70.260002
"246",70.419998,71.470001,70.260002,71.139999,1932600,71.139999
"247",70.889999,70.919998,70.209999,70.529999,2206700,70.529999
"248",70.309998,70.449997,69.220001,69.290001,2634500,69.290001
"249",69.089996,70.190002,68.650002,69.620003,4028900,69.620003
"250",68.629997,68.889999,67.769997,67.809998,2926300,67.809998
"251",67.870003,68.889999,67.610001,68.379997,2082400,68.379997
"252",68.309998,68.540001,67.690002,67.809998,1432800,67.809998
"253",67.769997,68.870003,67.620003,68.309998,1566000,68.309998
