"","NBR.Open","NBR.High","NBR.Low","NBR.Close","NBR.Volume","NBR.Adjusted"
"1",27.049999,27.139999,26.950001,27.049999,2144300,26.622039
"2",26.870001,27.02,26.65,26.950001,2440400,26.523622
"3",27.129999,27.68,26.92,26.959999,4684100,26.533462
"4",27.4,27.51,26.91,27.5,3305900,27.06492
"5",27.35,27.4,26.950001,27.15,4047000,26.720457
"6",27.07,27.43,26.9,27.23,2755600,26.799191
"7",27.299999,27.4,27.049999,27.379999,3056900,26.946817
"8",27.540001,27.92,27.24,27.85,2941900,27.409383
"9",27.940001,28.629999,27.91,28.48,5333000,28.029415
"10",28.59,28.6,27.959999,28,3321100,27.557009
"11",27.91,28,26.790001,26.799999,5324300,26.375994
"12",26.66,27.32,26.32,27.299999,3950300,26.868083
"13",29.75,29.9,28.68,29,12139800,28.541188
"14",29,29.059999,28.610001,28.91,4054200,28.452612
"15",28.91,29.4,28.790001,29.370001,4171500,28.905335
"16",29.959999,30.08,29.65,29.860001,5930800,29.387583
"17",30.030001,30.120001,29.700001,30.02,3492700,29.545051
"18",30.18,30.24,29.809999,30.040001,1474400,29.564735
"19",29.85,29.879999,29.16,29.25,3060300,28.787233
"20",29.08,29.43,29.01,29.15,3435900,28.688815
"21",29.299999,29.41,29.059999,29.26,2701300,28.797075
"22",28.879999,29.15,28.620001,28.99,2082100,28.531346
"23",28.92,28.99,28.559999,28.799999,3433800,28.344352
"24",29,29.18,28.879999,28.91,3244800,28.452612
"25",28.809999,28.950001,28.219999,28.440001,3210800,27.990048
"26",28.700001,29.08,28.57,29.07,4600200,28.61008
"27",29.110001,29.200001,28.58,28.790001,3891200,28.334511
"28",28.91,28.91,28.530001,28.629999,3097000,28.177041
"29",29.02,29.02,28.41,28.68,4538400,28.226251
"30",28.950001,29.24,28.82,28.959999,3557400,28.50182
"31",28.91,29.49,28.34,29.309999,4519100,28.846283
"32",29.540001,29.969999,28.889999,29.040001,4855800,28.580556
"33",29.059999,29.51,28.809999,29.5,2739700,29.033278
"34",29.450001,29.6,28.959999,29.129999,1653100,28.669131
"35",29.129999,29.389999,29.030001,29.15,2352400,28.688815
"36",29.309999,29.450001,28.65,28.690001,2480300,28.236093
"37",28.6,28.629999,27.15,27.16,5675800,26.730299
"38",27.34,27.34,25.440001,26.809999,6360400,26.385836
"39",26.9,27.49,26.57,27.379999,3583800,26.946817
"40",27.110001,27.379999,26.32,26.66,5684500,26.238209
"41",26.610001,27.549999,26.459999,26.77,3680700,26.34647
"42",26.950001,27.07,26.219999,26.379999,3685700,25.962639
"43",26.41,27,26.25,26.92,2308000,26.494096
"44",27,27.27,26.780001,26.860001,2478900,26.435046
"45",26.809999,27.07,26.540001,26.629999,2487400,26.208683
"46",26.85,27.030001,26.75,26.84,1682200,26.415362
"47",26.85,27,25.709999,25.74,4540800,25.332765
"48",25.940001,26.209999,25.790001,26.110001,4116100,25.696912
"49",26.23,26.309999,25.780001,25.940001,2398300,25.529601
"50",26.059999,26.32,25.92,26.1,2618600,25.68707
"51",25.93,26,25.66,25.82,3876100,25.411499
"52",25.959999,25.959999,25.389999,25.719999,3077700,25.313081
"53",25.610001,25.700001,25.25,25.290001,3326100,24.889885
"54",25.469999,25.84,25.290001,25.719999,2242600,25.313081
"55",25.790001,26.700001,25.719999,26.530001,3213300,26.110267
"56",26.379999,26.639999,26.200001,26.42,2648300,26.002007
"57",26.389999,26.389999,26.040001,26.26,2031500,25.844538
"58",26.450001,27.25,26.209999,27.209999,3328600,26.779507
"59",27.1,27.26,26.549999,26.82,3219200,26.395678
"60",27.1,27.34,26.35,26.440001,3858400,26.021691
"61",26.49,26.59,25.530001,25.700001,3229000,25.293398
"62",25.65,25.889999,25,25.309999,6233700,24.967858
"63",25.27,25.41,24.200001,24.459999,4682000,24.129348
"64",24.530001,25,24.16,24.450001,3469200,24.119485
"65",24.4,24.93,23.91,24.780001,4766100,24.445024
"66",23.75,25.200001,23.719999,24.85,34301700,24.514077
"67",24.85,24.85,23.969999,24.129999,5729400,23.803809
"68",24.110001,24.219999,23.75,24.139999,5911700,23.813674
"69",24.129999,24.76,24.059999,24.48,6806800,24.149078
"70",24.6,24.719999,24.129999,24.23,4482100,23.902458
"71",24.33,24.450001,23.85,23.959999,4116000,23.636107
"72",24.049999,24.25,23.67,23.889999,8413900,23.567054
"73",23.73,23.799999,22.83,22.959999,7666300,22.649625
"74",22.969999,23.6,22.780001,23.309999,5049000,22.994894
"75",23.309999,23.709999,22.940001,23.52,4175600,23.202056
"76",23.43,23.51,22.889999,23.059999,3616700,22.748274
"77",23.07,23.440001,22.950001,23.24,4311100,22.925841
"78",22.889999,23.139999,22.639999,23.110001,3490700,22.797599
"79",23.02,23.59,22.51,22.76,5679900,22.45233
"80",22.76,23.08,22.02,22.17,4573000,21.870305
