"","PWR.Open","PWR.High","PWR.Low","PWR.Close","PWR.Volume","PWR.Adjusted"
"1",35.27,35.279999,34.59,34.700001,1357100,34.700001
"2",34.560001,34.619999,34.27,34.450001,1367000,34.450001
"3",34.380001,34.439999,33.779999,33.830002,1182800,33.830002
"4",33.830002,33.970001,33.470001,33.91,1192900,33.91
"5",33.889999,34.009998,33.66,33.779999,1105800,33.779999
"6",33.689999,34.169998,33.580002,33.950001,1122400,33.950001
"7",33.939999,34.029999,33.509998,33.98,1238800,33.98
"8",34.200001,34.639999,33.990002,34.540001,1682400,34.540001
"9",34.52,34.790001,34.450001,34.779999,1498100,34.779999
"10",34.759998,35.130001,34.529999,34.619999,1395500,34.619999
"11",34.5,34.59,33.970001,34.029999,1125800,34.029999
"12",33.900002,34.369999,33.799999,34.330002,1300400,34.330002
"13",34.360001,34.43,34,34.369999,1060500,34.369999
"14",34.290001,34.779999,34.240002,34.759998,1205000,34.759998
"15",34.75,34.75,34.450001,34.580002,1648700,34.580002
"16",34.720001,35.41,34.59,35.110001,1839900,35.110001
"17",35.099998,35.48,35.049999,35.360001,1461100,35.360001
"18",35.490002,35.630001,35.360001,35.470001,651600,35.470001
"19",35.369999,35.419998,34.849998,35.049999,1389500,35.049999
"20",34.93,35.16,34.779999,35.110001,1499900,35.110001
"21",35.169998,35.259998,34.939999,35.060001,869200,35.060001
"22",34.610001,34.889999,34.43,34.669998,991200,34.669998
"23",34.639999,34.84,34.310001,34.830002,822700,34.830002
"24",35.099998,35.099998,34.889999,34.959999,1061300,34.959999
"25",34.810001,35.18,34.709999,34.880001,788700,34.880001
"26",34.98,35.110001,34.689999,35.009998,597200,35.009998
"27",34.84,35.080002,34.57,34.650002,977100,34.650002
"28",34.73,35.150002,34.630001,35.099998,1028400,35.099998
"29",35.009998,35.259998,34.84,35.18,817200,35.18
"30",35.27,35.68,35.240002,35.540001,1063100,35.540001
"31",35.5,35.639999,35.080002,35.34,1175500,35.34
"32",35.330002,35.490002,34.77,34.970001,1439800,34.970001
"33",34.810001,34.950001,34.599998,34.889999,1055600,34.889999
"34",34.860001,35.02,34.450001,34.950001,1163100,34.950001
