"","AMD.Open","AMD.High","AMD.Low","AMD.Close","AMD.Volume","AMD.Adjusted"
"1",4.1,4.23,4.1,4.2,28322100,4.2
"2",4.18,4.3,4.17,4.29,20596200,4.29
"3",4.33,4.44,4.28,4.29,26709500,4.29
"4",4.36,4.39,4.24,4.28,17734600,4.28
"5",4.26,4.44,4.26,4.44,26192800,4.44
"6",4.41,4.5,4.41,4.47,19445000,4.47
"7",4.5,4.5,4.35,4.4,14702400,4.4
"8",4.42,4.45,4.33,4.36,10880500,4.36
"9",4.34,4.37,4.07,4.1,54721600,4.1
"10",4.06,4.08,3.9,4.01,49634100,4.01
"11",4.01,4.07,3.93,3.94,20402400,3.94
"12",3.95,4,3.94,3.96,13844700,3.96
"13",3.95,4.09,3.94,4.03,21640500,4.03
"14",4.06,4.11,4.04,4.11,16034600,4.11
"15",4.12,4.25,4.08,4.19,25850200,4.19
"16",4.21,4.26,4.17,4.22,29412600,4.22
"17",4.23,4.35,4.22,4.34,20486500,4.34
"18",4.36,4.4,4.14,4.24,22521700,4.24
"19",4.23,4.31,4.21,4.26,21165500,4.26
"20",4.25,4.3,4.1,4.22,41685800,4.22
"21",4.21,4.29,4.2,4.23,18462200,4.23
"22",4.18,4.36,4.14,4.29,39245000,4.29
"23",4.3,4.4,4.29,4.37,22425600,4.37
"24",4.44,4.65,4.39,4.64,73046000,4.64
"25",4.63,4.8,4.41,4.53,156113700,4.53
"26",4.6,4.77,4.57,4.66,61927500,4.66
"27",4.66,4.68,4.5,4.57,51309800,4.57
"28",3.73,3.84,3.67,3.83,137577700,3.83
"29",3.86,3.87,3.75,3.78,34219100,3.78
"30",3.82,3.86,3.78,3.8,34004800,3.8
"31",3.82,3.83,3.75,3.76,31748200,3.76
"32",3.75,3.8,3.71,3.73,27967600,3.73
"33",3.73,3.79,3.69,3.76,31793700,3.76
"34",3.77,3.78,3.68,3.73,31443400,3.73
"35",3.74,3.84,3.73,3.79,36157400,3.79
"36",3.82,3.88,3.77,3.82,42981200,3.82
"37",3.8,3.99,3.78,3.91,112162900,3.91
"38",3.91,4.01,3.87,3.97,33710000,3.97
"39",3.97,4.02,3.93,4,21493200,4
"40",3.99,4.11,3.97,4.08,40330600,4.08
"41",4.06,4.14,4.03,4.12,16271200,4.12
"42",4.14,4.2,4.07,4.1,32712300,4.1
"43",4.1,4.15,4.05,4.12,27166900,4.12
"44",4.03,4.19,3.99,4.14,29560500,4.14
"45",4.12,4.14,4.08,4.08,27369900,4.08
"46",4.08,4.15,4.03,4.11,30401200,4.11
"47",4.1,4.17,4.08,4.08,26148100,4.08
"48",4.12,4.14,4.07,4.13,33349200,4.13
"49",4.14,4.22,4.14,4.21,45381300,4.21
"50",4.2,4.3,4.2,4.27,23222100,4.27
"51",4.25,4.32,4.22,4.28,11986600,4.28
"52",4.29,4.29,4.21,4.24,11939800,4.24
"53",4.22,4.28,4.21,4.25,8364700,4.25
"54",4.27,4.27,4.18,4.18,8998200,4.18
"55",4.17,4.22,4.13,4.19,9183900,4.19
"56",4.2,4.21,4.15,4.16,7304400,4.16
"57",4.14,4.19,4.07,4.14,10331400,4.14
"58",4.15,4.19,4.14,4.17,7347200,4.17
"59",4.16,4.25,4.15,4.16,12603300,4.16
"60",4.17,4.23,4.17,4.19,9600600,4.19
"61",4.18,4.25,4.15,4.15,12791400,4.15
"62",4.17,4.19,4.15,4.15,6630200,4.15
"63",4.13,4.18,4.1,4.13,8396200,4.13
"64",4.15,4.16,4.08,4.08,8964800,4.08
"65",4.08,4.11,4.01,4.08,13276800,4.08
"66",4.03,4.08,4.02,4.08,8086800,4.08
"67",4.06,4.11,3.96,3.96,14188800,3.96
"68",3.98,4.02,3.9,3.91,18257000,3.91
"69",3.89,3.9,3.8,3.81,40156400,3.81
"70",3.82,3.88,3.8,3.82,24894600,3.82
"71",3.88,3.94,3.7,3.88,16141400,3.88
"72",3.93,3.94,3.81,3.81,23030000,3.81
"73",3.81,3.83,3.75,3.76,14201400,3.76
"74",3.76,3.79,3.69,3.69,16282500,3.69
"75",3.71,3.75,3.69,3.7,11792600,3.7
"76",3.7,3.72,3.6,3.63,17556500,3.63
"77",3.63,3.67,3.6,3.6,12976300,3.6
"78",3.56,3.66,3.54,3.55,26857600,3.55
"79",3.56,3.58,3.4,3.41,55952200,3.41
"80",3.39,3.42,3.3,3.35,33645900,3.35
"81",3.37,3.44,3.28,3.39,27904500,3.39
"82",3.43,3.46,3.37,3.4,16797000,3.4
"83",3.42,3.44,3.3,3.36,17864800,3.36
"84",3.35,3.38,3.28,3.28,17720600,3.28
"85",3.3,3.31,3.18,3.28,2.8e+07,3.28
"86",3.03,3.2,2.94,2.95,69528900,2.95
"87",2.95,2.95,2.71,2.72,41062500,2.72
"88",2.78,2.85,2.73,2.74,38269400,2.74
"89",2.61,2.75,2.6,2.62,39964200,2.62
"90",2.62,2.71,2.54,2.61,36924600,2.61
"91",2.56,2.72,2.54,2.64,38795400,2.64
"92",2.67,2.86,2.66,2.72,75956600,2.72
"93",2.79,2.8,2.6,2.67,28711000,2.67
"94",2.7,2.78,2.68,2.77,24033800,2.77
"95",2.79,2.8,2.64,2.64,23034800,2.64
"96",2.68,2.71,2.65,2.69,23731000,2.69
"97",2.69,2.73,2.67,2.68,11945800,2.68
"98",2.68,2.71,2.65,2.66,13307500,2.66
"99",2.69,2.77,2.67,2.72,22878300,2.72
"100",2.75,2.81,2.73,2.77,15600900,2.77
"101",2.79,2.79,2.7,2.75,13019600,2.75
"102",2.79,2.83,2.75,2.8,14704800,2.8
"103",2.81,2.9,2.81,2.87,11733600,2.87
"104",2.9,2.91,2.75,2.83,12524300,2.83
"105",2.85,2.87,2.77,2.8,9635100,2.8
"106",2.78,2.8,2.75,2.76,8932900,2.76
"107",2.77,2.8,2.76,2.78,7293800,2.78
"108",2.78,2.81,2.75,2.76,12593100,2.76
