"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"88",101.330002,101.779999,99.809998,99.809998,53583400,98.576646
"89",100.389999,100.519997,98.57,98.75,63688600,97.529747
"90",97.970001,99.150002,95.18,97.540001,100933600,96.334699
"91",95.550003,97.720001,95.410004,96.260002,72154500,95.070518
"92",97.5,99,96.809998,97.669998,68179700,96.46309
"93",98.32,99.959999,98.220001,99.760002,77517300,98.527268
"94",103.019997,103.019997,101.269997,102.470001,94623900,101.20378
"95",102.839996,104.110001,102.599998,102.989998,68263100,101.717351
"96",104.080002,105.050003,103.629997,104.830002,71074700,103.534618
"97",105.18,105.489998,104.529999,105.220001,47053900,103.919798
"98",104.849998,105.480003,104.699997,105.110001,34187700,103.811157
"99",105.400002,106.739998,105.349998,106.739998,47939900,105.421012
"100",106.650002,107.370003,106.360001,107.339996,52687900,106.013596
"101",106.959999,107.349998,105.900002,106.980003,40654800,105.658052
"102",108.010002,108.040001,107.209999,108,44639300,106.665444
"103",108.220001,110.300003,108.010002,109.400002,52282600,108.048146
"104",109.360001,109.489998,107.720001,108.599998,41574400,107.258029
"105",109.099998,109.300003,108.129997,108.860001,37435900,107.514818
"106",108.599998,108.790001,107.800003,108.699997,34968500,107.822309
"107",108.75,109.32,108.550003,109.010002,33691500,108.129811
"108",109.019997,109.330002,108.669998,108.830002,27195500,107.951265
"109",108.699997,109.75,108.400002,109.699997,27442300,108.814235
"110",109.379997,111.43,109.370003,111.25,46942400,110.351723
"111",111.800003,113.449997,111.599998,112.82,59522900,111.909046
"112",113.150002,114.190002,113.050003,114.18,44063600,113.258065
"113",114.269997,117.279999,113.300003,113.989998,46746700,113.069597
"114",113.940002,115.690002,113.889999,115.470001,44224000,114.53765
"115",115.440002,115.739998,113.800003,114.669998,41869200,113.744106
"116",114.910004,116.860001,114.849998,116.309998,43395500,115.370864
"117",117.510002,117.57,116.029999,116.470001,57179300,115.529576
"118",116.849998,118.769997,116.620003,118.629997,47450800,117.672131
"119",119.07,119.75,117.449997,117.599998,68840400,116.650449
"120",117.940002,119.099998,117.830002,119,40768300,118.039146
"121",119.269997,119.400002,118.050003,118.93,24814400,117.969712
"122",118.809998,119.25,111.269997,115.07,83814000,114.140878
"123",113.5,115.75,112.75,114.629997,59075100,113.704428
"124",115.75,116.349998,115.110001,115.93,43063400,114.993935
"125",115.769997,117.199997,115.290001,115.489998,42044500,114.557485
"126",115.989998,116.080002,114.639999,115,38318900,114.071444
"127",114.099998,114.650002,111.620003,112.400002,57664900,111.492439
"128",110.190002,114.300003,109.349998,114.120003,60208000,113.198552
"129",114.410004,114.849998,111.540001,111.949997,44565300,111.046068
