"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"1",77.730003,78.279999,76.900002,78.239998,516500,77.209213
"2",77.779999,78.489998,77.25,77.989998,468500,76.962507
"3",77.870003,77.989998,76.889999,76.959999,415700,75.946078
"4",77,77.269997,76.849998,77.25,467600,76.232258
"5",77.120003,77.410004,76.440002,76.559998,483800,75.551346
"6",76.580002,76.610001,75.739998,75.800003,1282000,74.801364
"7",76,76.099998,74.760002,75,1862600,74.011901
"8",75.190002,75.639999,74.870003,74.879997,1523200,73.893479
"9",74.790001,75.129997,74.449997,74.75,3577100,73.765195
"10",73.419998,73.419998,70.949997,71.099998,3390900,70.163281
"11",70.989998,71.57,70.279999,70.940002,1757100,70.005393
"12",70.970001,71.360001,70.290001,70.620003,1216700,69.689609
"13",70.32,71.019997,69.5,71,2e+06,70.213737
"14",70.800003,70.889999,70.330002,70.82,1271000,70.03573
"15",70.769997,71.419998,70.43,71.190002,1720300,70.401635
"16",71.220001,71.410004,70.779999,71,1147400,70.213737
"17",70.830002,71.209999,70.389999,70.559998,1012400,69.778607
"18",70.809998,71.529999,70.639999,71.379997,447100,70.589526
"19",71.139999,71.25,70.5,70.760002,599200,69.976397
"20",70.75,70.75,69.739998,69.839996,1046600,69.066579
"21",70.220001,70.330002,69.730003,70.07,826200,69.294036
"22",69.279999,69.68,68.699997,69.139999,1463900,68.374334
"23",69.239998,69.379997,69,69.260002,637400,68.493008
"24",68.540001,69.040001,68.480003,68.830002,805800,68.06777
"25",70.220001,70.57,68.849998,69.110001,2003700,68.344668
"26",69.610001,69.629997,68.910004,69.239998,905200,68.473225
"27",68.879997,69.290001,68.370003,68.400002,1032400,67.642531
"28",68.470001,69.230003,68.099998,69.139999,716200,68.374334
"29",69.080002,69.43,68.510002,68.540001,507200,67.78098
"30",68.949997,69.089996,68.559998,68.800003,600700,68.038103
"31",68.790001,68.940002,68.57,68.800003,537700,68.038103
"32",69,69,68.419998,68.480003,810500,67.721647
"33",68.379997,68.93,68.220001,68.279999,648300,67.523857
"34",68.440002,68.900002,68.010002,68.440002,2358900,67.682089
"35",68.57,68.75,68.029999,68.040001,875400,67.286517
"36",68.040001,68.370003,66.889999,67.019997,1673400,66.277809
"37",66.949997,67.459999,65,65.220001,1648700,64.497747
"38",64.949997,65.629997,64.940002,65.480003,962100,64.75487
"39",65.5,65.849998,65.239998,65.589996,1242900,64.863644
"40",65.330002,65.440002,64.470001,64.809998,1111600,64.092283
"41",64.699997,64.989998,64.5,64.800003,743500,64.0824
"42",64.919998,65.029999,64.050003,64.18,516500,63.469263
"43",64.510002,65.059998,64.290001,64.970001,734600,64.250515
"44",65.18,65.599998,64.860001,64.900002,609500,64.181291
"45",64.849998,65.199997,64.540001,64.790001,599100,64.072508
"46",65.110001,65.540001,64.690002,64.690002,974500,63.973617
"47",64.989998,66.400002,64.989998,66,3628500,65.269108
"48",66.639999,66.830002,65.290001,66.040001,1785200,65.308666
"49",66.410004,66.870003,66.330002,66.410004,1483900,65.674571
"50",66.389999,66.559998,66.220001,66.339996,805200,65.605339
"51",66.339996,66.870003,66.110001,66.419998,1026500,65.684455
"52",66.57,66.57,65.889999,65.940002,1219700,65.209775
"53",65.849998,66.25,65.040001,65.360001,1136300,64.636196
"54",65.75,65.830002,65.370003,65.529999,852600,64.804311
"55",65.720001,65.980003,65.279999,65.400002,994700,64.675754
"56",65.529999,65.980003,65.519997,65.720001,1189700,64.99221
"57",65.599998,66.360001,65.540001,66.139999,1790700,65.407557
"58",66.150002,66.559998,65.900002,66.139999,764500,65.407557
"59",66.269997,66.330002,65.510002,65.970001,1051700,65.239441
"60",66.120003,66.32,65.580002,65.699997,679800,64.972427
"61",65.75,65.970001,65.389999,65.440002,1087800,64.715312
"62",65.339996,65.620003,65.120003,65.599998,540700,64.873536
"63",65.610001,66.650002,65.610001,66.120003,1569900,65.387782
"64",65.739998,66.239998,63.869999,64.010002,1497800,63.301147
"65",64.010002,64.019997,63,63.509998,1768400,62.806681
"66",63.25,64.18,63.16,63.59,1359300,62.885796
"67",63.66,63.669998,62.080002,62.43,1625200,61.738643
"68",62.41,63.66,62.27,63.380001,1962500,62.678123
"69",63.380001,63.43,62.889999,63.220001,1000900,62.519895
"70",63.5,63.529999,61.279999,61.299999,3480000,60.621155
"71",61.380001,61.75,60.740002,60.869999,2468200,60.195917
"72",61.029999,61.049999,60.459999,60.619999,1552300,59.948685
"73",60.77,60.869999,60.360001,60.400002,1084700,59.731124
"74",60.41,60.549999,60.009998,60.029999,860500,59.365219
"75",60,60.119999,59.490002,59.509998,1415400,58.850977
"76",59.290001,59.349998,58.080002,58.220001,1952100,57.575266
"77",58.130001,58.450001,58.049999,58.220001,1103200,57.723987
"78",57.869999,58.07,57.310001,57.450001,1164500,56.960547
"79",57.369999,57.759998,56.98,57.189999,3674300,56.70276
"80",56.689999,57.16,56.16,56.310001,2137500,55.83026
"81",56.099998,57.110001,56,56.93,2330600,56.444977
"82",57.25,57.41,56.830002,56.970001,1533600,56.484637
"83",57.220001,57.639999,56.990002,56.990002,1355900,56.504467
"84",56.459999,56.470001,54.970001,54.98,2352700,54.511589
"85",55.07,55.189999,54.34,54.869999,2193300,54.402526
"86",54.919998,55.07,53.279999,53.490002,1566900,53.034286
"87",53.349998,53.919998,52.639999,52.75,1163900,52.300588
"88",52.779999,53.23,51.580002,51.599998,1298500,51.160385
"89",51.48,53.560001,51.040001,52.82,1987700,52.369992
"90",52.709999,54.509998,51.57,54.310001,2632000,53.847299
"91",54.080002,56.490002,53.75,56.139999,2593100,55.661706
"92",56.650002,57.68,56.119999,56.490002,1752200,56.008727
"93",56.34,56.84,56.330002,56.799999,1216000,56.316083
"94",57.25,59.02,57.060001,58.959999,1618000,58.457681
"95",59.599998,59.669998,58.34,58.450001,2326600,57.952027
"96",59.150002,59.279999,58.009998,58.18,1650800,57.684327
"97",58.130001,58.380001,57.279999,58.119999,1036100,57.624837
"98",57.57,57.580002,56.389999,56.790001,1051400,56.30617
"99",57.110001,57.790001,56.869999,57.779999,1398000,57.287733
"100",57.700001,58,56.549999,57.470001,2195900,56.980377
"101",55.490002,58.470001,55.150002,58.119999,2971100,57.624837
"102",58.560001,58.73,57.09,57.349998,2731700,56.861397
"103",57.48,57.709999,56.09,56.259998,1355600,55.780683
"104",56.400002,56.48,55.700001,55.779999,1317400,55.304773
"105",56.049999,56.669998,55.779999,56.619999,1038500,56.137616
"106",56.740002,57.259998,56.43,57.240002,1225300,56.752337
"107",57.240002,57.459999,56.810001,57,1380900,56.51438
"108",56.93,57.330002,56.68,56.790001,1018800,56.30617
"109",56.799999,57.23,56.669998,56.82,1374100,56.335913
"110",56.68,56.82,56.34,56.759998,660300,56.276423
"111",56.900002,57.060001,56.07,56.389999,728400,55.909576
"112",56.389999,56.84,56.330002,56.619999,768600,56.137616
"113",56.610001,57.049999,56.27,56.32,1064600,55.840173
"114",56.43,56.959999,56.290001,56.790001,1461300,56.30617
"115",56.799999,56.799999,56.139999,56.369999,751900,55.889746
"116",56.049999,56.400002,55.810001,55.970001,1488700,55.493156
"117",56.889999,57.169998,56.330002,56.5,1191100,56.01864
"118",56.5,56.82,56.119999,56.73,1567200,56.24668
"119",56.799999,56.830002,56.18,56.209999,918100,55.73111
"120",55.990002,56.209999,55.509998,55.689999,849400,55.215539
"121",55.439999,55.73,54.290001,54.400002,546000,53.936533
"122",54.290001,54.720001,53.700001,53.75,1517900,53.292069
"123",53.599998,54.25,53.52,54.07,1158200,53.609342
"124",53.990002,55.110001,53.700001,55.040001,1884000,54.571079
"125",54.880001,55.529999,54.869999,55.25,970900,54.779289
"126",55.41,57.419998,55.27,56.959999,2186800,56.47472
"127",56.889999,56.93,56.060001,56.209999,1197800,55.73111
