"","MTB.Open","MTB.High","MTB.Low","MTB.Close","MTB.Volume","MTB.Adjusted"
"1",125.139999,125.900002,124.669998,124.690002,708100,121.885431
"2",124.419998,124.480003,123.379997,123.620003,798400,120.839498
"3",123.519997,124.029999,122.839996,122.900002,689300,120.135692
"4",123.279999,124.089996,122.519997,122.669998,981000,119.910862
"5",122.510002,122.620003,121.860001,121.940002,884700,119.197285
"6",121.82,124.050003,121.82,123.68,670800,120.898147
"7",123.650002,124.129997,122.660004,123.889999,539300,121.103422
"8",123.919998,123.919998,122.779999,123.620003,618800,120.839498
"9",124.330002,125.209999,124.139999,124.730003,1156400,121.924533
"10",124.800003,124.989998,123.940002,124.230003,781600,121.435779
"11",123.940002,124.889999,123.330002,123.529999,886700,120.751519
"12",123.099998,124.389999,122.349998,124.169998,985400,121.377123
"13",123.860001,124.239998,122.970001,123.82,497900,121.034997
"14",123.449997,124.419998,123,124.120003,573700,121.328252
"15",124.190002,124.43,123.5,124.050003,667900,121.259827
"16",124.550003,125.699997,124.190002,124.970001,636000,122.159132
"17",124.779999,125.209999,123.629997,123.830002,603200,121.044774
"18",124.199997,125.139999,124.029999,124.940002,388100,122.129808
"19",124.580002,124.93,124.040001,124.650002,543200,121.84633
"20",124.279999,124.669998,123.019997,123.279999,479500,120.507142
"21",123.620003,124.169998,122.730003,122.82,591200,120.057489
"22",121.5,122.169998,120.970001,121.690002,672900,118.952908
"23",121.360001,122.050003,120.68,122.010002,553600,119.265711
"24",123.25,123.300003,121.589996,121.629997,419900,118.894253
"25",122.239998,123.349998,121.910004,123.169998,558200,120.399616
"26",123.279999,123.529999,121.610001,122.260002,899500,119.510087
"27",122.809998,123.919998,121.589996,121.910004,1108500,119.167961
"28",122.830002,122.830002,121.370003,122.059998,660500,119.314581
"29",122.099998,122.459999,121.389999,122.449997,501900,119.695809
"30",122.589996,123.730003,122.279999,122.309998,771600,119.558958
"31",122.18,122.68,121.639999,122.470001,452300,119.715363
"32",122.760002,123.800003,122.449997,123.57,743600,120.79062
"33",123.269997,124.480003,123.269997,124.199997,591800,121.406447
"34",123.769997,123.949997,122.309998,122.68,496400,119.920639
"35",122.510002,123.18,122.230003,122.230003,423300,119.480763
"36",122.879997,123.339996,121.830002,122.709999,444300,119.949963
"37",122.220001,122.5,121.190002,121.5,857400,118.76718
"38",121,121.730003,119.449997,119.910004,605700,117.212946
"39",120.269997,120.330002,118.949997,120.129997,445000,117.427991
"40",119.5,120.889999,119.260002,119.790001,491000,117.095642
"41",119.639999,120.839996,119.620003,120.029999,322100,117.330242
"42",120.099998,120.370003,118.559998,118.82,481500,116.147459
"43",118.800003,119.940002,118.510002,119.900002,390700,117.203169
"44",120,120.07,119.470001,119.580002,357400,116.890367
"45",119.489998,119.910004,119.07,119.5,461000,116.812164
"46",119.949997,120.529999,119.440002,120.230003,534100,117.525748
"47",120.209999,120.650002,119.900002,120.099998,283800,117.398667
"48",120.349998,120.959999,119.099998,119.959999,480000,117.261817
"49",120.440002,121.400002,120.220001,121.07,309800,118.346851
"50",121.400002,121.980003,121.099998,121.400002,313200,118.66943
"51",121,121.540001,120.589996,121.400002,353200,118.66943
"52",121.510002,123.519997,121.309998,123.290001,543600,120.516919
"53",122.879997,123.580002,122.550003,122.669998,394100,119.910862
"54",123.139999,124.279999,122.919998,123.800003,690600,121.01545
"55",123.669998,124.360001,123.669998,124.18,666300,121.3869
"56",124.5,124.5,123.629997,123.779999,453200,120.995896
"57",122.660004,123.019997,121.879997,122.660004,326500,120.583014
"58",122.68,123.690002,122.580002,123.629997,359800,121.536582
"59",124,124.449997,123.230003,124.410004,409800,122.303381
"60",124.449997,124.760002,123.370003,123.589996,396200,121.497259
"61",123.599998,124.989998,123.339996,124.089996,355300,121.988792
"62",123.800003,124.519997,123.120003,124.480003,336900,122.372195
"63",124.239998,124.75,124.050003,124.589996,369600,122.480326
"64",124.099998,124.449997,123.290001,123.800003,568500,121.703709
"65",123.660004,125.400002,123.660004,125.029999,534000,122.912878
"66",124.690002,125.900002,124.059998,125.739998,531200,123.610854
"67",125.75,126.900002,125.43,125.940002,512200,123.807472
"68",125.769997,126.230003,125.150002,125.68,392100,123.551873
"69",125.550003,126.089996,124.900002,125.699997,523600,123.571531
"70",125.650002,127.190002,125.349998,126.290001,523300,124.151544
"71",126.370003,127.75,126.370003,127.139999,578800,124.98715
"72",128.119995,128.690002,127.519997,127.68,917800,125.518007
"73",127,127.620003,126.470001,126.610001,418700,124.466126
"74",126.510002,126.989998,125.349998,125.360001,482100,123.237292
"75",125.239998,125.940002,124.940002,125.68,468300,123.551873
"76",125.690002,125.690002,123.860001,124.139999,448600,122.037949
"77",123.989998,124.900002,123.75,124.830002,534600,122.716267
"78",123.739998,124.57,123.470001,124.330002,330300,122.224734
"79",124.209999,124.480003,123.129997,123.290001,719300,121.202343
"80",123.260002,123.309998,122.07,122.279999,996500,120.209443
"81",122.279999,122.690002,121.25,122.209999,1059700,120.140629
"82",123.110001,123.769997,122.410004,123.349998,1006000,121.261325
"83",123.629997,123.93,122.739998,122.870003,443900,120.789457
"84",122.169998,122.540001,120.959999,120.989998,761900,118.941286
"85",121,123.550003,120.959999,123.489998,605000,121.398953
"86",123.510002,123.510002,121,121.010002,608300,118.960951
"87",121.059998,122.019997,119.940002,119.959999,758200,117.928728
"88",120.290001,120.919998,118.900002,118.940002,522100,116.926003
"89",119,121.129997,119,119.900002,623500,117.869746
"90",118.650002,118.830002,114.440002,115.870003,1509800,113.907987
"91",114.110001,116.620003,113.760002,116.160004,1105700,114.193077
"92",113.910004,115.669998,112.730003,112.860001,1411400,110.948953
"93",112.419998,113.459999,112.419998,113.089996,868200,111.175054
"94",113.650002,115.099998,113.510002,115.080002,729200,113.131363
"95",115.230003,116.389999,114.790001,114.919998,779700,112.974069
"96",116.330002,116.529999,115.300003,115.559998,884800,113.603231
"97",115.269997,116.470001,115.269997,116.370003,502600,114.399521
"98",116,117.269997,115.919998,117.059998,657000,115.077832
"99",117.190002,118.5,117.18,118.480003,763200,116.473793
"100",118.019997,119.480003,117.629997,119.43,1102300,117.407703
"101",119.459999,122.839996,118.440002,119.599998,885800,117.574823
"102",120.389999,122.529999,119.860001,122.18,1249900,120.111138
"103",122.620003,122.760002,121.489998,121.699997,451600,119.639262
"104",121.660004,121.93,120.370003,121.269997,510300,119.216543
"105",121.68,122.910004,121.309998,122.830002,463700,120.750133
"106",123.089996,124.43,122.540001,124.43,686400,122.323039
"107",124.300003,124.839996,123.379997,124.540001,525500,122.431177
"108",124.269997,125.139999,124,124.660004,421500,122.549148
"109",124.449997,125,124.339996,124.849998,350100,122.735925
"110",124.269997,126.019997,124.129997,125.620003,744700,123.492891
"111",125.559998,126,124.900002,125.360001,411500,123.237292
"112",125.059998,125.839996,124.580002,124.940002,406100,122.824405
"113",125.160004,125.169998,123.730003,124.709999,472800,122.598297
"114",124.639999,125,124.07,124.760002,693400,122.647453
"115",124.580002,124.790001,123.120003,124.620003,688200,122.509824
"116",123.919998,124.870003,123.699997,124.809998,512600,122.696602
"117",125.889999,126.110001,124.389999,124.68,680600,122.568806
"118",125.300003,126.25,125.220001,126.050003,377400,123.91561
"119",126.099998,126.480003,125.580002,126.220001,465100,124.08273
"120",125.519997,126.470001,124.910004,126.360001,645400,124.913112
"121",126.599998,126.800003,125.800003,126.019997,410900,124.577001
"122",125.139999,125.690002,123.940002,124.199997,989500,122.777841
"123",124.5,126.349998,124.440002,125.720001,621800,124.280441
"124",125.110001,127.57,125.110001,127,754400,125.545783
"125",127.040001,127.809998,126.32,127.379997,650600,125.921429
"126",127.599998,128.960007,127.559998,128.029999,739700,126.563988
"127",127.980003,128.610001,127.220001,127.860001,582900,126.395936
"128",126.290001,128.100006,125.910004,127.800003,1049900,126.336625
"129",126.75,127.589996,123,123.269997,1155100,121.85849
"130",124.129997,125.220001,123.730003,123.980003,753700,122.560367
"131",123.07,124.010002,121.809998,121.849998,730100,120.454752
"132",122.199997,122.720001,120.739998,121.190002,546600,119.802313
"133",120.879997,121.940002,119.580002,119.709999,1114900,118.339256
"134",120.400002,121.910004,119.910004,121.860001,1011600,120.464639
"135",123.349998,124.389999,123.190002,124.339996,951200,122.916238
"136",124.790001,125.790001,124.540001,125.110001,955400,123.677425
"137",125.139999,125.910004,124.510002,125.800003,749400,124.359526
"138",126.239998,127.93,125.830002,127.300003,499500,125.842351
"139",127.300003,127.860001,126.540001,126.620003,196800,125.170137
"140",127.129997,127.709999,126.699997,126.739998,222200,125.288758
"141",126.290001,128.190002,126.269997,127.519997,273500,126.059825
"142",127.110001,127.940002,126.559998,127.330002,264400,125.872006
"143",127.790001,127.790001,125.57,125.620003,399700,124.181587
"144",126.419998,126.790001,123.889999,125.389999,438400,123.954218
"145",124.389999,124.489998,121.059998,121.349998,663800,119.960477
"146",121.529999,121.650002,117.919998,118.629997,887500,117.271621
"147",119.839996,120.120003,117.580002,118.879997,748100,117.518758
"148",120.089996,121.620003,119.589996,121.290001,753100,119.901166
"149",121.190002,121.190002,118.849998,118.849998,582500,117.489103
"150",118.849998,118.849998,116.889999,118.07,1157700,116.718036
"151",118.82,119.830002,118.25,118.849998,1703100,117.489103
"152",117.029999,117.900002,112.949997,115.309998,1355900,113.989637
"153",114.870003,116.43,113.68,114.379997,1020400,113.070286
"154",114,115.839996,113.709999,115.029999,1232600,113.712844
"155",115.25,116.910004,112.639999,112.860001,1013500,111.567694
"156",112.5,113.75,111.779999,112.279999,1092500,110.994333
"157",112.779999,117.529999,112.690002,117.129997,966700,115.788797
"158",116.589996,117.220001,115.190002,115.220001,438500,113.900671
"159",115,116.910004,114.25,116.900002,600500,115.561435
"160",115.540001,116.900002,115.129997,116.150002,828500,114.820023
