"","RHT.Open","RHT.High","RHT.Low","RHT.Close","RHT.Volume","RHT.Adjusted"
"1",51.16,51.580002,50.98,51.330002,950400,51.330002
"2",51.09,51.580002,51,51.470001,1138000,51.470001
"3",51.450001,51.599998,50.439999,50.490002,1033200,50.490002
"4",50.75,51.93,50.41,51.919998,1776900,51.919998
"5",51.759998,52.169998,51.459999,52.139999,1382100,52.139999
"6",52.009998,52.73,51.880001,52.43,2218200,52.43
"7",53.049999,53.220001,52.16,53.099998,3299200,53.099998
"8",55.639999,57.349998,54.02,55.110001,7353600,55.110001
"9",55.119999,55.130001,53.919998,55.080002,4341700,55.080002
"10",54.880001,55.07,54.380001,55.009998,1932000,55.009998
"11",54.810001,55.130001,54.5,54.75,1595100,54.75
"12",54.619999,55.459999,54.509998,55.41,1479300,55.41
"13",55.369999,55.75,55.029999,55.330002,1144700,55.330002
"14",55.169998,55.330002,54.889999,55.16,1223300,55.16
"15",55.349998,55.5,54.93,55.27,1360800,55.27
"16",55.439999,56.259998,55.27,56.169998,2064100,56.169998
"17",56.130001,56.66,55.939999,56.130001,1186800,56.130001
"18",56.150002,56.369999,55.880001,56.099998,827900,56.099998
"19",55.950001,56.07,55.57,55.73,1541500,55.73
"20",55.549999,55.599998,54.220001,54.48,1760800,54.48
"21",54.540001,55.060001,54.439999,54.93,929300,54.93
"22",54.09,55.240002,53.759998,54.779999,1090700,54.779999
"23",54.709999,54.880001,54.110001,54.73,813700,54.73
"24",55.029999,55.400002,54.959999,55.220001,845900,55.220001
"25",55.060001,55.41,54.23,54.389999,1183700,54.389999
"26",54.84,55.299999,54.619999,54.84,986000,54.84
"27",54.48,55.07,53.849998,53.93,997200,53.93
"28",54.18,54.900002,53.939999,54.860001,821300,54.860001
"29",54.459999,54.84,54.07,54.259998,714000,54.259998
"30",54.720001,55.709999,54.720001,55.68,1174700,55.68
"31",55.700001,56,55.209999,55.880001,1434300,55.880001
"32",56,56.450001,55.720001,56.380001,1409600,56.380001
"33",55.990002,56.700001,55.959999,56.68,1081100,56.68
"34",56.400002,56.91,56,56.700001,1178400,56.700001
"35",56.75,56.98,56.119999,56.150002,922700,56.150002
"36",56.75,58.34,56.68,58.290001,1659400,58.290001
"37",57.779999,58.310001,57.630001,58.119999,2508700,58.119999
"38",58.43,59.139999,57.84,58.389999,2157900,58.389999
