"","COH.Open","COH.High","COH.Low","COH.Close","COH.Volume","COH.Adjusted"
"1",40.630001,40.700001,39.450001,39.580002,6544900,38.173065
"2",39.330002,39.369999,38.689999,39.130001,6873400,37.73906
"3",38.990002,39.049999,38.560001,38.669998,5346200,37.295409
"4",38.66,39.41,38.66,39.369999,3821500,37.970527
"5",39.299999,39.799999,39.130001,39.68,3887200,38.269509
"6",39.669998,40.970001,39.610001,40.810001,7574400,39.359342
"7",40.77,40.790001,39.080002,39.189999,12007200,37.796925
"8",39.139999,39.419998,35,35.689999,38633500,34.421338
"9",35,35.189999,34.310001,34.73,32718100,33.495464
"10",34.25,34.52,33.830002,34.02,16914700,32.810703
"11",34.029999,34.860001,33.849998,34.09,9444400,32.878214
"12",33.740002,34.200001,33.599998,34.099998,8710200,32.887857
"13",34.080002,34.560001,33.93,34.34,6358800,33.119328
"14",34.419998,34.790001,34.380001,34.470001,6159600,33.244708
"15",34.5,34.5,34.049999,34.189999,6627800,32.974658
"16",34.259998,34.450001,34.080002,34.279999,5480800,33.061459
"17",34.209999,35.299999,34.060001,35.060001,10235900,33.813735
"18",35.110001,35.470001,34.75,35.139999,4834600,33.89089
"19",35.27,36.400002,35.200001,35.82,9181400,34.546718
"20",35.650002,35.790001,34.900002,34.98,5856000,33.736577
"21",34.610001,34.880001,34.360001,34.5,7422400,33.27364
"22",34.200001,34.470001,34.049999,34.099998,6999900,32.887857
"23",34.150002,34.419998,34.040001,34.25,4176600,33.032527
"24",34.470001,34.509998,33.900002,33.990002,4275400,32.781771
"25",33.93,34.25,33.509998,33.59,6275000,32.395988
"26",33.639999,33.869999,33.389999,33.790001,5137400,32.588879
"27",33.66,34.549999,33.66,34.09,5234700,32.878214
"28",34.150002,34.470001,34.049999,34.25,4102300,33.032527
"29",34.200001,34.669998,34.130001,34.32,4506500,33.100038
"30",34.450001,34.709999,34.330002,34.599998,3009400,33.370084
"31",34.759998,34.799999,34.459999,34.57,3085400,33.341152
"32",34.849998,35.75,34.77,35.07,4523700,33.823378
"33",34.98,35.16,34.450001,34.630001,3873200,33.39902
"34",34.799999,35.139999,34.529999,34.650002,2836300,33.41831
"35",34.549999,34.689999,34.290001,34.349998,3396800,33.128971
"36",34.5,34.919998,34.5,34.77,4291900,33.534043
"37",34.610001,34.939999,34.389999,34.560001,4005500,33.331509
"38",34.57,34.73,33.66,33.700001,5805400,32.502078
"39",33.709999,34.459999,33.450001,34.310001,7286800,33.090395
"40",35.32,36.27,35.099998,35.799999,14377200,34.527429
"41",35.360001,35.799999,34.669998,35.099998,6330100,33.852311
"42",35.189999,35.369999,34.720001,34.82,2913200,33.582265
"43",34.950001,36.75,34.799999,36.709999,12093400,35.405081
"44",36.68,36.759998,36.029999,36.18,5760400,34.893922
"45",36.09,36.75,35.779999,35.98,4307000,34.701031
"46",36.040001,36.09,35.389999,35.700001,4559200,34.430985
"47",35.830002,36.32,35.75,36.310001,3198300,35.019302
"48",36.389999,36.43,35.799999,36.060001,3328900,34.778189
"49",36.389999,36.75,36.16,36.259998,2963000,34.971076
"50",36.419998,36.68,36.330002,36.439999,2574500,35.144678
"51",36.43,37.02,36.349998,36.900002,3386900,35.58833
"52",36.889999,37.130001,36.580002,36.790001,3566100,35.482239
"53",36.91,37.57,36.900002,37.360001,4275000,36.031977
"54",37.57,37.580002,37.099998,37.240002,2284600,35.916244
"55",37.25,37.400002,37.060001,37.18,2257300,35.858375
"56",37.369999,37.52,37.040001,37.18,2121800,35.858375
"57",36.860001,36.939999,36.25,36.779999,4184300,35.472593
"58",36.919998,36.970001,36.619999,36.830002,2764500,35.520818
"59",36.84,37.290001,36.48,36.75,3265100,35.44366
"60",36.849998,36.849998,36.400002,36.52,3322900,35.221836
"61",36.619999,37.450001,36.57,37.27,5121900,35.945176
"62",37.040001,37.599998,36.799999,37.490002,4616300,36.488267
"63",37.580002,37.700001,37.18,37.349998,3429500,36.352005
"64",37.099998,37.279999,36.57,36.66,3580100,35.680443
"65",37.110001,37.110001,36.450001,36.91,4003800,35.923763
"66",36.91,37.43,36.830002,37.34,3725800,36.342274
"67",37.41,37.459999,36.529999,36.959999,4619800,35.972426
"68",36.900002,37.27,36.669998,36.93,4202800,35.943229
"69",37.009998,37.450001,36.860001,37.150002,3485600,36.157352
"70",37.310001,37.34,36.799999,37.02,3253900,36.030824
"71",37.16,37.5,37.080002,37.330002,4030500,36.332542
"72",37.43,37.549999,37.040001,37.049999,6680900,36.060022
"73",37,37,36.299999,36.43,2973900,35.456589
"74",36.509998,37.27,36.439999,36.68,4013100,35.699909
"75",36.700001,37.169998,36.669998,37.080002,2772600,36.089222
"76",37,37.32,36.259998,36.279999,3309800,35.310596
"77",36.360001,36.91,36.150002,36.330002,2529200,35.359262
"78",36.09,36.290001,35.869999,36.16,2675700,35.193803
"79",36.07,36.110001,35.549999,35.610001,3180700,34.6585
"80",35.529999,35.599998,34.689999,34.869999,4664200,33.938271
"81",34.869999,35.360001,34.599998,35.209999,3908900,34.269186
"82",35.299999,35.349998,35,35.110001,3376800,34.17186
"83",35.18,35.259998,34.599998,34.720001,3318600,33.792281
"84",34.52,34.779999,34.200001,34.240002,3283700,33.325107
"85",34.279999,35,34.25,34.93,3734900,33.996669
"86",34.830002,34.900002,33.830002,34.040001,4167300,33.13045
"87",34,34.669998,33.849998,34.080002,3606500,33.169383
"88",34.080002,34.73,33.849998,34.110001,4581000,33.19858
"89",34.330002,35.82,34.330002,35.619999,6979500,34.668231
"90",35.150002,36.099998,34.459999,35.540001,6417900,34.59037
"91",34.880001,35.650002,34.709999,35.119999,4244200,34.181591
"92",35.380001,35.419998,34.419998,34.490002,5155000,33.568427
"93",34.419998,35.18,34.209999,35.18,4126200,34.239989
"94",35.380001,35.540001,35.150002,35.450001,3755900,34.502775
"95",35.57,35.889999,35.220001,35.240002,3126800,34.298387
"96",35.450001,36.209999,35.369999,35.939999,3542400,34.97968
"97",35.889999,36.049999,35.639999,35.970001,3368800,35.008881
"98",35.880001,36.27,35.43,36.150002,4729400,35.184072
"99",34.68,35.040001,33.25,34,15696800,33.091518
