"","BWA.Open","BWA.High","BWA.Low","BWA.Close","BWA.Volume","BWA.Adjusted"
"1",65.629997,66.330002,65.5,66.07,1033100,65.502727
"2",65.639999,66.190002,65.5,66.080002,789400,65.512644
"3",65.900002,65.900002,64.239998,64.470001,1525700,63.916466
"4",64.440002,65.300003,64.220001,65.120003,842900,64.560887
"5",64.949997,65.669998,64.589996,65.139999,926200,64.580712
"6",65.010002,65.650002,64.760002,65.07,707100,64.511313
"7",65.150002,65.209999,64.120003,64.949997,1220500,64.392341
"8",65.160004,65.239998,64.830002,65.089996,923000,64.531138
"9",65.059998,65.57,64.550003,64.660004,1670500,64.104837
"10",64.720001,64.940002,64.480003,64.599998,1120900,64.045347
"11",64.5,64.849998,63.599998,63.689999,996900,63.143161
"12",63.41,64.610001,63.209999,64.529999,1156100,63.975949
"13",64.580002,65.18,63.57,65.059998,1590500,64.501397
"14",64.93,65.75,64.559998,65.360001,813300,64.798824
"15",65.339996,65.459999,64.800003,65.190002,960700,64.630286
"16",65.589996,66.349998,65.379997,66.080002,801600,65.512644
"17",66.07,67.489998,66.040001,66.620003,1362200,66.048008
"18",66.620003,67.080002,66.5,67.010002,515100,66.434659
"19",66.790001,67.029999,66.470001,66.730003,751600,66.157064
"20",66.389999,66.769997,65.68,66.559998,1449900,65.988518
"21",66.610001,67.400002,66.480003,67.379997,1125200,66.801477
"22",66.309998,67.489998,65.949997,66.150002,1691700,65.582042
"23",66.050003,66.260002,65.699997,66.190002,1259300,65.6217
"24",66.790001,66.790001,65.510002,65.900002,1557900,65.334189
"25",65.769997,66.129997,65.220001,65.370003,1700600,64.80874
"26",65.550003,65.959999,65.089996,65.18,1671200,64.620369
"27",64.860001,65.669998,64.040001,64.160004,1680200,63.60913
"28",64.419998,65.300003,64.080002,65.18,998500,64.620369
"29",65,65.629997,64.699997,64.830002,696400,64.273376
"30",65.349998,65.940002,65.269997,65.699997,1196600,65.135901
"31",65.959999,66,65.25,65.470001,753600,64.90788
"32",65.800003,65.940002,65.410004,65.559998,929200,64.997104
"33",65.220001,66.150002,65.220001,65.839996,955600,65.274699
"34",65.760002,65.769997,64.760002,65.489998,880700,64.927705
"35",65.389999,65.959999,64.519997,64.529999,1002300,63.975949
"36",64.690002,64.739998,63.740002,64.5,2277000,63.946208
"37",63.41,63.439999,61.509998,62.25,2523400,61.715526
"38",61.98,62.23,60.439999,60.91,1936400,60.387031
"39",61.259998,62.16,61.009998,62.02,1224400,61.487501
"40",61.52,62.209999,61.310001,61.389999,1583200,60.862909
"41",60.959999,61.380001,60.759998,60.779999,1380200,60.258146
"42",61.279999,61.689999,60.52,60.759998,1569400,60.238317
"43",60.860001,62,60.810001,61.919998,1223300,61.388357
"44",61.959999,62.240002,61.790001,61.84,818600,61.309046
"45",61.689999,62.16,61.380001,61.66,627600,61.130591
"46",62.080002,62.349998,61.490002,62.23,905900,61.695697
"47",62.080002,62.48,61.779999,62.419998,696300,61.884064
"48",62.75,62.970001,61.669998,62.16,851500,61.626298
"49",62.650002,62.799999,62.220001,62.419998,839800,61.884064
"50",62.68,62.959999,62.279999,62.889999,739200,62.35003
"51",62.799999,64,62.459999,63.720001,946700,63.172906
"52",63.889999,63.900002,62.689999,62.709999,925800,62.171575
"53",62.5,62.529999,61.889999,62.23,937000,61.695697
"54",62.720001,62.959999,62.259998,62.41,628100,61.874152
"55",62.610001,62.650002,61.779999,61.82,743300,61.289218
"56",62.049999,62.200001,61.610001,61.970001,484500,61.437931
"57",61.599998,62.200001,61.32,61.950001,864800,61.547215
"58",62.290001,62.310001,61.860001,62.189999,791700,61.785652
"59",62.23,62.959999,62.029999,62.689999,965700,62.282401
"60",63.080002,63.200001,62.689999,62.77,1106800,62.361883
"61",62.779999,63.619999,62.779999,63.049999,1001100,62.640061
"62",62.939999,63.240002,62.27,63.189999,1030800,62.77915
"63",62.77,63.299999,62.119999,62.529999,1230700,62.123442
"64",62.290001,62.630001,61.709999,61.82,1161500,61.418059
"65",61.799999,62.040001,61.259998,61.34,1026300,60.94118
"66",60.93,61.279999,60.610001,61.189999,928000,60.792154
"67",61.060001,61.25,59.950001,60.200001,1057300,59.808593
"68",60.07,60.439999,58.66,58.689999,1735700,58.308408
"69",58.369999,58.73,57.970001,58.349998,2321700,57.970619
"70",58.610001,59.02,57.610001,57.790001,2291000,57.414262
"71",57.880001,58.540001,57.810001,58.34,1737400,57.960685
"72",58.630001,58.68,57.73,57.799999,1787100,57.424196
"73",57.650002,57.709999,56.700001,56.849998,1649900,56.480372
"74",56.709999,57.189999,56.23,56.32,1334500,55.953819
"75",56.32,56.98,55.700001,56.830002,1889700,56.460505
"76",56.82,57.259998,56.16,56.32,1809900,55.953819
"77",56.389999,56.75,56.119999,56.32,1449200,55.953819
"78",55.790001,55.790001,54.279999,54.310001,2960600,53.956889
"79",54.310001,54.310001,51.599998,52.610001,5383200,52.267941
"80",52.52,53.799999,52.200001,53.34,3300300,52.993194
"81",53.400002,54.330002,53.310001,54.029999,2698900,53.678707
"82",54.48,54.75,53.98,54.259998,2458000,53.907211
"83",54.740002,54.830002,54.049999,54.060001,1914400,53.708514
"84",53.779999,53.950001,52.52,52.52,1548000,52.178526
"85",52.380001,53.540001,52.07,53.48,2450300,53.132284
"86",53.380001,53.5,51.209999,51.419998,2243000,51.085676
"87",51.290001,52.450001,51.130001,51.860001,3728500,51.522818
"88",51.970001,52.450001,50.220001,50.240002,2657500,49.913352
"89",51.389999,52.93,50.900002,52.439999,3575700,52.099045
"90",52.380001,52.73,50.880001,52.349998,3473200,52.00963
"91",51.310001,55.290001,51.290001,54.52,3560300,54.165523
"92",55.549999,56.799999,54.689999,54.98,3076900,54.622531
"93",54.73,55.330002,54.25,54.59,1195200,54.235067
"94",55.189999,56.439999,54.990002,56.439999,1467500,56.073037
"95",56.52,56.619999,55.59,55.720001,1505300,55.357721
"96",56.18,57.150002,56,56.52,1765400,56.152519
"97",56.73,56.73,55.73,56.299999,1683400,55.933948
"98",55.889999,55.889999,54.799999,55.27,1625500,54.910646
"99",55.619999,57.25,55.41,57.119999,1262300,56.748616
"100",57.369999,58,56.380001,56.860001,1848600,56.490309
"101",54.380001,54.880001,52.799999,54.369999,6740600,54.016496
"102",55.52,57.080002,55.220001,57.02,3359400,56.649268
"103",56.490002,57.639999,56.490002,57.07,2225500,56.698942
"104",56.68,57,55.27,55.709999,1520500,55.347784
"105",56.259998,57.349998,56.009998,57.32,1757000,56.947317
"106",57.389999,58.790001,57.34,58.75,1937400,58.36802
"107",58.68,58.880001,57.349998,57.68,1659800,57.304977
"108",57.41,57.41,55.759998,56.25,3398600,55.884274
"109",56.16,56.59,55.389999,55.5,3174500,55.13915
"110",55.189999,55.580002,55.07,55.25,3547200,54.890776
"111",55.450001,55.689999,55.18,55.299999,2987600,54.94045
"112",55.240002,55.310001,54.709999,55.18,3074500,54.821231
"113",55.150002,56.310001,54.990002,55.970001,1807300,55.606096
"114",56.27,57.610001,56.27,57.240002,2380900,56.867839
"115",57.189999,57.220001,56.43,57.09,2178400,56.718813
"116",56.630001,58.009998,56.48,57.68,1570900,57.304977
"117",58.27,58.75,58.119999,58.220001,1911500,57.841467
"118",58.439999,58.889999,57.630001,58.130001,1098200,57.752052
"119",58.240002,58.529999,57.150002,57.18,1388100,56.808228
"120",56.98,57.189999,56.450001,56.950001,1435900,56.708653
"121",57.209999,57.240002,56.470001,56.560001,892500,56.320306
"122",56.470001,56.98,55.990002,56.82,1585700,56.579203
"123",56.900002,57.369999,56.669998,57.25,1336500,57.007381
"124",57.509998,58.82,57.400002,58.75,1507000,58.501024
"125",58.73,58.73,57.810001,58.029999,1197400,57.784074
"126",58.09,58.240002,57.32,57.470001,1161900,57.22645
"127",57.529999,57.599998,55.990002,56.060001,1371100,55.822425
"128",55.41,56.029999,55.040001,55.970001,1648600,55.732806
"129",55.830002,56,53.349998,53.419998,2235200,53.19361
"130",53.66,54.459999,53.290001,53.41,1558700,53.183654
"131",52.790001,53.5,52.740002,52.759998,2059900,52.536407
"132",52.959999,53.400002,52.48,52.759998,2259400,52.536407
"133",52.57,53.07,51.290001,51.34,3476600,51.122427
"134",51.610001,52.689999,51.290001,52.450001,2564600,52.227723
"135",53.349998,53.610001,52.68,53.610001,1757700,53.382807
"136",53.93,55.389999,53.68,54.82,3291000,54.587679
"137",55,55.310001,54.68,54.860001,1286100,54.62751
"138",55.419998,56.560001,55.34,56.389999,2179000,56.151025
"139",56.450001,56.509998,55.639999,55.669998,514400,55.434075
"140",55.869999,56.259998,55.639999,55.68,802500,55.444035
"141",55.560001,56.700001,55.41,56.259998,872700,56.021575
"142",56.220001,56.5,55.330002,55.369999,1270800,55.135347
"143",55.470001,55.790001,54.889999,54.950001,1014900,54.717129
"144",55.240002,55.400002,54.16,54.740002,1611900,54.50802
"145",54.5,54.549999,52.619999,53.16,2628600,52.934714
"146",53.360001,53.52,51.950001,52.790001,2118800,52.566283
"147",53.060001,54.040001,52.990002,54.029999,1300300,53.801026
"148",54.57,55.119999,54.200001,54.950001,1898600,54.717129
"149",55.049999,55.299999,53.369999,53.52,1671100,53.293189
"150",53.32,53.400002,51.860001,52.119999,1765600,51.89912
"151",52.43,53.09,50.639999,51.439999,2312300,51.222002
"152",50.580002,51.91,48.400002,51.73,6291400,51.510773
"153",51.73,52.119999,50.419998,50.459999,2480700,50.246155
"154",50.150002,50.849998,49.869999,50.799999,1748000,50.584714
"155",51.139999,52.779999,50.709999,52.759998,4527200,52.536407
"156",52.619999,54,52.32,53.52,3275500,53.293189
"157",54.029999,55.290001,53.540001,55.119999,2450600,54.886406
"158",54.91,55.299999,54.389999,54.779999,2211800,54.547847
"159",54.580002,54.970001,54.470001,54.830002,1128200,54.597638
"160",54.16,55.200001,53.919998,54.880001,1533300,54.647426
"161",54.970001,55.189999,53.16,53.32,1632400,53.094035
"162",53.57,54.900002,53.310001,54.700001,1555600,54.468188
"163",54.080002,54.630001,53.700001,54.009998,2465900,53.78111
"164",54.150002,55.610001,53.900002,55.529999,1701800,55.294669
"165",56.09,57.259998,56.009998,57.029999,1852800,56.788312
"166",57.009998,57.84,56.59,57.439999,1976200,57.196574
"167",57.52,58.5,57.389999,58.310001,1660300,58.06289
"168",58.560001,59.220001,58.200001,58.560001,2297600,58.311831
"169",58.07,58.27,56.860001,57,2152500,56.75844
"170",57.790001,58.040001,57.09,57.900002,1254600,57.654628
"171",57.860001,58.16,57.52,58.02,1535200,57.774118
"172",59.259998,61.439999,58.869999,61.380001,2739400,61.119879
"173",60.509998,60.75,59.450001,60.169998,2446800,59.915004
"174",60.360001,60.709999,60.139999,60.560001,1813400,60.303355
"175",60.299999,60.419998,59.689999,60.299999,1471400,60.044454
"176",60.07,60.639999,59.66,60.59,1203600,60.333226
"177",60.580002,61.369999,59.810001,61.299999,1190900,61.040217
"178",61,61.459999,60.82,61.220001,1055300,60.960558
"179",61.259998,61.389999,60.93,61.060001,1018000,60.801236
"180",61.23,61.91,61.02,61.790001,1313200,61.528142
"181",61.66,61.790001,61.25,61.549999,1388700,61.418375
"182",61.419998,61.759998,60.990002,61.459999,1361000,61.328567
"183",61.580002,63.299999,61.580002,63.009998,2349300,62.875252
"184",62.669998,63.23,62.43,62.970001,2648000,62.83534
"185",62.970001,63.150002,61.990002,62.169998,2541800,62.037048
"186",62.27,62.68,61.93,62.040001,1893800,61.907329
"187",61.84,61.91,60.27,60.66,2164500,60.530279
"188",60.639999,61.09,60.580002,60.73,1339500,60.600129
"189",60.139999,60.369999,59.41,59.41,1510000,59.282952
"190",59.259998,59.459999,58.560001,58.619999,1759800,58.49464
"191",58.860001,60.130001,58.759998,60.080002,1514500,59.951521
"192",59.779999,59.959999,58.330002,58.799999,1350400,58.674256
"193",59.240002,60.189999,59.150002,60.18,1602000,60.051306
"194",59.720001,60.09,59.360001,59.43,1229600,59.30291
"195",58.900002,60.98,58.509998,60.689999,1654000,60.560213
"196",60.27,60.310001,59.759998,60.139999,1128400,60.01139
"197",60.419998,61.34,60.419998,60.459999,1604600,60.330706
"198",60.459999,60.810001,60.279999,60.529999,835100,60.400556
"199",60.310001,60.68,59.98,59.990002,1116000,59.861713
"200",59.990002,60.23,59.02,59.040001,1932900,58.913744
"201",58.810001,59.450001,58.720001,59.130001,2323500,59.003552
"202",59.27,59.849998,58.950001,59.389999,1389100,59.262994
"203",60.009998,61.32,59.93,61.099998,1295800,60.969336
