"","NOV.Open","NOV.High","NOV.Low","NOV.Close","NOV.Volume","NOV.Adjusted"
"1",77.93,78.650002,77.830002,78.459999,2952500,75.593279
"2",76.910004,76.910004,75.889999,76.379997,4928500,74.023265
"3",76.709999,77.419998,76.580002,77.059998,3664000,74.682284
"4",77.519997,77.589996,76.779999,77.540001,2617300,75.147476
"5",77.5,78.25,77.370003,77.839996,2522500,75.438215
"6",77.559998,78.199997,77.400002,77.919998,2199900,75.515749
"7",77.610001,78.029999,77,77.970001,2899000,75.564209
"8",78.080002,78.480003,77.360001,78.269997,2838800,75.854948
"9",78.129997,79.580002,78.029999,79.580002,3972600,77.124532
"10",79.599998,80.5,79.559998,80.370003,2470700,77.890158
"11",80.129997,80.919998,79.440002,79.540001,4290100,77.085766
"12",79.589996,80.870003,79.290001,80.800003,3538100,78.30689
"13",80.800003,81.190002,80.43,80.949997,2687400,78.452256
"14",80.879997,82.690002,80.699997,82.629997,4374300,80.080419
"15",82.610001,82.75,82.010002,82.349998,3411900,79.80906
"16",82.660004,82.769997,81.800003,82.410004,2738200,79.867214
"17",82.389999,82.870003,82.160004,82.610001,2360300,80.061039
"18",82.480003,83.040001,82.18,83.019997,1430800,80.458385
"19",82.809998,83.230003,82.610001,83.139999,2342800,80.574685
"20",82.559998,83.32,82.5,83.139999,2889000,80.574685
"21",83.139999,84.669998,83.080002,84.5,3297800,81.892722
"22",83.559998,83.769997,82.760002,83.360001,3699100,80.787898
"23",83.279999,83.300003,82.089996,82.75,2824400,80.196719
"24",83.120003,83.760002,83.07,83.75,1919200,81.165864
"25",83.440002,84.099998,82.900002,83.879997,3391900,81.29185
"26",84.25,85.470001,84.139999,85.360001,3563900,82.726187
"27",85.199997,85.75,84.400002,84.599998,2714400,81.989635
"28",84.589996,85.449997,84.360001,85.449997,3178500,82.813407
"29",85.160004,85.760002,85.110001,85.580002,2507900,82.9394
"30",85.849998,86.339996,85.800003,86.029999,2536000,83.375512
"31",86.120003,86.300003,85.059998,86.18,3123900,83.520886
"32",86.129997,86.410004,85.07,85.449997,3306900,82.813407
"33",85,85.389999,84.779999,85.169998,2611400,82.542047
"34",85.169998,85.199997,83.790001,84.699997,4034800,82.086548
"35",85.739998,85.790001,82.919998,83.410004,4670700,80.836358
"36",83,83.449997,81.730003,81.730003,5051000,79.208195
"37",81.300003,81.93,80.900002,81.040001,4249200,78.539483
"38",80.529999,81.599998,80.300003,81.089996,3567000,78.587935
"39",81.089996,82.989998,80.519997,82.870003,3384100,80.313019
"40",82.559998,82.559998,80.760002,81.559998,3580300,79.043435
"41",81.169998,82.709999,81.139999,82.010002,2724900,79.479554
