"","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"1",68.290001,68.940002,68.269997,68.690002,2931800,67.223117
"2",68.610001,68.699997,68.309998,68.620003,2063900,67.154612
"3",68.349998,68.599998,67.629997,67.839996,2131500,66.391263
"4",67.779999,67.970001,67.720001,67.860001,1559000,66.41084
"5",67.629997,68.18,67.330002,68.089996,1810000,66.635924
"6",68.029999,68.050003,67.669998,67.889999,1644400,66.440198
"7",67.760002,68.769997,67.760002,68.730003,2337700,67.262264
"8",68.910004,69.449997,68.910004,69.43,3072200,67.947312
"9",69.300003,69.470001,68.330002,68.379997,4035200,66.919732
"10",68.349998,68.360001,67.709999,67.830002,2656100,66.381482
"11",67.760002,68.220001,67.550003,67.949997,2438700,66.498914
"12",67.910004,68.089996,67.699997,67.949997,2117200,66.498914
"13",67.839996,68.029999,67.510002,67.900002,2154600,66.449987
"14",67.779999,68.489998,67.57,68.43,4109300,66.968667
"15",68.309998,68.860001,67.919998,68.18,2711400,66.724006
"16",68.5,68.599998,67.949997,68.480003,2150000,67.017602
"17",68.360001,68.75,68.300003,68.470001,1194200,67.007814
"18",68.440002,68.82,68.440002,68.82,1205500,67.350338
"19",68.790001,68.949997,68.610001,68.860001,1951800,67.389485
"20",68.589996,69.580002,68.550003,69.5,3835000,68.015817
"21",69.529999,69.889999,69.419998,69.650002,2497500,68.162615
"22",69.330002,69.720001,69.300003,69.419998,2933900,67.937524
"23",69.470001,69.620003,69.25,69.519997,1681500,68.035387
"24",69.779999,70.110001,69.730003,69.790001,2198500,68.299625
"25",69.660004,69.800003,69.349998,69.660004,2835200,68.172404
"26",69.599998,69.900002,69.330002,69.449997,2499400,68.319956
"27",69.360001,69.5,68.599998,68.599998,2366300,67.483788
"28",68.779999,69.010002,68.550003,68.900002,2395800,67.778909
"29",68.559998,68.889999,68.440002,68.760002,1516400,67.641188
"30",68.760002,68.989998,68.400002,68.589996,1965700,67.473948
"31",68.599998,68.690002,67.970001,68.169998,1919700,67.060784
