"","M.Open","M.High","M.Low","M.Close","M.Volume","M.Adjusted"
"1",59.200001,59.389999,58.759998,58.880001,1941100,57.372209
"2",58.490002,58.509998,57.77,57.990002,2400000,56.806982
"3",57.959999,58.169998,57.029999,57.290001,2922700,56.121262
"4",57.310001,57.669998,57.080002,57.400002,2359600,56.229018
"5",57.490002,57.529999,57.049999,57.23,2412500,56.062484
"6",57.25,58.07,57.049999,57.970001,2364700,56.78739
"7",57.77,58.080002,57.439999,57.77,1850600,56.591469
"8",57.75,58.189999,57.73,58.09,2502200,56.904941
"9",58.299999,58.540001,58.09,58.16,3286000,56.973512
"10",58.040001,58.919998,57.900002,58.75,2661000,57.551476
"11",58.560001,59.240002,58.259998,58.470001,3354200,57.27719
"12",58.349998,58.919998,57.959999,58,2762800,56.816777
"13",58.040001,58.18,57.349998,58.07,2227300,56.885348
"14",57.970001,58.75,57.919998,58.669998,2177100,57.473106
"15",58.77,58.77,57.82,58.02,2939300,56.836369
"16",58.200001,58.959999,58.16,58.66,2512200,57.463312
"17",58.790001,59.470001,58.700001,58.950001,3069200,57.747397
"18",58.93,60.25,58.93,59.880001,2319300,58.658425
"19",59.599998,59.73,58.98,59.48,2783600,58.266583
"20",59.360001,59.720001,58.689999,59.16,3765300,57.953112
"21",59.380001,59.889999,59.16,59.470001,2903100,58.256789
"22",58.669998,59.080002,58.459999,58.799999,3082800,57.600455
"23",58.619999,58.740002,57.939999,58.110001,2806300,56.924533
"24",58.5,58.669998,57.790001,57.830002,3009800,56.650246
"25",57.580002,57.790001,56.630001,56.700001,5992600,55.543298
"26",57.029999,57.209999,56.52,57.080002,3900700,55.915547
"27",56.68,57.220001,56.549999,56.639999,2583000,55.48452
"28",56.66,57.209999,56.369999,57.110001,2933400,55.944933
"29",57.009998,57.110001,56.580002,56.73,2313800,55.572685
"30",56.610001,57.150002,56.610001,56.98,2884400,55.817584
"31",56.939999,57.75,56.82,57.48,1899500,56.307384
"32",57.68,58.299999,57.5,57.919998,2615900,56.738407
"33",57.709999,57.919998,57.349998,57.459999,1986400,56.287792
"34",57.459999,57.830002,56.950001,57.580002,2379300,56.405346
"35",57.57,58.290001,57.389999,57.599998,2395100,56.424935
"36",57.790001,58.720001,57.700001,58.610001,3112100,57.414333
"37",58.27,58.59,57.759998,57.790001,2387200,56.611061
"38",57.650002,58.169998,57.34,57.889999,2588700,56.70902
"39",58.16,58.810001,57.880001,58.580002,3391300,57.384946
"40",58.080002,58.18,57.330002,57.639999,3502800,56.46412
"41",57.900002,59.330002,57.68,58.810001,5322700,57.610254
"42",59.380001,59.66,58.470001,58.77,3075000,57.571069
"43",58.470001,60.27,58.330002,60.209999,4139300,58.981691
"44",60.509998,61,59.790001,60.119999,4397800,58.893527
"45",59.990002,60.59,59.650002,59.759998,5390800,58.54087
"46",56.700001,57.759998,55.810001,56.470001,18452100,55.31799
"47",56.619999,57.880001,56.529999,57.84,8606800,56.660041
"48",57.93,57.93,56.900002,57.450001,4458600,56.277997
"49",57.919998,58.150002,57.540001,58.040001,2948500,56.855961
"50",58.369999,59.169998,58.290001,58.950001,3579400,57.747397
"51",58.84,60.57,58.75,60.09,5377800,58.86414
"52",60.060001,60.77,59.970001,60.700001,4027800,59.461696
"53",60.970001,62.09,60.889999,61.77,5830900,60.509867
"54",62,62.529999,61.529999,62.349998,4492600,61.078033
"55",62.259998,62.900002,62.02,62.59,3291400,61.313139
"56",62.900002,63.099998,61.689999,62.580002,5110800,61.303344
"57",62.060001,62.580002,61.84,62.360001,3100900,61.087831
"58",62.41,62.73,62.130001,62.290001,3326000,61.01926
"59",62.369999,62.720001,62,62.220001,5304200,60.950688
"60",61.790001,62.25,61.41,61.689999,4799900,60.431498
"61",61.849998,62.970001,61.82,62.43,5347800,61.156403
"62",61.91,61.93,61.150002,61.830002,5158100,60.568645
"63",61.860001,61.939999,60.299999,60.639999,4879200,59.402919
"64",60.709999,60.91,60.220001,60.43,3043700,59.197204
