"","MO.Open","MO.High","MO.Low","MO.Close","MO.Volume","MO.Adjusted"
"1",41.540001,42.389999,41.48,42.349998,11193600,40.114608
"2",42.220001,42.709999,42.16,42.59,12157300,40.341941
"3",42.049999,42.189999,41.23,41.279999,8391300,39.546788
"4",41.34,41.619999,41.189999,41.450001,5470100,39.709652
"5",41.439999,41.970001,41.259998,41.810001,5133900,40.054537
"6",41.689999,41.799999,41.52,41.68,4496200,39.929994
"7",41.689999,42.369999,41.52,42.349998,8340100,40.571862
"8",42.419998,43.150002,42.380001,43.07,10498500,41.261632
"9",43.23,43.380001,42.950001,43.119999,12356800,41.309532
"10",43.009998,43.02,42.5,42.689999,5750500,40.897586
"11",42.5,42.5,42.040001,42.349998,8291600,40.571862
"12",42.139999,42.200001,41.900002,42.029999,6983900,40.265298
"13",41.98,42,41.52,41.900002,7161300,40.140759
"14",41.790001,41.860001,41.130001,41.82,12779900,40.064116
"15",41.759998,42.279999,41.560001,41.939999,9322600,40.179076
"16",41.869999,42,41.52,41.830002,5197700,40.073698
"17",41.849998,41.970001,41.720001,41.869999,3579200,40.112016
"18",42.02,42.580002,41.990002,42.389999,5819600,40.610183
"19",42.25,42.779999,42.25,42.619999,5212400,40.830526
"20",42.650002,42.810001,42.509998,42.709999,5145000,40.916747
"21",42.849998,43.049999,42.720001,42.799999,5904300,41.002968
"22",42.610001,42.950001,42.610001,42.950001,7554700,41.146672
"23",43.529999,43.599998,43.02,43.43,9915900,41.606518
"24",43.610001,43.700001,43.259998,43.349998,8341300,41.529875
"25",43,43.080002,41.75,41.759998,18024000,40.006634
"26",42.080002,42.360001,41.700001,41.82,7945200,40.064116
"27",41.709999,41.98,41.549999,41.580002,6506800,39.834195
"28",41.790001,42.259998,41.599998,42.169998,6800500,40.399419
"29",41.540001,42.049999,41.450001,42.009998,8636800,40.246137
"30",41.779999,42.25,41.150002,41.93,8835500,40.169498
"31",41.990002,42,41.650002,41.720001,6523500,39.968316
"32",41.869999,42.150002,41.790001,42.040001,6824500,40.27488
"33",41.880001,42.02,41.52,41.740002,4829600,39.987477
"34",41.73,41.860001,41.369999,41.650002,4501800,39.901255
"35",41.59,41.82,41.470001,41.540001,8603900,39.795873
"36",41.830002,41.889999,41.060001,41.119999,7223700,39.393506
"37",40.93,41.040001,40.59,40.599998,7194000,38.895338
"38",40.369999,40.799999,40.259998,40.5,6192600,38.799538
"39",40.470001,40.830002,40.400002,40.73,6302200,39.019881
"40",40.720001,40.959999,40.41,40.57,4395800,38.866599
"41",40.470001,41.549999,40.470001,41.43,7964000,39.690491
"42",41.439999,41.52,40.91,41.150002,7828400,39.422249
"43",41.200001,41.66,41.130001,41.630001,4407600,39.882095
"44",41.82,42.310001,41.639999,42.009998,6134700,40.246137
"45",41.900002,42.009998,41.720001,41.959999,3843500,40.198237
"46",42.080002,42.279999,41.889999,42.07,3724800,40.303619
"47",42.110001,42.259998,42.009998,42.259998,2976900,40.48564
"48",42.389999,42.470001,41.93,42.200001,4737300,40.428162
"49",42.299999,42.59,42.299999,42.5,3987100,40.715565
"50",42.599998,42.709999,42.299999,42.700001,4320700,40.907168
"51",42.709999,42.720001,42.32,42.459999,4538600,40.677244
"52",42.470001,42.68,42.34,42.580002,4830000,40.792208
"53",42.59,42.700001,42.43,42.59,3796900,40.801786
"54",42.740002,42.93,42.66,42.77,3278700,40.974229
"55",42.91,42.98,42.709999,42.860001,4468100,41.06045
"56",42.799999,42.860001,42.580002,42.82,3489300,41.022129
"57",42.700001,43,42.639999,42.91,3195500,41.10835
"58",43,43.119999,42.93,43.080002,3645300,41.271215
"59",43.16,43.68,43.049999,43.189999,4573300,41.376593
"60",43.389999,43.459999,43.110001,43.220001,3497000,41.405336
"61",43.220001,43.48,43.049999,43.139999,4583100,41.328693
"62",43.130001,43.41,43.080002,43.389999,4949600,41.568196
"63",43.380001,43.599998,43.360001,43.490002,6454800,41.664
"64",43.610001,43.66,43.459999,43.650002,8571300,41.817282
"65",43.700001,44.049999,43.490002,43.860001,8282400,42.018464
"66",43.330002,43.470001,42.919998,43.189999,6328700,41.873036
"67",43.189999,43.299999,42.959999,43.16,7327700,41.843952
"68",43.599998,44.5,43.369999,44.27,11428100,42.920106
"69",44.07,44.5,44.029999,44.360001,6636800,43.007362
"70",44.389999,44.799999,44.169998,44.610001,6738100,43.249739
"71",44.799999,44.799999,44.459999,44.740002,4925100,43.375776
"72",44.950001,45.099998,44.82,44.990002,8048800,43.618153
"73",45.029999,45.450001,44.970001,45.349998,7470000,43.967172
"74",45.27,45.439999,44.82,44.82,6335500,43.453335
"75",44.790001,45.73,44.790001,45.700001,7610600,44.306502
"76",45.540001,45.599998,45.07,45.110001,5678100,43.734493
"77",45.419998,45.970001,45.360001,45.810001,7870300,44.413149
"78",45.630001,46.09,45.470001,46.040001,7477200,44.636135
"79",46.119999,46.200001,45.869999,45.939999,6343900,44.539182
"80",45.98,46.130001,45.68,45.77,7517300,44.374368
"81",45.759998,45.82,45.189999,45.470001,8062900,44.083516
"82",45.68,46.240002,45.57,46.189999,7187900,44.781559
"83",46.389999,46.599998,46.060001,46.509998,6741400,45.091801
"84",46.439999,46.540001,46.009998,46.049999,6144600,44.645829
"85",46.080002,46.810001,45.91,46.799999,6551200,45.372959
"86",46.689999,47.099998,46.200001,46.369999,7887200,44.956071
"87",46.700001,47.41,46.669998,46.720001,9347400,45.295401
"88",46.560001,46.93,46.049999,46.049999,8658100,44.645829
"89",46.099998,46.470001,45.799999,46.18,7133300,44.771866
"90",45.639999,46.009998,44.59,45.529999,14208400,44.141684
"91",44.860001,45.459999,44.639999,45.169998,10720000,43.792661
"92",45.419998,45.799999,45.060001,45.66,9306300,44.267721
"93",45.720001,46.5,45.610001,46.419998,5280700,45.004545
"94",46.540001,47.029999,46.209999,47.02,5607300,45.586252
"95",47.009998,47.619999,47.009998,47.060001,6445400,45.625033
"96",47.580002,47.689999,47.07,47.130001,4893500,45.692899
"97",47.23,47.5,47.080002,47.490002,3669700,46.041922
"98",47.549999,47.939999,47.490002,47.639999,4350100,46.187346
"99",47.869999,47.880001,47.060001,47.529999,6468900,46.0807
"100",47.66,47.900002,47.310001,47.57,7240000,46.119481
"101",47.52,47.779999,47.09,47.5,7670100,46.051615
"102",47.93,48.360001,47.759998,48.34,7816900,46.866002
"103",48.290001,49.07,48.290001,48.919998,5339800,47.428315
"104",49.009998,49.630001,49.009998,49.419998,5511500,47.913068
"105",49.77,49.959999,49.119999,49.75,6709400,48.233008
"106",49.84,49.900002,49.43,49.560001,4936500,48.048803
"107",49.560001,49.880001,49.27,49.869999,5876600,48.349348
"108",49.919998,50.09,49.610001,49.869999,8124600,48.349348
"109",49.830002,49.959999,49.18,49.279999,5412000,47.777338
"110",49.200001,49.450001,48.68,49.330002,7538400,47.825816
"111",49.57,49.950001,49.220001,49.450001,5253000,47.942156
"112",49.450001,49.450001,48.59,48.779999,6768800,47.292584
"113",48.740002,49.130001,48.700001,49.049999,6026800,47.554352
"114",49.200001,49.439999,49.119999,49.27,6096000,47.767645
"115",49.23,49.290001,49.02,49.139999,5979300,47.641608
"116",48.900002,49.029999,48.709999,48.830002,8905500,47.341062
"117",49.09,49.27,49,49.240002,10015700,47.73856
"118",49.52,49.759998,49.220001,49.25,5588400,47.748254
"119",49.25,49.560001,48.959999,49.459999,7133800,47.95185
"120",49.459999,49.779999,49.41,49.720001,4210300,48.203924
"121",49.970001,50.450001,49.970001,50.259998,3083100,48.727455
"122",50.130001,50.5,50.110001,50.299999,6171800,48.766236
"123",50.349998,50.599998,50.150002,50.560001,8363400,49.01831
"124",50.509998,51.25,50.400002,51.189999,9451300,49.629098
"125",51,51.07,50.560001,50.939999,6962800,49.386721
"126",50.919998,51.09,50.650002,51.07,4529600,49.512758
"127",51.110001,51.549999,50.82,50.93,5871300,49.377027
"128",50.669998,50.880001,50.119999,50.700001,5160600,49.154041
"129",50.849998,50.919998,49.939999,49.990002,6387100,48.465691
"130",49.93,50.59,49.810001,50.209999,5263400,48.67898
"131",49.860001,50.5,49.639999,49.650002,6031800,48.136058
"132",49.849998,50.119999,49.150002,49.509998,8122000,48.000324
"133",49.200001,50.400002,48.91,49.330002,8658100,47.825816
"134",49.540001,50.200001,49.139999,49.939999,7948100,48.417213
"135",50.43,51.27,50.049999,51.27,7566500,49.70666
"136",51.279999,51.669998,50.220001,50.560001,16275500,49.01831
"137",49.98,50.299999,49.810001,50.200001,8944900,49.175045
