"","K.Open","K.High","K.Low","K.Close","K.Volume","K.Adjusted"
"1",67.889999,68.449997,67.889999,68.059998,1398300,66.018228
"2",68.059998,68.32,67.389999,67.610001,1471800,65.581731
"3",67.739998,68,67.059998,67.230003,1116800,65.213133
"4",67.169998,67.389999,66.870003,67.209999,1083900,65.193729
"5",67.339996,67.540001,67.089996,67.440002,1115400,65.416832
"6",67.449997,67.57,66.629997,66.699997,1792400,64.699027
"7",66.290001,66.870003,65.720001,66.839996,2872400,64.834826
"8",66.970001,67.290001,66.720001,66.93,1156000,64.92213
"9",67.080002,67.43,66.940002,67.239998,2401900,65.222828
"10",67.169998,67.190002,66.089996,66.43,1746000,64.43713
"11",66.400002,66.400002,65.849998,65.870003,1088800,63.893932
"12",65.480003,65.480003,64.5,64.900002,2201700,62.95303
"13",64.989998,65.099998,64.470001,64.82,1751500,62.875429
"14",64.779999,65.010002,64.589996,64.959999,1340600,63.011228
"15",65.199997,65.730003,64.830002,65.699997,2392200,63.729026
"16",65.480003,65.980003,65.139999,65.860001,2132500,63.88423
"17",65.800003,66.169998,65.760002,66.050003,1300800,64.068532
"18",66.370003,66.730003,66.190002,66.410004,1236700,64.417733
"19",66.339996,66.470001,65.739998,65.860001,1798500,63.88423
"20",65.889999,66.309998,65.709999,66.059998,1779900,64.078227
"21",66.169998,66.459999,65.849998,66.099998,1415100,64.117028
"22",65.610001,65.989998,65.580002,65.879997,1201900,63.903627
"23",65.900002,66.050003,65.529999,65.949997,1069600,63.971526
"24",66.279999,66.449997,66,66.199997,1011900,64.214027
"25",65.330002,65.720001,65.139999,65.559998,3098400,63.593227
"26",65.75,66.019997,65.449997,66.019997,1290300,64.039426
"27",65.949997,66.160004,65.709999,65.910004,1487300,63.932733
"28",66.040001,66.349998,65.790001,66.169998,1365200,64.184928
"29",65.790001,66.230003,65.769997,66.099998,940300,64.117028
"30",66.150002,66.5,66.059998,66.269997,1081300,64.281926
"31",66.389999,66.43,65.360001,65.440002,1399300,63.476832
"32",65.580002,65.830002,65.470001,65.68,885600,63.70963
"33",65.580002,65.709999,65.190002,65.370003,725300,63.408932
"34",65.419998,65.559998,65.120003,65.440002,1192300,63.476832
"35",65.639999,65.730003,64.889999,64.889999,1119200,62.943328
"36",65.190002,65.279999,63.439999,63.73,2557700,61.818128
"37",62.990002,63.099998,59.779999,59.830002,8993800,58.035128
"38",59.66,61.740002,59.650002,61.439999,5133900,59.596826
"39",61.48,62.07,61.200001,62.060001,2614100,60.198229
"40",61.68,61.990002,61.290001,61.400002,1653300,59.558029
"41",61.27,62.959999,61.27,62.779999,4225900,60.896627
"42",62.91,63.110001,61.970001,62.380001,1768000,60.508629
"43",62.349998,63.279999,61.860001,63.240002,1606200,61.34283
"44",63.290001,64.110001,63.27,63.810001,1879100,61.89573
"45",63.450001,63.639999,63.110001,63.450001,1407400,61.546529
"46",63.610001,64,63.450001,63.98,1289200,62.060628
"47",64,64.050003,63.709999,64,1079200,62.080029
"48",64.07,64.470001,64,64.279999,2040000,62.351627
"49",64.449997,64.540001,64.160004,64.300003,1433800,62.371032
"50",64.349998,64.82,64.279999,64.470001,987900,62.53593
"51",64.370003,65.190002,63.970001,64.82,1797600,62.875429
"52",64.959999,65.230003,64.860001,64.879997,913600,62.933626
"53",65.029999,65.089996,64.230003,64.300003,1647400,62.371032
"54",64.720001,65.07,64.639999,64.849998,1185200,62.904527
"55",64.900002,65.379997,64.660004,64.75,1592100,62.807529
"56",64.739998,65.300003,64.580002,65.279999,1593400,63.321628
"57",64.400002,64.900002,64.260002,64.75,1351700,63.282536
"58",64.730003,65.150002,64.599998,64.970001,1188900,63.497551
"59",64.93,65.290001,64.68,64.790001,1369100,63.321631
"60",65.029999,65.279999,64.769997,64.790001,1197200,63.321631
"61",64.830002,65.379997,64.760002,64.93,1517400,63.458457
"62",64.779999,65.209999,64.510002,65.199997,898200,63.722335
"63",64.93,65.150002,64.360001,64.440002,1322000,62.979564
"64",64.419998,64.68,64.110001,64.32,1420000,62.862281
"65",64.32,64.459999,64.010002,64.440002,1363100,62.979564
"66",64.220001,64.779999,64.160004,64.690002,1041800,63.223898
"67",64.550003,64.699997,63.830002,63.889999,1996800,62.442026
"68",64,64.040001,63.580002,63.73,1731600,62.285653
"69",63.549999,64.269997,63.529999,63.869999,2104500,62.422479
"70",63.16,63.540001,62.529999,62.799999,3065800,61.376729
"71",63.060001,63.07,62.48,62.889999,2021500,61.46469
"72",63.119999,63.27,62.630001,62.66,2513700,61.239903
"73",62.66,62.779999,62.259998,62.290001,1479700,60.878289
"74",62.220001,62.400002,61.610001,61.619999,1566400,60.223472
"75",61.700001,62.439999,61.700001,62.349998,1549300,60.936927
"76",62.029999,62.220001,61.529999,61.68,1260900,60.282114
"77",61.700001,61.900002,61.330002,61.75,943200,60.350527
"78",61.380001,61.919998,61.32,61.810001,1363000,60.409168
"79",60.849998,61.889999,60.540001,61.599998,3193000,60.203925
"80",60.5,61.060001,60.43,60.650002,2274800,59.275458
"81",60.810001,60.93,60.110001,60.720001,2003100,59.343871
"82",61,61.529999,60.880001,61.189999,1488200,59.803217
"83",61.439999,61.580002,60.790001,60.950001,1399400,59.568658
"84",60.75,61.09,60.169998,60.18,1632400,58.816109
"85",60.18,61.169998,60.130001,61.119999,1810100,59.734804
