"","PLD.Open","PLD.High","PLD.Low","PLD.Close","PLD.Volume","PLD.Adjusted"
"1",41.310001,41.529999,40.950001,41.139999,1953800,39.766897
"2",40.990002,41.240002,40.990002,41.189999,2183000,39.815227
"3",41.099998,41.16,40.709999,40.959999,2018700,39.592904
"4",41.07,41.16,40.720001,40.91,1695200,39.544574
"5",40.869999,41.18,40.650002,40.91,1499400,39.544574
"6",40.82,41.080002,40.560001,41.029999,2026700,39.660568
"7",40.950001,41.470001,40.759998,41.380001,1958700,39.998888
"8",41.389999,41.700001,41.259998,41.68,2154700,40.288875
"9",41.619999,41.740002,41.150002,41.279999,3112300,39.902224
"10",41.220001,41.529999,41.169998,41.209999,1852500,39.83456
"11",41.099998,41.540001,41.099998,41.369999,1709400,39.98922
"12",41.32,41.59,41.279999,41.560001,1733900,40.172881
"13",41.470001,41.470001,40.939999,41.099998,1930600,39.728231
"14",40.98,41.240002,40.91,41.18,1768700,39.805563
"15",41.209999,41.32,40.689999,41.09,2297400,39.718566
"16",41.259998,41.259998,40.799999,41.130001,2017300,39.757232
"17",41.169998,41.18,40.57,41.169998,1956400,39.795894
"18",41.150002,41.189999,40.689999,40.900002,1076000,39.534909
"19",40.959999,41.18,40.77,41.130001,2250400,39.757232
"20",41.099998,41.25,40.869999,41.119999,2368800,39.747564
"21",40.389999,41.23,40.389999,41.049999,1445600,39.679901
"22",40.889999,41.349998,40.810001,41.23,1988100,39.853893
"23",41.259998,41.389999,41.139999,41.290001,2822900,39.911892
"24",41.380001,41.619999,41.169998,41.59,1653300,40.201878
"25",41.639999,41.709999,41.23,41.459999,1422800,40.076216
"26",41.529999,41.73,41.360001,41.709999,1548900,40.317872
"27",41.439999,41.68,41.27,41.450001,1482900,40.066552
"28",41.450001,41.91,41.419998,41.709999,1596600,40.317872
"29",41.52,41.73,41.32,41.549999,1805200,40.163212
"30",41.810001,42.369999,41.810001,41.98,2736000,40.578861
"31",42.209999,42.380001,41.970001,42.02,2463500,40.617527
"32",42.189999,42.279999,41.84,41.869999,1909800,40.472532
"33",41.790001,41.939999,41.549999,41.630001,1576800,40.240544
"34",41.630001,42.240002,41.549999,42.16,1916400,40.752854
"35",42.18,42.27,41.759998,41.759998,1842000,40.366203
"36",41.810001,42.049999,41.400002,41.43,2526600,40.047219
"37",41.25,41.439999,40.740002,40.810001,2401500,39.447913
"38",40.75,41.049999,40.529999,40.549999,2610000,39.196589
"39",40.59,40.810001,40.240002,40.689999,1991600,39.331916
"40",40.470001,40.560001,40,40.16,2420800,38.819606
"41",40.040001,40.25,39.830002,39.950001,2574400,38.616616
"42",40.119999,40.240002,39.799999,39.869999,1665300,38.539284
"43",40.029999,40.220001,39.59,40.209999,1881300,38.867937
"44",40.23,40.450001,40.189999,40.34,1641900,38.993599
"45",40.310001,40.57,40.200001,40.279999,1560500,38.9356
"46",40.470001,40.98,40.419998,40.880001,1456300,39.515576
"47",40.900002,41.02,40.639999,40.830002,1387000,39.467246
"48",41,41.150002,40.68,40.799999,2255400,39.438245
"49",41.02,41.299999,41,41.279999,1699900,39.902224
"50",41.27,41.450001,41.099998,41.27,1854200,39.892559
"51",41.220001,41.41,40.939999,41.369999,1682900,39.98922
"52",41.369999,41.52,41.009998,41.139999,1622100,39.766897
"53",41.099998,41.220001,40.57,40.91,1502600,39.544574
"54",41.189999,41.200001,40.68,40.830002,1335900,39.467246
"55",40.900002,41.130001,40.759998,40.799999,813700,39.438245
"56",40.799999,40.91,40.599998,40.75,1251700,39.389914
"57",40.709999,40.900002,40.650002,40.740002,1343800,39.38025
"58",40.889999,40.970001,40.68,40.939999,1844300,39.573571
"59",41,41.119999,40.75,40.91,2108500,39.544574
"60",41,41.16,40.68,40.720001,1960400,39.360917
"61",40.66,40.810001,40.450001,40.59,2693900,39.235255
"62",40.59,41.279999,40.57,41.259998,3584400,39.882891
"63",41.27,41.66,41.110001,41.450001,2294900,40.066552
"64",41.459999,41.549999,41.209999,41.349998,2104900,39.969887
