"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"1",89.379997,89.989998,88.760002,89.970001,716300,87.820096
"2",89.129997,89.489998,88.949997,89.019997,951800,87.232138
"3",88.989998,89.580002,88.220001,88.379997,758200,86.604992
"4",88.470001,88.919998,87.93,88.839996,1140900,87.055753
"5",88.510002,88.730003,87.029999,87.900002,1122400,86.134637
"6",87.580002,88.300003,87.269997,87.650002,616800,85.889658
"7",87.489998,88.18,87.080002,88.080002,759800,86.311022
"8",88.260002,88.489998,87.349998,87.550003,833700,85.791668
"9",87.550003,88.360001,87.449997,88.099998,1123200,86.330617
"10",88.099998,88.110001,87.239998,87.68,608100,85.919054
"11",87.580002,88.099998,87.169998,87.169998,963400,85.419295
"12",87.160004,87.830002,86.57,87.220001,1014800,85.468293
"13",87.32,87.32,86.389999,87.120003,845900,85.370303
"14",86.669998,87.510002,86.160004,87.410004,1564700,85.65448
"15",87.410004,87.589996,86.449997,87.349998,884900,85.59568
"16",87.410004,88.199997,86.860001,87.709999,700400,85.94845
"17",87.889999,88.019997,87.370003,87.660004,720500,85.899459
"18",88.300003,88.68,88.110001,88.550003,412900,86.771584
"19",88.449997,88.550003,87.540001,87.779999,644700,86.017044
"20",87.699997,87.959999,87.190002,87.5,725900,85.742669
"21",87.739998,87.839996,86.900002,87.269997,791700,85.517285
"22",86.769997,87.949997,85.879997,86.760002,803500,85.017533
"23",86.870003,86.989998,86.160004,86.830002,784800,85.086127
"24",87.309998,87.809998,86.470001,86.779999,676500,85.037128
"25",86.150002,87.190002,85.849998,85.889999,1232500,84.165003
"26",86.43,86.459999,85.970001,86.449997,1270300,84.713754
"27",86.019997,86.639999,85.629997,86.120003,1245700,84.390387
"28",86.279999,86.739998,86.029999,86.529999,754900,84.792149
"29",86.190002,86.68,85.900002,86.610001,630700,84.870544
"30",86.980003,87.660004,86.779999,87.449997,1087300,85.69367
"31",87.440002,88.199997,87.440002,88.010002,870400,86.242428
"32",88,88.440002,87.800003,87.970001,812500,86.203231
"33",87.57,88.739998,87.57,88.709999,1111700,86.928367
"34",88.660004,89.019997,87.300003,88.669998,1868600,86.889169
"35",83.510002,84,81.5,81.519997,5154500,79.882767
"36",81.769997,82.519997,80.940002,81.290001,3176900,79.65739
"37",80.790001,80.889999,78.629997,78.779999,3219000,77.197798
"38",78.760002,79.209999,78.209999,78.459999,1949200,76.884225
"39",78.879997,79.470001,78.239998,79.199997,1691800,77.609361
"40",78.769997,79.830002,78.449997,78.93,1764000,77.344787
"41",78.720001,79.75,78.639999,79.389999,1105500,77.795548
"42",79.660004,79.980003,78.68,78.970001,916700,77.383985
"43",79.209999,79.93,78.75,79.860001,995000,78.25611
"44",79.860001,80.290001,79.589996,79.860001,1035100,78.25611
"45",79.559998,80.160004,79.419998,80,742100,78.393297
"46",80.470001,81.370003,80,81.019997,1033200,79.392808
"47",81,81.239998,80.769997,81.080002,457000,79.451609
"48",81.089996,81.559998,80.260002,80.660004,1068200,79.040045
"49",81.449997,81.620003,80.639999,81.260002,1516300,79.627994
"50",81.620003,81.720001,81.220001,81.559998,664200,79.921964
"51",81.629997,82.160004,81.330002,82.019997,964300,80.372725
"52",81.93,82.389999,81.419998,81.989998,570500,80.343328
"53",81.910004,81.940002,81.220001,81.339996,911300,79.706381
"54",81.709999,82.339996,81.529999,81.900002,568200,80.255139
"55",82.18,82.279999,81.470001,81.489998,800700,79.85337
"56",81.800003,82,81.169998,81.389999,1248200,79.75538
"57",81.290001,82.610001,81.220001,82.449997,1330800,80.794089
"58",82.519997,83.099998,82.120003,82.470001,673300,80.813691
"59",82.809998,83.269997,82.449997,83.07,1149600,81.40164
"60",83.370003,83.68,82.809998,82.910004,1350300,81.244857
"61",82.900002,83.650002,82.470001,82.57,944100,80.911682
"62",82.669998,83.379997,82.5,83.360001,830700,81.685816
"63",83.440002,83.949997,83.129997,83.379997,1128100,81.705411
"64",83.209999,83.57,82.849998,82.959999,1080800,81.293848
"65",82.949997,83.599998,82.599998,83.57,1148400,81.891598
"66",83.010002,85.209999,81.959999,82.339996,5640400,81.025646
"67",82.599998,84.489998,82.349998,83.050003,2240900,81.724319
"68",83.099998,83.269997,82.360001,82.93,1126800,81.606232
"69",83.010002,84.050003,82.650002,83.720001,1296500,82.383622
"70",83.93,84.199997,83.400002,83.559998,1234300,82.226173
