"","CFN.Open","CFN.High","CFN.Low","CFN.Close","CFN.Volume","CFN.Adjusted"
"1",43.37,43.51,43.1,43.44,1120200,43.44
"2",43.14,43.3,43.02,43.04,1312300,43.04
"3",43.04,43.24,42.6,42.86,1525800,42.86
"4",42.82,43,42.66,42.72,820800,42.72
"5",42.87,43.85,42.68,42.76,1858900,42.76
"6",42.77,43.08,42.52,42.93,1133400,42.93
"7",42.91,43.565,42.68,43.54,1377400,43.54
"8",43.52,44,43.52,43.96,1498800,43.96
"9",44.14,44.285,43.99,44.24,1782800,44.24
"10",44.15,44.41,44.03,44.22,1502400,44.22
"11",44.1,44.45,43.87,44.01,1512000,44.01
"12",44.04,44.68,44.04,44.37,941800,44.37
"13",44.48,44.54,44.22,44.34,1497800,44.34
"14",44.26,44.56,44.07,44.29,1091700,44.29
"15",44.4,44.61,44.115,44.35,1877400,44.35
"16",44.56,45.52,44.48,45.26,2764200,45.26
"17",45.33,45.5,45.16,45.4,1041300,45.4
"18",45.46,45.7,45.27,45.63,625300,45.63
"19",45.63,45.63,45.63,45.63,0,45.63
"20",45.53,45.81,45.21,45.25,1797500,45.25
"21",45.25,45.26,44.445,44.55,1235600,44.55
"22",44.74,44.9,44.565,44.72,643100,44.72
"23",44.42,44.88,44.15,44.64,1032400,44.64
"24",44.7,45.01,44.67,44.81,1110100,44.81
"25",45.09,45.11,44.39,44.56,947300,44.56
"26",44.5,44.79,44.26,44.53,957300,44.53
"27",44.8,44.8,44.06,44.37,949000,44.37
"28",44.24,44.52,44.07,44.14,1179300,44.14
"29",44.3,44.64,44.25,44.6,1182000,44.6
"30",44.37,44.61,44.3,44.48,567400,44.48
"31",44.6,44.72,44.28,44.32,1242500,44.32
"32",44.51,44.855,44.33,44.85,955600,44.85
"33",44.83,44.9,44.58,44.74,1022300,44.74
"34",44.62,44.84,44.47,44.82,781300,44.82
"35",44.68,45.08,44.65,45.01,916500,45.01
"36",45,45.11,44.7,44.73,866600,44.73
"37",44.88,45.14,44.69,44.94,639400,44.94
"38",44.58,44.9,43.715,43.79,2279400,43.79
"39",43.77,43.96,43.47,43.75,1311000,43.75
"40",43.81,43.87,43.33,43.73,1883900,43.73
"41",43.62,43.63,42.85,42.9,4820900,42.9
"42",42.66,42.86,42.21,42.51,3453200,42.51
"43",42.6,42.745,41.925,42.11,2549200,42.11
"44",42.54,42.91,41.39,42.49,2733700,42.49
"45",42.74,43.36,42.61,43.19,2131400,43.19
"46",43.18,43.54,43.11,43.3,1303300,43.3
"47",43.66,44.175,43.62,44.09,1509100,44.09
"48",44.07,44.31,43.845,44.04,821500,44.04
"49",44.07,44.29,43.54,43.97,1031400,43.97
"50",44.07,44.85,43.95,44.65,1452700,44.65
"51",44.69,44.94,44.45,44.93,731800,44.93
"52",44.91,45.04,44.66,44.91,670200,44.91
"53",44.96,45.18,44.79,45.05,885300,45.05
"54",45.11,45.25,44.81,45.13,1140800,45.13
"55",45.31,45.46,45.12,45.25,653900,45.25
"56",45.3,45.46,45.101,45.25,629700,45.25
"57",45.23,45.445,45.09,45.38,556200,45.38
"58",45.21,45.43,45.05,45.41,846500,45.41
"59",45.6,45.93,45.28,45.91,1083700,45.91
"60",45.91,45.91,45.91,45.91,0,45.91
"61",45.94,46.3,45.68,46.29,1614200,46.29
"62",46.45,46.52,45.98,46.04,653700,46.04
"63",46.15,46.54,45.89,45.93,998900,45.93
"64",46.01,46.54,45.61,46.45,1044400,46.45
"65",46.31,46.43,45.9,46.05,1446100,46.05
"66",45.98,46.13,45.69,45.88,1272200,45.88
"67",46.04,46.42,45.88,46.36,1252800,46.36
"68",46.18,46.79,46.01,46.77,2108800,46.77
"69",46.78,46.85,46.33,46.39,1588900,46.39
"70",46.31,46.37,46.04,46.27,914900,46.27
"71",46.17,46.61,46,46.5,771800,46.5
"72",46.49,46.67,46.05,46.45,1056700,46.45
"73",46.52,46.79,46.49,46.72,908000,46.72
"74",47.01,47.06,46.55,46.75,2125800,46.75
"75",46.74,46.74,46.16,46.35,1154200,46.35
"76",44.88,46.1,44.3,45.89,2530600,45.89
"77",45.91,46.5277,45.65,46.46,1116900,46.46
"78",46.41,46.41,45.505,45.6,2505100,45.6
"79",45.72,45.91,45.38,45.74,955300,45.74
"80",45.43,45.9,45.28,45.8,811200,45.8
"81",45.8,45.81,45.18,45.25,965500,45.25
"82",45.24,45.335,44.8,45.05,1727700,45.05
"83",45.05,45.62,44.83,45.34,1263300,45.34
"84",45.66,46.28,45.64,46.17,1156700,46.17
"85",57.31,57.37,56.67,56.75,50591400,56.75
"86",56.7,57.39,56.68,57.05,19158000,57.05
"87",57.02,57.7,56.8,57.63,4167400,57.63
"88",57.4,58,57.31,57.46,3573000,57.46
"89",57.41,57.535,57.22,57.22,7990800,57.22
"90",57.09,57.38,56.91,56.95,6928100,56.95
"91",57.1,57.27,56.92,56.95,2881300,56.95
"92",56.57,57.08,55.87,56.69,4924000,56.69
"93",56.31,56.72,56.11,56.33,5247500,56.33
"94",56.61,56.78,56.34,56.34,4323700,56.34
"95",56.23,56.69,56.23,56.47,3210700,56.47
"96",56.5,56.89,56.48,56.67,4700500,56.67
"97",56.66,56.89,56.66,56.69,2905500,56.69
"98",56.9,57.18,56.8,56.9,1310800,56.9
"99",57,57.05,56.87,56.96,2300700,56.96
"100",57,57.06,56.8808,57.01,2503600,57.01
"101",57.25,57.3,56.97,57.3,4179700,57.3
"102",57.26,57.47,57.14,57.43,1237200,57.43
"103",57.43,57.61,57.26,57.52,2523600,57.52
"104",57.83,57.83,57.33,57.37,3387500,57.37
"105",57.43,57.63,57.25,57.25,2746800,57.25
"106",57.31,57.5,57.27,57.38,2705800,57.38
"107",57.6,57.6,57.37,57.41,2280900,57.41
"108",57.37,57.56,57.37,57.44,2301400,57.44
"109",57.44,57.5,57.22,57.28,3164000,57.28
"110",57.07,57.52,57.03,57.52,1943900,57.52
"111",57.49,57.53,57.431,57.48,1487700,57.48
"112",57.32,57.62,57.32,57.56,1023600,57.56
"113",57.54,57.65,57.53,57.56,2036600,57.56
"114",57.54,57.61,57.5,57.57,1364000,57.57
"115",57.53,57.72,57.52,57.71,1682700,57.71
"116",57.65,57.895,57.61,57.78,3826000,57.78
"117",57.77,57.78,57.625,57.74,2773900,57.74
"118",57.67,58.29,57.67,58.27,3661600,58.27
"119",58.64,58.68,58.19,58.25,1962300,58.25
"120",58.28,58.505,58.23,58.43,1572600,58.43
"121",58.41,58.81,58.41,58.76,1509400,58.76
"122",58.84,59.3,58.84,59.22,2104300,59.22
"123",59.22,59.22,59.22,59.22,0,59.22
"124",59.18,59.34,59.121,59.17,893300,59.17
"125",59.16,59.315,59.04,59.19,2932100,59.19
"126",59.23,59.26,59.12,59.22,1709000,59.22
"127",59.18,59.38,59.1,59.14,1890300,59.14
"128",59.13,59.42,59.11,59.23,1303900,59.23
"129",59.23,59.25,59.02,59.09,1010300,59.09
"130",59.13,59.37,59.11,59.25,2556100,59.25
"131",59.07,59.17,58.98,59.14,2267400,59.14
"132",59.1,59.21,58.83,58.88,2176700,58.88
"133",58.97,59.16,58.89,59,1649200,59
