"","BBY.Open","BBY.High","BBY.Low","BBY.Close","BBY.Volume","BBY.Adjusted"
"1",28.85,29.639999,28.85,29.49,5063400,28.452532
"2",29.4,29.469999,28.68,28.83,3996400,27.815751
"3",28.82,28.84,28.219999,28.440001,3487700,27.439472
"4",28.52,28.66,28.25,28.639999,2863600,27.632435
"5",28.639999,28.85,28.370001,28.76,2504200,27.748214
"6",28.76,29.139999,28.700001,29.01,2734700,27.989419
"7",29,29.139999,28.67,29.110001,2390500,28.085901
"8",29.08,29.209999,28.76,28.92,2622800,27.902585
"9",28.93,29.09,28.26,28.309999,4606300,27.314044
"10",28.41,28.629999,28.110001,28.57,2381000,27.564898
"11",28.9,29.34,28.790001,29.059999,3776600,28.037659
"12",29.08,30.67,28.75,30.559999,8041000,29.484889
"13",30.379999,30.57,29.959999,30.32,4292300,29.253332
"14",30.309999,31.09,30.200001,31.040001,4853800,29.948003
"15",30.959999,31.48,30.959999,31.01,4868600,29.919058
"16",31.15,31.540001,30.950001,30.969999,4413700,29.880465
"17",31,31.6,31,31.440001,2720100,30.333931
"18",31.629999,32.240002,31.530001,32.099998,3135900,30.97071
"19",31.92,32.169998,31.700001,31.77,2737200,30.652321
"20",31.709999,31.719999,31.030001,31.15,3640000,30.054132
"21",31.25,31.66,31.23,31.49,2725300,30.382171
"22",30.85,30.92,30.25,30.49,4315000,29.417352
"23",30.639999,30.690001,29.74,29.889999,4918600,28.838459
"24",30.1,30.219999,29.290001,29.459999,5658100,28.423587
"25",29.440001,29.93,29.440001,29.709999,3275100,28.664792
"26",29.77,30.77,29.4,30.690001,7913000,29.610316
"27",30.35,30.5,29.49,29.559999,4304600,28.520069
"28",29.709999,30.139999,29.549999,30.09,2542200,29.031424
"29",29.950001,30.23,29.719999,30.129999,3118300,29.070016
"30",30.41,31.07,30.219999,30.879999,4424500,29.793631
"31",30.9,31.25,30.719999,30.9,2465500,29.812927
"32",30.98,31.5,30.98,31.450001,3061700,30.343579
"33",31.280001,31.42,30.93,31.030001,2402500,29.938355
"34",31.17,31.559999,30.889999,31.549999,3412900,30.44006
"35",31.389999,31.5,30.91,30.93,2682500,29.841873
"36",30.969999,31.559999,30.65,30.91,3854100,29.822576
"37",30.459999,30.469999,29.24,29.73,6448800,28.684088
"38",29.49,29.9,28.92,29.17,3917000,28.14379
"39",29.129999,29.790001,29.030001,29.700001,3390200,28.655145
"40",29.5,30.040001,29.379999,29.559999,2752600,28.520069
"41",29.440001,29.85,29.15,29.57,2515700,28.529717
"42",29.83,29.92,28.99,29.030001,2722800,28.008716
"43",29.120001,29.74,28.93,29.66,2860500,28.616551
"44",29.709999,30.049999,29.610001,29.639999,2289600,28.597254
"45",29.639999,29.790001,29.040001,29.459999,2945700,28.423587
"46",29.75,29.790001,29.190001,29.57,3167800,28.529717
"47",29.59,29.76,29.25,29.530001,1976600,28.491126
"48",29.690001,29.719999,28.85,29.190001,3779600,28.163087
"49",29.370001,29.940001,29.370001,29.91,3516400,28.857756
"50",30.1,30.790001,30.059999,30.75,4316800,29.668205
"51",30.610001,31.360001,30.450001,31.34,5543000,30.237449
"52",31.4,31.620001,30.9,31.129999,3975100,30.034836
"53",31.23,31.75,31.01,31.200001,4596100,30.102374
"54",31.43,32.02,31.120001,31.99,8048100,30.864581
"55",30.52,31.07,29.76,29.799999,28775200,28.751625
"56",29.950001,31.799999,29.92,31.690001,16438700,30.575136
"57",31.51,32.450001,31.26,32.240002,7569700,31.105788
"58",32.490002,32.75,31.75,31.889999,5066100,30.768099
"59",32.029999,32.240002,31.17,31.35,4928900,30.247097
"60",31.4,31.51,31.08,31.23,2998400,30.131318
"61",31.23,32.5,31.23,32.16,7222500,31.0286
"62",32.060001,32.43,31.639999,32.389999,3671400,31.250509
"63",32.330002,32.73,31.98,32.139999,5301600,31.009304
"64",31.76,32.209999,31.639999,31.799999,4243800,30.863721
"65",31.860001,32.529999,31.809999,32.310001,4201500,31.358707
"66",32.169998,32.509998,32.02,32.5,4188800,31.543111
"67",32.580002,33.759998,32.580002,33.619999,9987500,32.630134
"68",33.73,34.619999,33.700001,34.009998,6895600,33.008651
"69",34,34.869999,33.810001,34.799999,7127800,33.775392
"70",34.73,34.73,34.16,34.52,5087500,33.503637
"71",34.740002,35.049999,34.560001,34.959999,3979600,33.930681
"72",35.23,35.529999,34.259998,34.610001,8794300,33.590988
"73",34.419998,34.57,33.470001,33.669998,5886500,32.678662
"74",33.5,34.130001,33.349998,33.360001,4394700,32.377791
"75",33.639999,34.110001,33.43,33.990002,5758600,32.989243
"76",33.82,34.040001,33.009998,33.259998,4143100,32.280733
"77",33.459999,33.599998,32.919998,32.939999,4014500,31.970155
"78",32.720001,33.77,32.5,33.650002,4966100,32.659254
"79",33.540001,33.720001,33.200001,33.59,3984100,32.601019
"80",33.34,33.549999,32.459999,32.619999,5176800,31.659577
"81",32.529999,32.810001,31.68,32.720001,3765700,31.756635
"82",33.27,33.740002,33.119999,33.369999,3954900,32.387495
"83",33.369999,33.439999,32.18,32.200001,4963400,31.251945
"84",32.080002,32.119999,30.110001,30.23,12995100,29.339946
"85",30.389999,31.530001,30.17,31.51,9366600,30.58226
"86",32.150002,32.439999,30.74,30.860001,7430700,29.951398
"87",30.77,31.299999,30.280001,30.49,4385600,29.592291
"88",30.48,30.559999,29.639999,29.719999,5330700,28.844961
"89",29.860001,30.780001,29.690001,30.040001,4668100,29.155541
"90",29.5,31.049999,28.799999,30.889999,7277000,29.980514
"91",30.49,31.780001,30.35,31.280001,4218300,30.359032
"92",31.620001,32.18,31.030001,31.34,4519500,30.417265
"93",31.370001,32.349998,31.370001,32.189999,3589300,31.242237
"94",32.419998,32.849998,32.259998,32.599998,3238600,31.640166
"95",32.799999,33.5,32.709999,32.84,5739900,31.873101
"96",33.139999,33.490002,32.919998,33.119999,5842500,32.144856
"97",33.369999,33.490002,32.669998,33.110001,3795400,32.135152
"98",32.959999,33.169998,32.529999,32.990002,2888000,32.018686
"99",33.029999,33.07,32.380001,32.66,4416800,31.6984
"100",32.700001,32.790001,32.110001,32.349998,2967500,31.397526
"101",32.099998,33.75,31.940001,33.619999,4943500,32.630134
"102",34.299999,34.68,33.939999,34.139999,6809900,33.134825
"103",34.139999,34.630001,33.66,34.41,4209300,33.396876
"104",34.380001,34.639999,33.990002,34.360001,2875200,33.348348
"105",34.630001,34.860001,34.009998,34.639999,4166700,33.620103
"106",34.68,35.349998,34.389999,35.209999,4707000,34.173321
"107",35.16,35.639999,34.669998,35.18,4360400,34.144205
"108",35.060001,35.650002,34.57,34.709999,3869500,33.688042
"109",34.880001,35.189999,34.599998,34.830002,3705100,33.804512
"110",34.84,35.5,34.580002,35.200001,3494600,34.163617
"111",35.459999,35.599998,35.049999,35.490002,4115300,34.445079
"112",35.540001,35.75,35.150002,35.490002,3062600,34.445079
"113",35.66,35.959999,35.16,35.290001,4881500,34.250967
"114",35.220001,35.439999,34.369999,34.900002,6418400,33.87245
"115",35.200001,36.349998,34.900002,35.540001,13691800,34.493606
"116",38.540001,38.689999,37.02,38.02,26040300,36.900588
"117",38.669998,38.82,37.98,38.029999,8816500,36.910292
"118",38.279999,39.02,38.02,38.900002,7393100,37.754679
"119",39,39.419998,38.380001,38.41,7597000,37.279105
"120",38.41,38.779999,38.380001,38.75,5010900,37.609094
