"","ESRX.Open","ESRX.High","ESRX.Low","ESRX.Close","ESRX.Volume","ESRX.Adjusted"
"1",71.370003,71.75,71.150002,71.650002,3151700,71.650002
"2",71.540001,71.75,71.209999,71.559998,3925300,71.559998
"3",71.190002,71.720001,71.059998,71.57,4936300,71.57
"4",71.809998,71.809998,70.849998,71.589996,5112600,71.589996
"5",71.010002,71.669998,70.68,70.739998,3761200,70.739998
"6",70.629997,70.639999,69.82,69.849998,5247200,69.849998
"7",68.919998,69.120003,67.639999,68.290001,9767500,68.290001
"8",68.650002,68.660004,68.110001,68.540001,9579100,68.540001
"9",68.900002,68.949997,68.440002,68.739998,5715100,68.739998
"10",68.639999,68.739998,68.029999,68.650002,4439500,68.650002
"11",68.720001,69.129997,68.360001,68.480003,2881000,68.480003
"12",68.889999,69.379997,68.559998,69.139999,4306800,69.139999
"13",69.080002,69.25,68.660004,68.839996,3494900,68.839996
"14",69.099998,69.639999,68.440002,69.599998,3774200,69.599998
"15",69.370003,69.470001,68.760002,69.330002,4135000,69.330002
"16",69.919998,69.919998,69.010002,69.07,3418500,69.07
"17",69,69.080002,68.540001,69.010002,3274000,69.010002
"18",69.339996,69.639999,69,69.43,2045100,69.43
"19",69.440002,69.480003,68.580002,69.110001,2593500,69.110001
"20",68.889999,69.029999,67.379997,67.620003,5320200,67.620003
"21",68.040001,68.040001,67.199997,67.809998,4819000,67.809998
"22",67.43,68.190002,67.300003,67.709999,3743800,67.709999
"23",67.75,67.900002,67.199997,67.800003,2583500,67.800003
"24",68.050003,68.349998,67.809998,67.900002,3813900,67.900002
"25",68,68.599998,67.800003,68.07,4899700,68.07
"26",68.209999,68.480003,65.559998,65.940002,12674300,65.940002
"27",65.989998,66.419998,65.5,65.599998,6413600,65.599998
"28",66.059998,66.059998,65.370003,66,4569800,66
"29",65.800003,65.970001,65.610001,65.739998,3681600,65.739998
"30",65.980003,66.779999,65.720001,66.639999,5135600,66.639999
"31",66,66.230003,65.080002,66.019997,6645600,66.019997
"32",66.169998,66.849998,65.970001,66.519997,7123500,66.519997
"33",66.150002,66.379997,65.470001,66.349998,4357200,66.349998
"34",66.75,66.989998,65.779999,65.900002,10016600,65.900002
"35",66,67.949997,65.93,67.279999,7197200,67.279999
"36",69.760002,71.730003,69.279999,70.610001,11250500,70.610001
"37",70.110001,70.5,69.5,69.650002,5340700,69.650002
