"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted"
"1",41.029999,41.16,40.860001,41.110001,15117700,40.051585
"2",40.93,41.07,40.77,40.860001,18040000,39.808022
"3",40.810001,40.880001,40.290001,40.580002,29818900,39.535232
"4",41.099998,41.57,40.860001,41.23,26310000,40.168495
"5",41.040001,41.610001,41.040001,41.5,24205300,40.431544
"6",41.290001,41.91,40.34,41.68,22518600,40.60691
"7",41.610001,41.740002,41.18,41.650002,27097000,40.577684
"8",41.57,41.77,41.330002,41.509998,19828200,40.441285
"9",41.450001,41.830002,41.380001,41.68,47764900,40.60691
"10",41.73,42,41.689999,41.990002,18743900,40.90893
"11",41.830002,41.939999,41.560001,41.75,26509100,40.675107
"12",41.700001,42.049999,41.459999,42.029999,20049100,40.947897
"13",41.93,41.939999,41.43,41.720001,23604400,40.645881
"14",41.610001,42.290001,41.509998,42.25,74640000,41.162235
"15",42.169998,42.209999,41.700001,41.700001,30805500,40.626396
"16",41.860001,42.150002,41.689999,41.869999,26917000,40.792017
"17",41.73,41.900002,41.529999,41.900002,20208100,40.821247
"18",41.91,41.990002,41.560001,41.799999,15969300,40.723819
"19",41.75,42.119999,41.709999,41.990002,21952400,40.90893
"20",41.869999,42,41.610001,41.779999,31218200,40.704334
"21",41.98,41.990002,41.529999,41.669998,18445900,40.597165
"22",41.369999,42,41.049999,41.689999,21854700,40.616651
"23",41.700001,42.09,41.48,42.09,24083000,41.006354
"24",42.220001,42.450001,42.040001,42.139999,21881100,41.055066
"25",42.330002,42.470001,42.029999,42.450001,28748700,41.357086
"26",42.509998,44.310001,42.48,44.080002,63318000,42.945121
"27",45.450001,45.709999,44.25,44.529999,82180300,43.383533
"28",44.650002,44.84,44.25,44.689999,43407500,43.539413
"29",44.560001,45.16,44.220001,44.84,37604400,43.685553
"30",45,45.150002,44.59,44.830002,43095800,43.675812
"31",45.450001,45.450001,44.619999,44.869999,52362900,43.714779
"32",44.93,45,44.32,44.400002,30725300,43.256882
"33",44.299999,44.66,44.299999,44.5,26737700,43.354306
"34",44.360001,44.509998,43.93,43.970001,29684200,42.837953
"35",43.91,44.09,43.639999,43.889999,27763100,42.760011
"36",44.07,44.099998,43.290001,43.580002,31921400,42.457994
"37",43.380001,43.689999,43.080002,43.16,31537500,42.048806
"38",43.209999,43.25,42.599998,42.860001,31170300,41.75653
"39",42.970001,43.470001,42.810001,43.369999,34277400,42.253398
"40",43.310001,43.459999,42.830002,43.080002,26266400,41.970867
"41",42.740002,43.169998,42.209999,42.740002,24634000,41.639621
"42",42.84,43.450001,42.650002,43.23,30314900,42.117003
"43",43.23,43.32,42.91,43.200001,28942700,42.087777
"44",43.259998,43.450001,43.02,43.200001,20351600,42.087777
"45",43.040001,43.59,43,43.52,21431100,42.399538
