"","CME.Open","CME.High","CME.Low","CME.Close","CME.Volume","CME.Adjusted"
"1",69.970001,70.120003,69.400002,70.029999,1327500,67.036538
"2",69.870003,70.550003,69.650002,70.459999,1554300,67.448157
"3",70.379997,71.169998,70.139999,70.889999,1463200,67.859777
"4",70.989998,71.769997,70.830002,71.449997,1514000,68.395837
"5",71.459999,71.599998,70.300003,70.900002,1547700,67.869352
"6",70.779999,72.309998,70.480003,72.120003,1662000,69.037204
"7",72.059998,72.489998,71.43,72.279999,1305700,69.19036
"8",72.160004,72.279999,70.760002,71.730003,1398900,68.663875
"9",72.120003,72.129997,71.290001,71.75,1771000,68.683017
"10",71.650002,72.279999,71.389999,72.190002,788400,69.104211
"11",71.879997,72,70.529999,70.769997,1229000,67.744904
"12",70.910004,71.489998,70.529999,70.68,1074100,67.658755
"13",70.529999,70.650002,69.860001,70.5,785700,67.486448
"14",70.300003,70.639999,70.089996,70.419998,1089900,67.409866
"15",70.849998,71.699997,70.559998,70.949997,1542300,67.91721
"16",70.980003,71.309998,70.75,70.989998,1378600,67.955501
"17",70.769997,71.18,70.610001,71.059998,1085000,68.022509
"18",71.349998,72.459999,71.260002,72.360001,765400,69.266943
"19",72.239998,72.279999,71.709999,72.139999,921700,69.056345
"20",72.089996,72.220001,70.779999,71.050003,1346300,68.012941
"21",71.279999,71.629997,70.449997,71.580002,3081700,68.520285
"22",70.599998,70.809998,70.059998,70.129997,1372600,67.132262
"23",69.940002,70.589996,69.739998,70.489998,1400100,67.476874
"24",71.349998,71.519997,70.830002,71.279999,823100,68.233106
"25",71.32,71.760002,71,71.279999,808800,68.233106
"26",71.339996,71.580002,70.68,71.019997,843300,67.984218
"27",70.540001,71.459999,70.540001,71.129997,1295400,68.089516
"28",71.459999,72.949997,71.089996,72.459999,1375900,69.362667
"29",72.209999,73.459999,71.879997,73.379997,1603900,70.243339
"30",73.459999,74.760002,73.459999,74.57,1335300,71.382474
"31",74.540001,75.099998,73.769997,74.879997,1835000,71.679221
"32",74.900002,75.889999,74.790001,75.360001,1687700,72.138706
"33",75.029999,75.589996,74.5,75.050003,1702700,71.84196
"34",75.150002,75.449997,74.150002,75.139999,1176600,71.928109
"35",75.110001,75.900002,74.959999,75.5,1419700,72.272721
"36",75.900002,76.220001,75.230003,75.830002,1524900,72.588617
"37",74.5,75.489998,73.599998,73.940002,2198700,70.779407
"38",73.709999,74.68,73.349998,74.18,1692100,71.009146
"39",74.330002,74.400002,73.709999,74.169998,1793400,70.999571
"40",73.900002,74.120003,73.220001,73.650002,1974300,70.501802
"41",73.550003,74.480003,73.440002,73.589996,1524800,70.444362
"42",74.050003,74.050003,73.019997,73.220001,1617500,70.090182
"43",73.5,73.620003,72.910004,73.349998,2550800,70.214623
"44",73.690002,73.93,73.279999,73.370003,1325000,70.233772
"45",73.25,73.529999,72.949997,73.209999,1712100,70.080608
"46",72.25,73.699997,72.25,73.540001,1622500,70.396503
"47",73.540001,73.75,73.360001,73.589996,923500,70.444362
"48",73.949997,73.949997,72.889999,73.360001,1307400,70.224197
"49",73.940002,74.32,73.690002,73.809998,1088700,70.654959
"50",73.980003,73.980003,73.169998,73.510002,965100,70.367787
"51",73.410004,74.239998,73.370003,74.169998,874000,70.999571
"52",74.080002,74.699997,73.849998,74.639999,1066500,71.449482
"53",74.459999,75.190002,74.220001,74.860001,958800,71.660079
"54",75.330002,75.989998,74.940002,75.650002,983900,72.416311
"55",75.370003,76.690002,75.370003,76.360001,1177600,73.095961
"56",76.260002,76.550003,75.989998,76.459999,933200,73.191685
"57",75.940002,76.690002,75.93,76.580002,1042400,73.306558
"58",76.879997,77.419998,76.5,76.550003,1084900,73.277842
"59",76.580002,77.099998,76.400002,76.75,1255000,73.46929
"60",77.029999,77.199997,76,76.519997,927700,73.249118
"61",76.669998,77.019997,76.25,76.610001,1169200,73.335275
"62",76.529999,76.550003,75.849998,76.449997,1345800,73.18211
"63",76.019997,76.309998,75.629997,75.940002,1020000,73.143589
"64",75.919998,76.150002,75.389999,75.68,895400,72.893161
"65",75.889999,76.279999,75.300003,76.010002,1157200,73.211011
"66",75.910004,77.599998,75.910004,77.519997,1514200,74.665401
"67",77.529999,79.360001,77.519997,79.330002,2321600,76.408755
"68",79,80.160004,78.879997,79.82,1880900,76.880709
"69",79.639999,80.419998,79.18,79.870003,1435600,76.928871
"70",79.75,81.019997,79.459999,80.690002,1933200,77.718675
"71",80.339996,83.610001,80.110001,82.959999,3067400,79.905081
"72",83.660004,83.660004,82.139999,82.839996,2227200,79.789497
"73",82.669998,83.150002,82.18,82.57,1520400,79.529443
"74",82.540001,83,81.110001,81.129997,1652100,78.142467
"75",81.129997,81.589996,80.800003,81.279999,1185100,78.286945
"76",80.959999,81.230003,78.980003,79.199997,2158200,76.283537
"77",79.739998,80.160004,78.720001,80.029999,1852500,77.082975
"78",79.300003,79.919998,78.919998,79.5,1544200,76.572493
"79",79.57,80.239998,79.389999,79.959999,1983200,77.015553
"80",79.959999,80.010002,79.230003,79.400002,2005100,76.476177
"81",79.730003,80.940002,79.620003,80.419998,2299600,77.458613
"82",79.760002,81.349998,79.760002,80.949997,1683100,77.969095
"83",81.290001,81.75,80.910004,81.349998,1909800,78.354367
"84",80.940002,81.309998,79.720001,79.75,1715500,76.813287
"85",79.919998,81.199997,79.709999,81.160004,3011600,78.171369
"86",80.93,81.5,80.370003,80.980003,1755100,77.997997
"87",81.110001,82.620003,80.940002,81.610001,1683200,78.604795
"88",80.82,81.330002,78.870003,79.010002,1980100,76.100539
"89",79.669998,80.580002,79.519997,79.849998,1549600,76.909603
"90",79.059998,80.57,75.940002,79.309998,3139700,76.389487
"91",77.989998,79.760002,77.559998,79.129997,1824400,76.216115
"92",79.57,80.029999,77.779999,78.260002,2333600,75.378157
"93",78.330002,79.650002,77.82,79.389999,1336600,76.466543
"94",80.019997,80.059998,79.440002,80.040001,1096700,77.092609
"95",80.25,80.300003,79.290001,79.489998,1071700,76.562859
"96",80.330002,81.669998,79.980003,81.199997,1388000,78.209889
"97",81.059998,82.419998,81.019997,82.309998,1063400,79.279015
"98",82.220001,82.790001,81.730003,81.980003,1129600,78.961173
"99",82.050003,82.43,80.75,81.330002,1750500,78.335107
"100",81.139999,82.099998,80.82,81.830002,1516900,78.816695
"101",81.550003,82.160004,80.610001,81.559998,1631200,78.556633
"102",82.75,83.879997,82.32,83.809998,2979800,80.723779
"103",84.110001,85,83.830002,84.790001,1832800,81.667695
"104",84.68,85.379997,84.589996,85.269997,1734100,82.130015
"105",85.730003,86.18,85.25,85.769997,1521100,82.611603
"106",85.699997,86.400002,85.489998,86.269997,969100,83.093191
"107",86.080002,86.400002,85.07,85.599998,939200,82.447865
"108",85.599998,86.040001,85.019997,85.949997,1041500,82.784975
"109",86,86.389999,85.610001,86.290001,752300,83.112459
"110",86.07,86.279999,85.489998,85.599998,1062700,82.447865
"111",85.949997,86.139999,84.870003,85.139999,1282300,82.004805
"112",85.190002,85.510002,84.709999,84.82,1277300,81.696589
"113",84.610001,84.849998,83.849998,84.089996,1327800,80.993467
"114",84.389999,84.449997,83.339996,83.709999,1467300,80.627463
"115",83.510002,84.019997,82.720001,83.779999,1510600,80.694885
"116",83.190002,84,82.510002,83.589996,1300900,80.511879
"117",84.580002,84.580002,82.830002,83.139999,1159800,80.078453
"118",83.559998,84.190002,83.029999,83.360001,998600,80.290353
"119",83.010002,84,83,83.529999,1856900,80.454091
"120",83.599998,83.839996,83.290001,83.690002,1093600,80.608203
"121",84.120003,84.910004,83.849998,84.639999,1370000,81.523217
"122",84.589996,84.830002,84.010002,84.610001,1398900,81.494323
"123",84.650002,85.639999,84.370003,85.610001,1706100,82.457499
"124",85.389999,86.800003,85.089996,86.739998,1420000,83.545885
"125",86.43,87.260002,86.239998,87.239998,1315000,84.027473
"126",87.650002,88.879997,87.480003,88.739998,2018700,85.472237
"127",87.959999,89.489998,87.589996,88.93,1922200,86.111321
"128",88.040001,88.639999,86.980003,88.580002,1085100,85.772416
"129",88.220001,89.529999,88,89.029999,2210700,86.20815
"130",89.519997,89.989998,88.339996,88.480003,1902900,85.675587
"131",87.82,88.379997,87.040001,87.080002,1427200,84.319959
"132",87.669998,88.169998,87,87.940002,1758100,85.152701
"133",87.5,88.43,86.82,87.5,1722100,84.726645
"134",87.699997,89.989998,87.559998,89.940002,1969000,87.08931
"135",90.059998,92.300003,90.029999,92.279999,2187100,89.355139
"136",91.93,93.040001,91.93,92.360001,2746200,89.432606
"137",92.269997,93.040001,92,92.910004,1680300,89.965176
"138",93.199997,93.910004,92.629997,92.720001,1443500,89.781196
"139",91,91.349998,90.150002,90.580002,908700,89.642646
"140",91.040001,91.349998,90.32,90.389999,716800,89.454609
"141",90.019997,90.959999,89.639999,90.18,889200,89.246783
"142",89.959999,90.199997,89.68,89.849998,782900,88.920197
"143",90.089996,90.290001,88.639999,88.650002,863400,87.732618
