"","PNC.Open","PNC.High","PNC.Low","PNC.Close","PNC.Volume","PNC.Adjusted"
"1",88.089996,88.5,87.75,88.419998,1175900,86.464891
"2",87.940002,88.43,87.800003,88.029999,1428000,86.083515
"3",87.269997,87.860001,86.839996,87.349998,2910400,85.418551
"4",87.379997,88.260002,87.190002,87.809998,1930700,85.868378
"5",87.650002,87.889999,87.260002,87.690002,2129400,85.751037
"6",87.669998,88.720001,85.879997,88.360001,1762200,86.40622
"7",88.32,88.720001,87.760002,88.629997,2047800,86.670247
"8",88.68,88.82,88.260002,88.550003,1266600,86.592021
"9",88.980003,89.610001,88.730003,89.419998,2576200,87.442779
"10",89.580002,89.849998,89.010002,89.339996,1287300,87.364547
"11",89.139999,89.800003,88.550003,88.599998,1287400,86.640911
"12",88.709999,89.029999,87.809998,88.739998,1506000,86.777815
"13",88.57,88.82,87.82,88.68,1010700,86.719144
"14",88.550003,89.349998,88.519997,89.309998,1653400,87.335211
"15",88.989998,89.589996,88.870003,89.050003,1645300,87.080965
"16",89.440002,89.959999,89.099998,89.360001,1540500,87.384108
"17",89.220001,89.629997,88.839996,88.949997,1394100,86.983171
"18",89.519997,90,89.349998,89.970001,977700,87.980621
"19",88.18,89.769997,88.18,89.07,2064600,87.10052
"20",88.93,88.970001,87.900002,88.050003,2617800,86.103077
"21",88.339996,88.470001,87.949997,88.260002,1944000,86.308433
"22",87.239998,87.580002,86.839996,87.449997,2532500,85.516338
"23",86.849998,87.510002,86.550003,87.330002,1678200,85.870323
"24",88,88.349998,87,87.120003,2443600,85.663834
"25",87.82,88.510002,87.519997,88.239998,3119800,86.765109
"26",86.379997,87.190002,84.519997,85.18,6052800,83.756258
"27",84.150002,84.470001,83.18,83.339996,4156500,81.947009
"28",83.919998,84.169998,83.160004,83.879997,3002600,82.477984
"29",83.410004,84.019997,83.029999,83.879997,2935000,82.477984
"30",84.139999,84.470001,83.610001,83.68,2560600,82.28133
"31",83.800003,84.18,83.519997,83.970001,1858600,82.566484
"32",83.93,84.709999,83.93,84.57,2142600,83.156453
"33",84.379997,84.919998,84.239998,84.82,2108800,83.402275
"34",84.5,84.779999,83.790001,83.860001,1999600,82.458322
"35",83.910004,84.07,83.449997,83.459999,3014800,82.065006
"36",84.050003,84.470001,83.5,84.110001,2072500,82.704143
"37",83.699997,84,82.550003,82.559998,2776900,81.180047
"38",82.540001,82.949997,81.610001,82.010002,2569100,80.639245
"39",82.339996,82.5,81.669998,82.300003,1999100,80.924399
"40",80.629997,82.489998,80.43,81.849998,3193700,80.481916
"41",81.620003,82.349998,81.410004,81.529999,2397900,80.167265
"42",81.970001,82.199997,81.089996,81.230003,2365200,79.872283
"43",81.330002,81.760002,81,81.720001,1711200,80.354091
"44",82.089996,82.169998,81.559998,81.699997,1526700,80.334421
"45",81.589996,82.400002,81.470001,81.800003,1666200,80.432756
"46",82.269997,82.839996,81.959999,82.25,2629000,80.875231
"47",82.199997,82.830002,82.080002,82.25,1543600,80.875231
"48",82.550003,82.800003,81.400002,82.040001,2220000,80.668742
"49",82.370003,82.970001,82.370003,82.900002,1784700,81.514368
"50",83.099998,83.489998,82.809998,82.980003,1368400,81.593033
"51",82.849998,83.599998,82.68,83.529999,1458700,82.133836
"52",83.559998,84.769997,83.400002,84.550003,2018600,83.136791
"53",84.309998,84.959999,84.239998,84.349998,1669900,82.940129
"54",84.989998,85.620003,84.980003,85.129997,1480100,83.707091
"55",85.239998,85.550003,85.019997,85.110001,1384200,83.687428
"56",85.300003,85.389999,84.760002,84.940002,2243300,83.520272
"57",84.57,84.839996,84.239998,84.540001,1514900,83.126956
"58",85.019997,85.019997,84.519997,84.75,1383600,83.333445
"59",84.75,85.269997,84.360001,85.199997,2043900,83.77592
"60",85.669998,86,84.959999,85.160004,1470800,83.736596
"61",85.150002,85.800003,84.82,85.099998,1490600,83.677593
"62",84.839996,85.379997,84.440002,85.349998,1850700,83.923415
"63",85.300003,85.730003,85.019997,85.470001,1542500,84.041412
"64",85.120003,85.190002,84.489998,84.809998,1525500,83.39244
"65",84.68,85.790001,84.68,85.75,1717100,84.31673
"66",85.529999,86.029999,85.360001,85.769997,1351100,84.336393
"67",85.839996,86.629997,85.75,86.220001,1637200,84.778876
"68",86.5,86.5,85.839996,86.300003,2151700,84.857541
"69",86.290001,86.75,86,86.510002,1331700,85.06403
"70",86.519997,87.580002,86.190002,87.18,2185700,85.722829
"71",87.769997,88.459999,87.620003,87.940002,1806000,86.470128
"72",88.400002,88.800003,87.709999,87.889999,3861200,86.420961
"73",87.760002,88.220001,87.120003,87.279999,1909200,85.821156
"74",87.209999,87.470001,86,86,3095200,84.562552
"75",86.099998,86.709999,85.879997,86.669998,1874900,85.221351
"76",86.589996,86.629997,85.449997,85.459999,2362900,84.031577
"77",85.410004,86.040001,85.330002,85.879997,1366400,84.444555
"78",85.019997,85.879997,85.019997,85.690002,1694800,84.257736
"79",85.940002,86.349998,85.400002,85.580002,2491800,84.149574
"80",85.580002,85.699997,84.309998,84.580002,2398700,83.166288
"81",84.080002,84.43,83.150002,84.209999,2654700,82.80247
"82",84.860001,85.489998,84.809998,85.010002,2458500,83.589101
"83",85.470001,85.879997,84.989998,85.010002,2246400,83.589101
"84",84.519997,84.730003,83.239998,83.260002,2260300,81.868352
"85",83.279999,84.900002,83.269997,84.830002,1878700,83.41211
"86",84.889999,84.949997,82.889999,83.019997,2936200,81.632358
"87",82.769997,83.540001,81.690002,81.730003,2933800,80.831272
"88",81.949997,82.610001,81,81.050003,2259900,80.15875
"89",81.18,82.25,81.080002,81.589996,3686000,80.692805
"90",80.940002,81.389999,77.129997,78,7995000,77.142285
"91",76.720001,79.279999,76.690002,78.870003,4814900,78.002721
"92",79.519997,80.190002,78.980003,79.769997,3683400,78.892819
"93",79.279999,79.970001,79.160004,79.639999,2416800,78.764251
"94",80.129997,81.290001,80.110001,81.160004,2506400,80.267541
"95",81.269997,82.279999,80.970001,81.019997,2275400,80.129073
"96",81.730003,82.25,81.400002,81.559998,1849600,80.663136
"97",81.690002,82.610001,81.32,82.519997,1641600,81.612579
"98",82.790001,82.93,82.099998,82.860001,1470800,81.948844
"99",82.989998,84.089996,82.910004,84.089996,1510600,83.165314
"100",83.949997,84.949997,83.699997,84.800003,2135500,83.867513
"101",84.790001,85.739998,84.220001,85.419998,1485700,84.480691
"102",86.019997,86.639999,86.019997,86.389999,2261800,85.440025
"103",86.709999,86.940002,86.260002,86.540001,1432700,85.588377
"104",86.720001,86.980003,86.120003,86.949997,1449400,85.993865
"105",87.449997,87.699997,87.029999,87.639999,1409100,86.67628
"106",87.489998,88.389999,87.440002,88.379997,1568600,87.408141
"107",88.099998,88.849998,87.870003,88.449997,1660300,87.477371
"108",88.120003,88.730003,88.120003,88.68,1541200,87.704845
"109",88.800003,88.839996,88.110001,88.239998,1565300,87.269681
"110",87.620003,88.190002,87.599998,88.040001,1943800,87.071883
"111",88.089996,88.169998,87.440002,87.830002,1561700,86.864193
"112",87.57,87.980003,87.209999,87.410004,1341100,86.448813
