"","SLB.Open","SLB.High","SLB.Low","SLB.Close","SLB.Volume","SLB.Adjusted"
"1",106.209999,107.209999,106.129997,106.529999,4148000,104.457519
"2",106.260002,107.010002,106,106.540001,3199100,104.467327
"3",106.839996,108.080002,106.139999,106.330002,5847600,104.261413
"4",106.900002,108.269997,106.019997,108.25,4749000,106.144059
"5",107.800003,107.879997,106.629997,107.050003,4126700,104.967407
"6",106.660004,107.190002,106.010002,106.099998,4321500,104.035885
"7",106.089996,107.169998,105.440002,107.080002,6129400,104.996823
"8",107.150002,107.989998,106.769997,107.599998,5892900,105.506703
"9",108.040001,109.75,107.849998,108.830002,8860300,106.712777
"10",109.290001,109.419998,108.419998,108.900002,4284100,106.781415
"11",108.849998,109.5,106.779999,106.980003,5762000,104.898769
"12",106.849998,114.440002,106.849998,113.849998,17541800,111.635113
"13",114.919998,117.559998,114.699997,116.120003,14230400,113.860955
"14",115.940002,117.800003,115.25,117.800003,7830900,115.508272
"15",117.489998,118.129997,117.029999,117.949997,6529400,115.655348
"16",118.300003,118.760002,117.349998,117.849998,6644900,115.557295
"17",117.980003,118.25,117.190002,117.730003,4321100,115.439634
"18",117.739998,117.940002,116.379997,117.5,3574000,115.214106
"19",117.339996,117.629997,116.709999,117.43,4887400,115.145468
"20",117.050003,117.349998,116.239998,116.75,6460900,114.478697
"21",117.269997,117.32,116.139999,116.959999,6769500,114.68461
"22",115.839996,116.379997,114.800003,115.400002,5112800,113.154961
"23",115.309998,115.459999,114.129997,114.699997,4831900,112.468575
"24",114.82,116.059998,114.730003,115.940002,5160000,113.684457
"25",114.449997,115.760002,113.550003,114.459999,6472400,112.233246
"26",115,115.900002,114.309998,115.879997,5303200,113.625619
"27",115.650002,115.650002,114,114.639999,5348000,112.409745
"28",113.5,113.650002,110.769997,112.360001,9057900,110.174102
"29",112.379997,113.970001,112.360001,113.040001,4427800,110.840873
"30",113.739998,114.150002,113.260002,113.410004,4174100,111.203678
"31",113.589996,113.589996,111.93,112.110001,4745400,109.928966
"32",112.300003,113.290001,112.220001,113.099998,4750600,110.899704
"33",112.75,112.900002,111.669998,111.779999,5837300,109.605384
"34",111.93,112.269997,110.900002,111.889999,4811000,109.713244
"35",112.199997,112.610001,111.120003,111.120003,3981800,108.958228
"36",111.529999,111.970001,109.860001,110.269997,5750400,108.124758
"37",109.580002,109.93,107.940002,108.389999,7561900,106.281335
"38",107.860001,109.089996,106.839996,107.949997,6045800,105.849892
"39",108.040001,110.050003,107.519997,109.669998,5759800,107.536432
"40",108.889999,108.970001,106.349998,107.080002,6946200,104.996823
"41",106.440002,108.900002,106.300003,107.57,5352900,105.477288
"42",107.970001,108.620003,106.599998,107.010002,4653100,104.928185
"43",107.25,108.480003,107.199997,108.379997,4168900,106.271527
"44",108.970001,110.349998,108.519997,109.209999,5354100,107.085382
"45",108.949997,109.309998,107.519997,107.870003,4625000,105.771454
"46",108.690002,109.239998,107.419998,107.620003,4294700,105.526318
"47",107.959999,108.410004,105.550003,105.910004,5857600,103.849586
"48",106.300003,106.879997,105.389999,106.529999,5322500,104.457519
"49",109.260002,109.489998,107.540001,108.139999,7806500,106.036198
"50",109.07,109.650002,108.370003,109.419998,6228900,107.291296
"51",109.860001,110.029999,108.709999,109.849998,4627300,107.712931
