"","ESV.Open","ESV.High","ESV.Low","ESV.Close","ESV.Volume","ESV.Adjusted"
"1",52.060001,52.68,52.040001,52.470001,2161400,49.884446
"2",52.27,52.27,51.799999,52.07,1741400,49.504155
"3",52.400002,52.939999,52.310001,52.93,2236800,50.321778
"4",53.130001,53.299999,52.790001,53.290001,2013100,50.664039
"5",53.299999,53.869999,53,53.759998,2332900,51.110876
"6",53.689999,54.220001,53.389999,54,2422900,51.339051
"7",54.189999,54.349998,53.66,54.25,2713900,51.576732
"8",54.099998,54.240002,53.450001,54.23,2110600,51.557717
"9",54.400002,55.419998,54.380001,55.080002,4158900,52.365834
"10",55.139999,55.889999,55.099998,55.619999,2870600,52.879222
"11",55.48,55.619999,54.990002,55.02,3792900,52.308789
"12",54.900002,55.349998,54.529999,55,2895000,52.289774
"13",54.740002,54.959999,54,54.610001,1991900,51.918993
"14",54.52,55.349998,54.310001,55.349998,1986900,52.622526
"15",55.240002,55.849998,55,55.57,1802000,52.831686
"16",55.549999,55.740002,54.68,54.73,2100600,52.033079
"17",54.830002,55.099998,54.150002,54.459999,2529700,51.776383
"18",54.740002,54.939999,54.130001,54.619999,1091900,51.928499
"19",54.5,54.560001,53.619999,53.799999,1905800,51.148906
"20",53.759998,53.900002,53.02,53.779999,2278100,51.129891
"21",53.830002,54.099998,53.549999,53.950001,1500500,51.291516
"22",53.389999,53.700001,52.790001,53.549999,2355600,50.911225
"23",53.34,53.549999,52.93,53.27,2236700,50.645024
"24",53.540001,54.119999,53.450001,54.080002,2020400,51.415111
"25",54.16,54.73,53.709999,54.560001,2777900,51.871458
"26",54.330002,54.849998,53.900002,54.810001,2536300,52.109138
"27",54.810001,54.950001,54,54.09,1839700,51.424616
"28",54.259998,54.259998,53.529999,53.709999,1972900,51.063341
"29",53.630001,53.970001,53.200001,53.93,1188300,51.272501
"30",54.27,54.560001,53.950001,54,1549000,51.339051
"31",54.209999,54.209999,53.43,54.049999,1447300,51.386587
"32",54.040001,54.049999,52.970001,53.169998,2394500,50.549949
"33",53.02,53.52,52.959999,53.25,1613500,50.626009
"34",53.200001,53.200001,52.130001,52.5,1939800,49.912966
"35",52.540001,52.599998,52.209999,52.220001,2135200,49.646765
"36",52.450001,52.490002,51.279999,52.110001,3919300,49.542185
"37",51.150002,51.299999,50,50.650002,6244400,48.15413
"38",50.470001,51.299999,50.16,50.93,3987300,48.420331
"39",50.389999,50.599998,49.98,50.529999,3879900,48.040041
"40",50.18,50.619999,49.09,49.459999,4204700,47.022767
"41",49.299999,49.709999,48.419998,48.509998,4797300,46.119579
"42",48.84,49.060001,48.139999,48.439999,4295000,46.053029
"43",48.650002,49.169998,48.099998,49.150002,4226900,46.728045
"44",49.139999,49.84,48.84,49.580002,3508600,47.136857
"45",49.610001,49.740002,48.84,48.860001,2346500,46.452335
"46",49,49.25,48.200001,48.360001,2617100,45.976973
"47",48.560001,48.830002,48.049999,48.139999,2219300,45.767813
"48",48.299999,48.849998,48.099998,48.799999,2842400,46.39529
"49",49.02,49.16,48.740002,49,2162600,46.585435
"50",49.040001,49.59,48.830002,49.349998,2278100,46.918187
"51",49.27,50.650002,49.110001,50.490002,3640500,48.002015
"52",50.419998,50.5,50.080002,50.490002,2476300,48.002015
"53",50.299999,50.5,49.77,50.009998,2432100,47.545664
"54",50.099998,50.220001,49.669998,49.77,1592200,47.317493
"55",49.950001,50.380001,49.900002,50.099998,2721200,47.631229
"56",49.939999,50.290001,49.610001,49.950001,2042800,47.488623
"57",49.900002,49.970001,49.700001,49.75,1383400,47.298478
"58",49.93,50.490002,49.639999,50.48,2487700,47.992505
"59",50.259998,50.310001,48.82,48.93,3191300,46.518885
