"","MPC.Open","MPC.High","MPC.Low","MPC.Close","MPC.Volume","MPC.Adjusted"
"1",87.5,87.550003,85.160004,85.690002,8261200,41.961183
"2",85.099998,85.900002,85.010002,85.690002,4279000,41.961183
"3",86.110001,86.839996,84.849998,86.650002,8324400,42.431281
"4",86.809998,87.160004,86.150002,86.419998,4127400,42.318651
"5",86.389999,86.699997,85.739998,85.870003,3916200,42.049326
"6",85.739998,86.669998,84.830002,86.580002,7714600,42.397003
"7",86.639999,88.879997,85.779999,88.639999,6750000,43.405755
"8",88.970001,89.75,88.760002,89.620003,5882600,43.885648
"9",89.970001,90.209999,88.989998,89.610001,7134000,43.880751
"10",89.800003,90.160004,88.75,88.980003,3866200,43.57225
"11",89.059998,89.370003,86.309998,86.449997,6239800,42.333341
"12",80.75,82.099998,77.959999,80.970001,27575000,39.649865
"13",80.650002,81.639999,80.089996,80.93,9658200,39.630277
"14",81.029999,81.25,79.160004,79.400002,14643600,38.881058
"15",79.349998,79.519997,77.940002,78.07,7769600,38.229775
"16",78.269997,78.970001,77.870003,78.610001,5785400,38.494206
"17",78.260002,80.339996,78.190002,79.879997,6280200,39.116105
"18",80.010002,81,79.529999,80.900002,4323400,39.615587
"19",80.440002,81,79.080002,79.470001,5309400,38.915336
"20",79.580002,79.669998,77.800003,77.830002,6528800,38.112252
"21",78.080002,78.620003,77.18,78.089996,5026800,38.239567
"22",77.279999,77.889999,76.720001,77.410004,6558600,37.906584
"23",78.720001,79.57,77.93,78.860001,5679600,38.616627
"24",79.220001,79.290001,77.769997,78.080002,4876800,38.234673
"25",77.459999,79.639999,77.25,79.019997,6494600,38.694975
"26",79.230003,79.669998,78,78.43,5106600,38.406062
"27",78.019997,78.550003,76.650002,76.75,5251400,37.58339
"28",77.32,77.669998,76.779999,76.910004,5385800,37.661742
"29",77.050003,77.169998,75.849998,75.93,5123200,37.181848
"30",76.379997,77,75.68,75.790001,5201600,37.113292
"31",76.290001,77.32,75.870003,76.610001,4275000,37.514834
"32",76.82,78.230003,76.75,77.43,5539800,37.916377
"33",77.5,78.669998,77.160004,78.580002,6114600,38.479516
"34",78.830002,79.349998,77.639999,77.790001,5551600,38.092664
"35",78.510002,80.489998,78.360001,79.629997,8096600,38.993684
"36",79.580002,80.129997,78.459999,78.980003,6335200,38.675391
"37",81.360001,84.980003,81.279999,83.480003,15821400,40.878978
"38",83.690002,86.089996,82.830002,83.57,13103200,40.923047
"39",83.5,84.879997,82.790001,84.470001,6394000,41.363765
"40",83.540001,85.800003,83.279999,85.029999,7867000,41.637988
"41",84.669998,87.32,84.669998,86.75,7819200,42.480249
"42",87.099998,87.559998,85.650002,86.5,4041200,42.357827
"43",86.839996,87.699997,86.190002,87.5,3274400,42.847513
"44",87.940002,88.339996,86.889999,87.089996,3574400,42.64674
"45",87,87.489998,86.07,86.57,3156600,42.392105
"46",87.019997,87.75,85.68,87.43,4500000,42.813235
"47",87.75,89.309998,87.57,88.910004,4561600,43.537972
"48",89.239998,89.459999,87.970001,89.080002,6883400,43.621218
"49",88.620003,90.160004,88.620003,90.089996,5004400,44.364813
"50",90.080002,91.75,90.029999,91.599998,4185800,45.108414
"51",91.309998,91.93,90.75,91.300003,3996000,44.960681
"52",91.400002,91.400002,89.919998,90.059998,4766000,44.35004
"53",90.110001,90.690002,89.330002,90.43,4416400,44.532248
"54",90.599998,91.120003,90.25,90.589996,3758600,44.611038
"55",90.610001,90.800003,89.25,90.43,3747800,44.532248
"56",90.690002,90.739998,89.699997,90.190002,4036400,44.414061
"57",89.800003,90.93,89.800003,90.779999,2681800,44.704605
"58",90.480003,91.199997,90.18,91.010002,3281200,44.81787
"59",90.75,91.25,88.400002,89.510002,5939200,44.079195
"60",89.970001,90.650002,89.459999,90.419998,5477600,44.527323
"61",90.330002,91.620003,89.82,90.970001,6374400,44.798172
"62",90.82,91.629997,90.150002,91.629997,4692600,45.123187
"63",91.410004,92.889999,91.040001,92.389999,4197400,45.49745
"64",92.029999,92.5,90.970001,91.720001,5835800,45.167509
"65",91.709999,91.809998,88.779999,90.43,9845800,44.532248
"66",89.93,90.889999,88.5,88.900002,9593600,43.7788
"67",88.849998,89,86.470001,86.860001,8215800,42.774202
"68",86.669998,88.720001,85.720001,88.529999,8076400,43.596593
"69",88.089996,89.849998,87.959999,88.18,5515600,43.424236
"70",88.639999,88.709999,86.550003,88.190002,7038400,43.429161
"71",88.349998,88.900002,86.529999,87.330002,5808400,43.005654
"72",87.699997,88.860001,87.559998,88.639999,7755200,43.650762
"73",88.269997,88.639999,86,86.080002,5316800,42.390092
"74",86.099998,87.529999,84.629997,84.699997,9688800,41.710508
"75",84.400002,84.849998,82.959999,84.489998,7517400,41.607094
"76",84.330002,84.620003,83.459999,84.279999,5772400,41.50368
"77",84.199997,85.599998,84.099998,85.010002,4074400,41.86317
"78",84.389999,85.440002,83.779999,84.389999,5058200,41.55785
"79",84.470001,85.279999,83.919998,84.669998,5853600,41.695735
"80",84.93,85.040001,82.290001,82.440002,5749600,40.597574
"81",82.43,83,80.239998,80.949997,8016600,39.863821
"82",81.209999,81.220001,79.900002,80.82,10040600,39.799804
"83",80.900002,81.690002,79.150002,80.879997,5227600,39.82935
"84",80.690002,82.739998,80.690002,80.82,7017600,39.799804
"85",81.169998,84.360001,80.349998,84.260002,7957000,41.493833
"86",84.040001,84.919998,81.410004,81.800003,5595600,40.282407
"87",82.110001,84.160004,80.309998,81.589996,6955000,40.178989
"88",81.529999,83.360001,79.650002,79.82,6491200,39.307354
"89",80.150002,80.879997,77.410004,78.43,10668800,38.622849
"90",77.43,79.190002,75.279999,76.269997,9307800,37.559155
"91",74.989998,79.870003,74.639999,78.449997,10641200,38.632696
"92",78.980003,80.519997,78.029999,79.25,6795400,39.026658
"93",79.199997,81.410004,79.199997,80.639999,5336600,39.711163
"94",80.709999,85.25,80.709999,84.949997,7357800,41.833621
"95",85.050003,86.18,83.5,83.57,4257000,41.154041
"96",84.830002,85.839996,84.279999,84.529999,4831600,41.626793
"97",84.809998,86.010002,83.480003,85.790001,3485400,42.247281
"98",85.010002,86.559998,83.620003,86.419998,6976800,42.557523
"99",86.639999,89.489998,85.639999,89.120003,6539600,43.88714
"100",89.879997,90.239998,86.150002,87.410004,7878000,43.045051
"101",89.510002,92.019997,88.440002,90.650002,14001400,44.640588
"102",90.379997,91.370003,88.720001,90.900002,7236600,44.7637
"103",91.379997,92.519997,91.110001,91.620003,10483800,45.118265
"104",91.519997,92.830002,90.150002,90.629997,8183400,44.630737
"105",90.989998,91.889999,89.629997,90.709999,6508400,44.670134
"106",91.18,93.220001,91.110001,93.129997,7233400,45.861861
"107",93.279999,94.080002,92.349998,94.080002,7025400,46.329691
"108",94.5,95.18,93.480003,94.099998,6704000,46.339539
