"","NBL.Open","NBL.High","NBL.Low","NBL.Close","NBL.Volume","NBL.Adjusted"
"1",74.010002,74.809998,73.940002,74.779999,1843200,73.793853
"2",74.300003,75.940002,74.150002,75.379997,2095900,74.385939
"3",76.010002,77.400002,75.470001,75.809998,1963700,74.810269
"4",76.010002,76.220001,75.150002,76.190002,1195100,75.185263
"5",76.290001,76.5,75.699997,76.25,1214900,75.244469
"6",76.129997,76.510002,75.470001,76.019997,1625600,75.017499
"7",76,76.709999,75.529999,76.610001,1412900,75.599722
"8",76.769997,77.440002,76.629997,77.419998,1428400,76.399038
"9",77.709999,78.68,77.510002,78.639999,2653000,77.602951
"10",78.959999,79.629997,78.620003,79.230003,2199000,78.185174
"11",78.900002,79.010002,77.43,77.5,2565600,76.477985
"12",77.220001,78.75,77.209999,78.57,2067500,77.533874
"13",78.57,78.629997,77.720001,78.129997,1601100,77.099674
"14",77.760002,78.279999,76.709999,77.419998,4454600,76.399038
"15",77.650002,78.239998,76.870003,77.459999,2366000,76.438512
"16",77.830002,77.93,75.889999,76.339996,2439700,75.333279
"17",76.279999,76.639999,75.57,75.779999,1817600,74.780666
"18",75.690002,76.059998,75.080002,75.790001,904800,74.790536
"19",75.610001,75.730003,74.379997,74.720001,1946600,73.734647
"20",74.82,75.610001,74.75,75.339996,1415700,74.346466
"21",75.269997,75.849998,74.980003,75.790001,1479600,74.790536
"22",74.849998,75.5,74.290001,74.910004,1469100,73.922144
"23",74.870003,74.910004,73.599998,73.690002,1541800,72.718231
"24",74.120003,74.980003,74.120003,74.830002,1455200,73.843197
"25",74.589996,74.93,73.760002,74.160004,1784600,73.182034
"26",74.400002,76.190002,74.349998,76.129997,2078200,75.126049
"27",76.139999,76.43,73.660004,73.709999,2190100,72.737964
"28",73.550003,73.760002,72.949997,73.010002,2838300,72.047198
"29",72.839996,73.089996,72.440002,72.919998,1507100,71.958381
"30",73.220001,73.669998,72.709999,73.470001,1544600,72.501131
"31",73.57,74.379997,73.209999,74.209999,2614500,73.23137
"32",70.230003,72.82,69.830002,71.629997,7557500,70.685392
"33",71.5,71.599998,69.190002,69.57,6736900,68.65256
"34",69.779999,70.220001,68.980003,69.129997,4872400,68.21836
"35",69.129997,69.139999,68.360001,68.440002,3707900,67.537464
"36",68.870003,69.220001,66.660004,67.040001,4436200,66.155925
"37",66.269997,67.150002,65.669998,66.489998,5083700,65.789819
"38",66.050003,67.360001,65.879997,66.75,5843700,66.047083
"39",66.75,72.849998,66.32,70.230003,8083200,69.49044
"40",69.809998,69.900002,67.949997,68.410004,3673900,67.689606
"41",67.959999,69.610001,67.860001,68.980003,3237100,68.253603
"42",69.080002,69.330002,68.110001,68.779999,3374400,68.055705
"43",69,70.529999,68.809998,70.459999,2199900,69.718014
"44",70.739998,70.989998,69.599998,69.769997,1983900,69.035277
"45",69.400002,69.800003,68.900002,69.089996,1928900,68.362438
"46",69.519997,69.959999,68.989998,69.559998,1363200,68.82749
"47",69.57,70.25,69.110001,69.5,3568600,68.768124
"48",69.739998,70.169998,69.489998,70.010002,1840000,69.272755
"49",70.110001,70.580002,69.559998,69.82,1721000,69.084754
"50",69.910004,70.809998,69.830002,70.25,1107100,69.510226
"51",70.089996,70.300003,69.43,69.910004,1708600,69.17381
"52",70.099998,70.279999,69.610001,70.139999,1402600,69.401384
"53",69.669998,70.029999,69.059998,69.550003,1741900,68.8176
"54",69.940002,71.059998,69.779999,71.029999,1257600,70.282011
"55",71.309998,72.07,71.089996,71.400002,1865900,70.648117
"56",71.309998,71.629997,70.639999,70.919998,900200,70.173169
"57",70.879997,71.029999,70.360001,70.919998,1136200,70.173169
"58",71.110001,72.160004,70.82,72.139999,1755500,71.380323
"59",71.93,72.059998,70.459999,70.550003,1626300,69.80707
"60",70.900002,71.620003,70.900002,71.209999,1297600,70.460116
"61",71.139999,71.440002,70.099998,71,2260300,70.252328
"62",70.730003,71.68,70.440002,71.660004,2038000,70.905381
"63",71.019997,71.220001,70.220001,70.610001,1781500,69.866436
"64",70.599998,71.82,70.32,70.589996,1861800,69.846642
"65",70.269997,70.290001,69.040001,69.940002,2223300,69.203493
"66",69.309998,70.160004,68.949997,70,1325800,69.262859
"67",69.790001,70.059998,68.739998,68.800003,1531200,68.075498
"68",68.970001,69.830002,68.510002,69.480003,1959800,68.748338
"69",69.699997,71.43,69.309998,71.110001,2233500,70.36117
"70",71.5,71.629997,70.580002,71.169998,1955600,70.420536
"71",71.220001,71.459999,70.809998,71.220001,2740800,70.470013
"72",71.550003,72.059998,71.160004,71.290001,2726000,70.539275
"73",70.949997,70.949997,69.900002,70.360001,2201900,69.619068
"74",70.269997,71.190002,70.010002,70.300003,2338100,69.559702
"75",69.790001,70.919998,69.129997,70.419998,1799100,69.678434
"76",70.43,70.43,68.989998,69.199997,2459700,68.47128
"77",69.029999,70.209999,68.559998,69.879997,1617100,69.14412
"78",69.150002,70.019997,69.080002,69.889999,1666200,69.154016
"79",69.639999,69.779999,67.900002,68.360001,2335900,67.640129
"80",68.339996,68.730003,66.529999,66.790001,2593400,66.086663
"81",66.160004,66.349998,64.510002,66.139999,3417100,65.443506
"82",66.029999,66.540001,65.160004,65.169998,2701000,64.48372
"83",65.459999,65.699997,64.529999,64.919998,2110700,64.236352
"84",64.370003,64.470001,62.580002,62.580002,3101200,61.920997
"85",62.23,63.080002,61.029999,63.009998,2880300,62.346466
"86",62.5,62.5,60.23,60.299999,2976200,59.665005
"87",60.41,60.580002,58.709999,58.720001,3386900,58.101645
"88",58.540001,59.279999,55.509998,55.57,3472800,54.984815
"89",55.919998,56.5,54.459999,54.790001,4134700,54.21303
"90",53.669998,54.959999,52.650002,54.849998,5319100,54.272396
"91",53.5,57.75,53.299999,56.669998,4292600,56.07323
"92",57.790001,58.529999,56.16,56.59,3137200,55.994074
"93",56.549999,57.77,56.459999,57.509998,2046100,56.904384
"94",58.040001,59.5,58,58.889999,3150400,58.269853
"95",59.259998,59.400002,57.110001,57.130001,3114100,56.528388
"96",58.169998,58.91,57.73,58.48,2486400,57.864171
"97",58.389999,58.5,57.080002,57.43,2663800,56.825228
"98",56.25,56.549999,55.360001,56.380001,3327900,55.786286
"99",56.560001,58.48,55.18,58.360001,3305100,57.745435
"100",58.849998,60.299999,57.560001,58.130001,3350800,57.517858
"101",57.57,58.5,55.099998,57.16,2718800,56.558071
"102",56.639999,57.689999,55.73,57.630001,4056300,57.203259
"103",58.080002,58.200001,55.75,55.869999,3799000,55.456289
"104",55.060001,55.220001,53.639999,54.200001,3222000,53.798657
"105",54.919998,55.950001,54.16,55.549999,2599600,55.138659
