"","SYK.Open","SYK.High","SYK.Low","SYK.Close","SYK.Volume","SYK.Adjusted"
"190",90.360001,90.959999,90.120003,90.459999,1106900,89.796679
"191",90.550003,92.040001,90.459999,91.949997,892100,91.275751
"192",91.830002,92.400002,90.709999,91.290001,1254400,90.620595
"193",91.839996,93.040001,91.839996,92.779999,1177100,92.099667
"194",92.089996,92.440002,91.690002,91.889999,1036200,91.216194
"195",91.57,93.830002,91.300003,93.110001,1382200,92.427249
"196",93.019997,93.760002,92.839996,93.57,945500,92.883875
"197",94.040001,94.400002,93.440002,93.650002,2101900,92.96329
"198",93.489998,94.18,93.150002,93.709999,918800,93.022848
"199",93.57,94.330002,93.360001,93.419998,961100,92.734973
"200",93.519997,94.239998,92.209999,92.290001,1190200,91.613262
"201",91.900002,92.230003,91.290001,91.529999,1049700,90.858833
"202",91.260002,92.730003,91.260002,92.559998,1229700,92.228911
"203",93.120003,93.860001,92.809998,93.550003,1016600,93.215375
"204",92.870003,93.580002,92.25,92.25,1199500,91.920022
"205",92.459999,92.580002,90.629997,91.18,2005600,90.85385
"206",90.220001,91.870003,90.190002,91.120003,1042300,90.794067
"207",90.449997,92.18,90.360001,91.760002,1152600,91.431777
"208",91.940002,92.389999,91.459999,91.480003,1038900,91.15278
"209",91.68,92.339996,91.410004,92.019997,1093100,91.690842
"210",91.790001,93.110001,91.610001,93.07,1379900,92.737089
"211",92.919998,94.059998,92.919998,93.739998,1101700,93.40469
"212",93.360001,93.970001,92.949997,93.099998,1334900,92.76698
"213",92.900002,93.279999,91.900002,92.540001,1478100,92.208986
"214",92.580002,92.970001,92.099998,92.290001,752100,91.95988
"215",92.150002,92.389999,91.779999,92.18,877000,91.850273
"216",91.540001,92.790001,91.169998,92.5,2041600,92.169128
"217",93,93.540001,92.730003,93.349998,1345300,93.016086
"218",94,94.809998,93.730003,94.709999,1959400,94.371222
"219",95,97.300003,95,96.449997,2463600,96.104996
"220",96.449997,97.419998,96.199997,97.18,1620100,96.832388
"221",96.769997,97.160004,96.470001,96.900002,1284500,96.553391
"222",97.440002,97.440002,94.5,94.629997,1840500,94.291506
"223",94.620003,95.410004,93.550003,95.099998,1619100,94.759826
"224",94.949997,94.949997,93.18,94.32,1260000,93.982618
"225",93.599998,93.989998,91.779999,92.239998,1923500,91.910056
"226",92.809998,93.449997,92.480003,93.400002,1275700,93.06591
"227",93.650002,94.150002,93.459999,93.629997,1044600,93.295083
"228",93.209999,93.550003,92.470001,92.900002,1028700,92.567699
"229",93.370003,93.470001,92.129997,92.559998,984900,92.228911
"230",92.370003,93.279999,92.370003,92.610001,801500,92.278735
"231",93.769997,94.800003,93.489998,94.559998,1258400,94.221757
"232",94.589996,94.879997,94.199997,94.360001,741500,94.022475
"233",93.980003,94.139999,93.040001,93.080002,1098300,92.747055
"234",93.150002,93.809998,92.709999,92.910004,821400,92.577665
"235",93.660004,95.339996,93.339996,95.260002,1319700,94.919258
"236",95.230003,95.68,95,95.510002,1260900,95.168363
"237",95.690002,96.889999,95.529999,96.589996,995700,96.244495
"238",96.480003,96.959999,96.160004,96.68,1025800,96.334177
"239",96.669998,97.57,96.669998,96.779999,983800,96.433817
"240",96.650002,96.839996,96.129997,96.400002,744300,96.055179
"241",96.190002,96.709999,95.790001,96.440002,1267900,96.095037
"242",96.370003,96.370003,95.300003,95.529999,1164400,95.188289
"243",96,96.790001,95.550003,96.589996,889500,96.244495
"244",96.459999,96.940002,95.830002,96.239998,862600,95.895748
"245",96.150002,97.120003,95.730003,96.129997,1330000,95.786141
"246",96.669998,96.839996,95.440002,96.120003,831400,95.776182
"247",95.75,96.639999,95.139999,96.110001,776900,95.766216
"248",96.449997,96.449997,95.610001,96.040001,605000,95.696466
"249",95.769997,95.970001,94.730003,95.040001,968000,94.700043
"250",95.040001,95.379997,94.489998,95.199997,783000,94.859467
"251",94.959999,95.459999,94.599998,94.620003,610600,94.281548
"252",94.470001,94.739998,93.949997,94.160004,757100,93.823194
"253",94.5,96.110001,94.160004,96.010002,1194400,95.666575
