"","LYB.Open","LYB.High","LYB.Low","LYB.Close","LYB.Volume","LYB.Adjusted"
"1",99,100.07,98.900002,99.949997,2236900,97.778107
"2",99.059998,99.620003,99.010002,99.199997,1938900,97.044404
"3",98.730003,101.129997,98.730003,99.260002,4191800,97.103105
"4",99.080002,99.75,98.730003,98.959999,2530800,96.809621
"5",99.120003,99.330002,98.129997,98.870003,2392100,96.721581
"6",98.540001,99.339996,98.410004,98.779999,2342100,96.633532
"7",98.550003,99.059998,97.860001,98.970001,2681300,96.819406
"8",99.059998,99.410004,98.550003,98.800003,2091500,96.653102
"9",99.360001,100.330002,99.089996,100.150002,5610500,97.973765
"10",100.330002,101,99.629997,100.720001,3123400,98.531379
"11",102.629997,102.629997,100.059998,100.099998,4549500,97.924849
"12",99.330002,100.349998,98.400002,98.580002,4048200,96.437881
"13",98.959999,99,97.629997,98.5,2604500,96.359618
"14",98.139999,98.629997,96.360001,96.870003,6178400,94.76504
"15",97.139999,98.129997,96.629997,97.650002,3010100,95.52809
"16",98.300003,99.129997,97.540001,98.519997,2248600,96.37918
"17",98.209999,99.220001,98.160004,98.75,2098000,96.604185
"18",98.870003,99.889999,98.839996,99.669998,1320600,97.504192
"19",99.269997,99.470001,97.790001,98.339996,2208400,96.203091
"20",97.800003,98.309998,97.089996,97.68,2346500,95.557437
"21",98.160004,99.07,98.010002,98.82,2299800,96.672664
"22",97.639999,99.300003,97.57,98.489998,2085700,96.349833
"23",98.599998,99.419998,98.300003,99.160004,1781600,97.00528
"24",99.599998,99.599998,98.650002,98.989998,2168200,96.838968
"25",99.260002,99.779999,98.230003,98.470001,2595300,96.330271
"26",98.470001,99.589996,98.470001,99.449997,2327300,97.288972
"27",98.489998,100.419998,98.470001,99.529999,2279600,97.367235
"28",99.309998,101.209999,99.239998,101.029999,2624200,98.83464
"29",100.620003,101.379997,100.099998,101.220001,2145800,99.020514
"30",101.25,102.199997,101.080002,102.150002,2394300,99.930306
"31",102.5,103.040001,102.239998,102.5,2099700,100.272699
"32",103.110001,103.470001,102.139999,102.419998,2287900,100.194435
"33",105,107.68,104.519997,107.489998,4070300,105.154265
"34",107.5,109.910004,107.419998,109.650002,4021000,107.267333
"35",109.669998,110.379997,108.25,108.290001,2674600,105.936884
"36",108.75,109.260002,107.790001,108.18,2842000,105.829274
"37",107.330002,107.589996,105.949997,106.25,3505700,103.941212
"38",106.25,106.959999,105.639999,106.550003,2564400,104.234696
"39",107.160004,108.68,106.059998,108.639999,3226600,106.279277
"40",107.690002,109.18,106.690002,107.360001,3053900,105.027093
"41",107.379997,109.75,107.370003,108.989998,2724000,106.621671
"42",109.150002,109.989998,107.660004,107.93,2604600,105.584707
"43",108.019997,108.610001,107.589996,108.370003,3937000,106.015148
"44",109.129997,109.800003,107.93,108.279999,2932400,105.9271
"45",108.419998,109.040001,107.769997,108.889999,2736500,106.523845
"46",109.050003,110.139999,108.650002,109.849998,2741900,107.462984
"47",110,110.489998,109.699997,109.790001,1909100,107.40429
"48",110,110.669998,108.720001,110.599998,2593100,108.196686
"49",111.580002,112,110.68,111.160004,2569100,108.744523
"50",111.410004,112.370003,111.169998,112.199997,2171200,109.761917
"51",112.379997,112.519997,111.830002,112.169998,1751000,109.73257
"52",112.190002,112.730003,111.459999,112.300003,1887600,110.54964
"53",111.800003,112.43,111.5,112.139999,1587700,110.39213
"54",112.830002,113.650002,112.57,112.949997,2034700,111.189502
"55",113.139999,113.139999,112.349998,112.599998,1516900,110.844959
"56",113.120003,113.709999,112.449997,113.599998,1654800,111.829373
"57",113.510002,113.709999,112.559998,113.480003,1602100,111.711248
"58",113.940002,114.379997,113.339996,114.349998,2052300,112.567683
"59",115.07,115.330002,113.779999,114.190002,2548200,112.41018
"60",114.449997,114.779999,114.080002,114.230003,1770800,112.449558
"61",114.470001,114.910004,113.580002,113.839996,1573000,112.06563
"62",113.940002,114.720001,113.510002,114.589996,1772800,112.80394
"63",114.32,115.010002,113.889999,114,2064400,112.22314
"64",113.779999,114.260002,112.940002,113.029999,1604700,111.268257
"65",113.019997,113.639999,112,113.449997,1445400,111.681709
"66",113.010002,113.419998,112.550003,113.230003,1806500,111.465144
"67",113.379997,113.599998,111.459999,111.68,2316300,109.9393
"68",111.470001,112.050003,110.82,111.860001,2150200,110.116495
"69",111.779999,112.519997,111.459999,111.559998,2959700,109.821168
"70",112.019997,113.080002,110.870003,111.580002,2981500,109.840861
"71",112.220001,113.860001,112.190002,113.75,2911500,111.977036
"72",114.629997,115.400002,113.540001,114,4759800,112.22314
